County	Laboratory-Confirmed Cases	Deaths
Alamance County	24	0
Alexander County	2	0
Alleghany County	2	0
Anson County	6	0
Ashe County	2	0
Beaufort County	9	0
Bertie County	9	1
Bladen County	1	0
Brunswick County	26	1
Buncombe County	33	1
Burke County	29	2
Cabarrus County	81	1
Caldwell County	10	0
Carteret County	17	0
Caswell County	2	0
Catawba County	27	1
Chatham County	21	0
Cherokee County	9	1
Chowan County	1	0
Clay County	3	0
Cleveland County	23	0
Columbus County	13	1
Craven County	18	0
Cumberland County	62	0
Currituck County	3	0
Dare County	6	0
Davidson County	70	1
Davie County	20	2
Duplin County	7	0
Durham County	205	1
Edgecombe County	11	0
Forsyth County	105	2
Franklin County	17	0
Gaston County	58	2
Gates County	2	0
Granville County	76	0
Greene County	10	0
Guilford County	119	5
Halifax County	12	0
Harnett County	32	2
Haywood County	3	0
Henderson County	51	1
Hertford County	5	1
Hoke County	12	0
Iredell County	54	0
Johnston County	47	4
Lee County	4	0
Lenoir County	10	0
Lincoln County	11	0
Macon County	1	1
Martin County	4	0
McDowell County	10	0
Mecklenburg County	810	6
Mitchell County	2	0
Montgomery County	10	1
Moore County	10	0
Nash County	24	0
New Hanover County	47	0
Northampton County	51	0
Onslow County	23	1
Orange County	73	0
Pamlico County	3	0
Pasquotank County	9	0
Pender County	2	0
Perquimans County	2	0
Person County	7	0
Pitt County	44	0
Polk County	8	0
Randolph County	35	1
Richmond County	1	0
Robeson County	6	0
Rockingham County	8	1
Rowan County	62	2
Rutherford County	19	0
Sampson County	4	0
Scotland County	3	0
Stanly County	8	0
Stokes County	8	0
Surry County	10	0
Transylvania County	6	0
Union County	83	0
Vance County	12	0
Wake County	336	0
Warren County	3	0
Washington County	7	0
Watauga County	8	0
Wayne County	32	0
Wilkes County	4	1
Wilson County	36	2
Yadkin County	9	0
