,County	Collections	Data_Period_Business_Key
0,  (Short-Term)	7676761.0	2018M12
1,  (Short-Term)	7676761.0	2018M12
2,  and Subscription	3892906.0	2020M02
3,0	0.0	2020M02
4,0	0.0	2020M02
5,0	0.0	2018M12
6,0	0.0	2018M12
7,0	0.0	2018M12
8,0	0.0	2018M12
9,0	0.0	2018M12
10,0	0.0	2018M12
11,0	0.0	2018M12
12,0	0.0	2018M12
13,0	0.0	2018M12
14,0	0.0	2018M12
15,0	0.0	2018M12
16,0	0.0	2018M12
17,0	0.0	2018M12
18,0	0.0	2018M12
19,0	0.0	2018M12
20,0	0.0	2018M12
21,0	0.0	2018M12
22,0	0.0	2018M12
23,0	0.0	2018M12
24,0	0.0	2018M12
25,0	0.0	2018M12
26,0	0.0	2018M12
27,0	0.0	2018M12
28,0	0.0	2018M12
29,0	0.0	2020M02
30,0	0.0	2020M02
31,0	0.0	2020M02
32,0	0.0	2020M02
33,0	0.0	2020M02
34,0	0.0	2020M02
35,0	0.0	2020M02
36,0	0.0	2020M02
37,0	0.0	2018M12
38,0	0.0	2020M02
39,0	0.0	2020M02
40,0	0.0	2018M12
41,0	0.0	2020M02
42,0	0.0	2020M02
43,0	0.0	2020M02
44,0	0.0	2020M02
45,0	0.0	2018M12
46,0	0.0	2018M12
47,0	0.0	2018M12
48,0	0.0	2018M12
49,0	0.0	2018M12
50,0	0.0	2018M12
51,Alamance	9057132.0	2020M02
52,Alamance	9057132.0	2020M02
53,Alamance	10641774.0	2018M12
54,Alamance	10641774.0	2018M12
55,Alamance	10641774.0	2018M12
56,Alamance	10641774.0	2018M12
57,Alexander	836831.0	2018M12
58,Alexander	836831.0	2018M12
59,Alexander	804317.0	2020M02
60,Alexander	836831.0	2018M12
61,Alexander	804317.0	2020M02
62,Alexander	836831.0	2018M12
63,Alleghany	327271.0	2020M02
64,Alleghany	327271.0	2020M02
65,Alleghany	310448.0	2018M12
66,Alleghany	310448.0	2018M12
67,Alleghany	310448.0	2018M12
68,Alleghany	310448.0	2018M12
69,Anson	634646.0	2018M12
70,Anson	587222.0	2020M02
71,Anson	634646.0	2018M12
72,Anson	634646.0	2018M12
73,Anson	587222.0	2020M02
74,Anson	634646.0	2018M12
75,Ashe	1074872.0	2020M02
76,Ashe	1117479.0	2018M12
77,Ashe	1117479.0	2018M12
78,Ashe	1117479.0	2018M12
79,Ashe	1117479.0	2018M12
80,Ashe	1074872.0	2020M02
81,Avery	1065920.0	2018M12
82,Avery	1065920.0	2018M12
83,Avery	1065920.0	2018M12
84,Avery	1481724.0	2020M02
85,Avery	1481724.0	2020M02
86,Avery	1065920.0	2018M12
87,Beaufort	2040423.0	2018M12
88,Beaufort	1953505.0	2020M02
89,Beaufort	1953505.0	2020M02
90,Beaufort	2040423.0	2018M12
91,Beaufort	2040423.0	2018M12
92,Beaufort	2040423.0	2018M12
93,Bertie	330657.0	2018M12
94,Bertie	330657.0	2018M12
95,Bertie	330657.0	2018M12
96,Bertie	357489.0	2020M02
97,Bertie	330657.0	2018M12
98,Bertie	357489.0	2020M02
99,Bladen	875237.0	2018M12
100,Bladen	875237.0	2018M12
101,Bladen	880297.0	2020M02
102,Bladen	875237.0	2018M12
103,Bladen	880297.0	2020M02
104,Bladen	875237.0	2018M12
105,Brunswick	6520443.0	2020M02
106,Brunswick	6651887.0	2018M12
