,County	Sales	Data_Period_Business_Key
0,  (Short-Term)	0.0	2018M12
1,  (Short-Term)	0.0	2018M12
2,  and Subscription	0.0	2020M02
3,0	0.0	2020M02
4,0	0.0	2020M02
5,0	0.0	2018M12
6,0	0.0	2018M12
7,0	0.0	2018M12
8,0	0.0	2018M12
9,0	0.0	2018M12
10,0	0.0	2018M12
11,0	0.0	2018M12
12,0	0.0	2018M12
13,0	0.0	2018M12
14,0	0.0	2018M12
15,0	0.0	2018M12
16,0	0.0	2018M12
17,0	0.0	2018M12
18,0	0.0	2018M12
19,0	0.0	2018M12
20,0	0.0	2018M12
21,0	0.0	2018M12
22,0	0.0	2018M12
23,0	0.0	2018M12
24,0	0.0	2018M12
25,0	0.0	2018M12
26,0	0.0	2018M12
27,0	0.0	2018M12
28,0	0.0	2018M12
29,0	0.0	2020M02
30,0	0.0	2020M02
31,0	0.0	2020M02
32,0	0.0	2020M02
33,0	0.0	2020M02
34,0	0.0	2020M02
35,0	0.0	2020M02
36,0	0.0	2020M02
37,0	0.0	2018M12
38,0	0.0	2020M02
39,0	0.0	2020M02
40,0	0.0	2018M12
41,0	0.0	2020M02
42,0	0.0	2020M02
43,0	0.0	2020M02
44,0	0.0	2020M02
45,0	0.0	2018M12
46,0	0.0	2018M12
47,0	0.0	2018M12
48,0	0.0	2018M12
49,0	0.0	2018M12
50,0	0.0	2018M12
51,Alamance	189839141.0	2020M02
52,Alamance	189839141.0	2020M02
53,Alamance	223557436.0	2018M12
54,Alamance	223557436.0	2018M12
55,Alamance	223557436.0	2018M12
56,Alamance	223557436.0	2018M12
57,Alexander	17489769.0	2018M12
58,Alexander	17489769.0	2018M12
59,Alexander	16877652.0	2020M02
60,Alexander	17489769.0	2018M12
61,Alexander	16877652.0	2020M02
62,Alexander	17489769.0	2018M12
63,Alleghany	6836074.0	2020M02
64,Alleghany	6836074.0	2020M02
65,Alleghany	6498547.0	2018M12
66,Alleghany	6498547.0	2018M12
67,Alleghany	6498547.0	2018M12
68,Alleghany	6498547.0	2018M12
69,Anson	13332225.0	2018M12
70,Anson	12303695.0	2020M02
71,Anson	13332225.0	2018M12
72,Anson	13332225.0	2018M12
73,Anson	12303695.0	2020M02
74,Anson	13332225.0	2018M12
75,Ashe	22428143.0	2020M02
76,Ashe	23469471.0	2018M12
77,Ashe	23469471.0	2018M12
78,Ashe	23469471.0	2018M12
79,Ashe	23469471.0	2018M12
80,Ashe	22428143.0	2020M02
81,Avery	22123667.0	2018M12
82,Avery	22123667.0	2018M12
83,Avery	22123667.0	2018M12
84,Avery	30467676.0	2020M02
85,Avery	30467676.0	2020M02
86,Avery	22123667.0	2018M12
87,Beaufort	42777131.0	2018M12
88,Beaufort	41495245.0	2020M02
89,Beaufort	41495245.0	2020M02
90,Beaufort	42777131.0	2018M12
91,Beaufort	42777131.0	2018M12
92,Beaufort	42777131.0	2018M12
93,Bertie	6954020.0	2018M12
94,Bertie	6954020.0	2018M12
95,Bertie	6954020.0	2018M12
96,Bertie	7471367.0	2020M02
97,Bertie	6954020.0	2018M12
98,Bertie	7471367.0	2020M02
99,Bladen	18350738.0	2018M12
100,Bladen	18350738.0	2018M12
101,Bladen	18276107.0	2020M02
102,Bladen	18350738.0	2018M12
103,Bladen	18276107.0	2020M02
104,Bladen	18350738.0	2018M12
105,Brunswick	136826921.0	2020M02
106,Brunswick	139955205.0	2018M12
107,Brunswick	139955205.0	2018M12
108,Brunswick	139955205.0	2018M12
109,Brunswick	136826921.0	2020M02
110,Brunswick	139955205.0	2018M12
111,Buncombe	500403524.0	2018M12
112,Buncombe	500403524.0	2018M12
113,Buncombe	500403524.0	2018M12
114,Buncombe	426053128.0	2020M02
115,Buncombe	500403524.0	2018M12
116,Buncombe	426053128.0	2020M02
117,Burke	61004346.0	2018M12
118,Burke	61004346.0	2018M12
119,Burke	61004346.0	2018M12
120,Burke	61004346.0	2018M12
121,Burke	57979184.0	2020M02
122,Burke	57979184.0	2020M02
123,Cabarrus	311028329.0	2018M12
124,Cabarrus	311028329.0	2018M12
125,Cabarrus	284358074.0	2020M02
126,Cabarrus	284358074.0	2020M02
127,Cabarrus	311028329.0	2018M12
128,Cabarrus	311028329.0	2018M12
129,Caldwell	54081070.0	2018M12
130,Caldwell	48046413.0	2020M02
131,Caldwell	54081070.0	2018M12
132,Caldwell	54081070.0	2018M12
133,Caldwell	48046413.0	2020M02
134,Caldwell	54081070.0	2018M12
135,Camden	4486261.0	2018M12
136,Camden	4486261.0	2018M12
137,Camden	4486261.0	2018M12
138,Camden	4696732.0	2020M02
139,Camden	4696732.0	2020M02
140,Camden	4486261.0	2018M12
141,Carteret	86890647.0	2020M02
142,Carteret	86890647.0	2020M02
143,Carteret	105632041.0	2018M12
144,Carteret	105632041.0	2018M12
145,Carteret	105632041.0	2018M12
146,Carteret	105632041.0	2018M12
147,Caswell	6153775.0	2018M12
148,Caswell	5629041.0	2020M02
149,Caswell	5629041.0	2020M02
150,Caswell	6153775.0	2018M12
151,Caswell	6153775.0	2018M12
152,Caswell	6153775.0	2018M12
153,Catawba	188703931.0	2020M02
154,Catawba	209479210.0	2018M12
155,Catawba	188703931.0	2020M02
156,Catawba	209479210.0	2018M12
157,Catawba	209479210.0	2018M12
158,Catawba	209479210.0	2018M12
159,Chatham	54020219.0	2020M02
160,Chatham	54020219.0	2020M02
161,Chatham	58535915.0	2018M12
162,Chatham	58535915.0	2018M12
163,Chatham	58535915.0	2018M12
164,Chatham	58535915.0	2018M12
165,Cherokee	24909481.0	2020M02
166,Cherokee	28214354.0	2018M12
167,Cherokee	24909481.0	2020M02
