County	Collections	Data_Period_Business_Key
Alamance	10004256.0	2018M10
Alamance	10150906.0	2018M11
Alamance	10641774.0	2018M12
Alamance	11953854.0	2019M01
Alamance	9033609.0	2019M02
Alamance	9006359.0	2019M03
Alamance	10810131.0	2019M04
Alamance	10467512.0	2019M05
Alamance	10539132.0	2019M06
Alamance	11396716.0	2019M07
Alamance	10909984.0	2019M08
Alamance	10149765.0	2019M09
Alamance	10105284.0	2019M10
Alamance	9906970.0	2019M11
Alamance	10944463.0	2019M12
Alamance	12757939.0	2020M01
Alamance	9057132.0	2020M02
Alexander	833296.0	2018M10
Alexander	819955.0	2018M11
Alexander	836831.0	2018M12
Alexander	902058.0	2019M01
Alexander	800011.0	2019M02
Alexander	797676.0	2019M03
Alexander	930421.0	2019M04
Alexander	919117.0	2019M05
Alexander	911366.0	2019M06
Alexander	906996.0	2019M07
Alexander	853331.0	2019M08
Alexander	863871.0	2019M09
Alexander	887174.0	2019M10
Alexander	888560.0	2019M11
Alexander	933091.0	2019M12
Alexander	1077220.0	2020M01
Alexander	804317.0	2020M02
Alleghany	334013.0	2018M10
Alleghany	314247.0	2018M11
Alleghany	310448.0	2018M12
Alleghany	295485.0	2019M01
Alleghany	411434.0	2019M02
Alleghany	292330.0	2019M03
Alleghany	323355.0	2019M04
Alleghany	303952.0	2019M05
Alleghany	342060.0	2019M06
Alleghany	353488.0	2019M07
Alleghany	395509.0	2019M08
Alleghany	361759.0	2019M09
Alleghany	404200.0	2019M10
Alleghany	382902.0	2019M11
Alleghany	359699.0	2019M12
Alleghany	377176.0	2020M01
Alleghany	327271.0	2020M02
Anson	607178.0	2018M10
Anson	596442.0	2018M11
Anson	634646.0	2018M12
Anson	707385.0	2019M01
Anson	570158.0	2019M02
Anson	535475.0	2019M03
Anson	706618.0	2019M04
Anson	649259.0	2019M05
Anson	665965.0	2019M06
Anson	696783.0	2019M07
Anson	625045.0	2019M08
Anson	595217.0	2019M09
Anson	608442.0	2019M10
Anson	578192.0	2019M11
Anson	604831.0	2019M12
Anson	694252.0	2020M01
Anson	587222.0	2020M02
Ashe	1152274.0	2018M10
Ashe	1139192.0	2018M11
Ashe	1117479.0	2018M12
Ashe	1141923.0	2019M01
Ashe	932434.0	2019M02
Ashe	970277.0	2019M03
Ashe	1163933.0	2019M04
Ashe	1192388.0	2019M05
Ashe	1287210.0	2019M06
Ashe	1301564.0	2019M07
Ashe	1224626.0	2019M08
Ashe	1221335.0	2019M09
Ashe	1337460.0	2019M10
Ashe	1317268.0	2019M11
Ashe	1286587.0	2019M12
Ashe	1372562.0	2020M01
Ashe	1074872.0	2020M02
Avery	1265384.0	2018M10
Avery	1324269.0	2018M11
Avery	1065920.0	2018M12
Avery	1183492.0	2019M01
Avery	980838.0	2019M02
Avery	1073140.0	2019M03
Avery	969821.0	2019M04
Avery	990322.0	2019M05
Avery	1219074.0	2019M06
Avery	1519148.0	2019M07
Avery	1561201.0	2019M08
Avery	1449640.0	2019M09
Avery	1433584.0	2019M10
Avery	1403953.0	2019M11
Avery	1175209.0	2019M12
Avery	1254052.0	2020M01
Avery	1481724.0	2020M02
Beaufort	1911582.0	2018M10
Beaufort	2122820.0	2018M11
Beaufort	2040423.0	2018M12
Beaufort	2327096.0	2019M01
Beaufort	1835356.0	2019M02
Beaufort	1822437.0	2019M03
Beaufort	2164638.0	2019M04
Beaufort	2171697.0	2019M05
Beaufort	2233588.0	2019M06
Beaufort	2361760.0	2019M07
Beaufort	2117305.0	2019M08
Beaufort	2063793.0	2019M09
Beaufort	2129428.0	2019M10
Beaufort	2118911.0	2019M11
Beaufort	1959432.0	2019M12
Beaufort	2296356.0	2020M01
Beaufort	1953505.0	2020M02
Bertie	363048.0	2018M10
Bertie	325447.0	2018M11
Bertie	330657.0	2018M12
Bertie	379269.0	2019M01
Bertie	323060.0	2019M02
Bertie	296479.0	2019M03
Bertie	401996.0	2019M04
Bertie	338410.0	2019M05
Bertie	368986.0	2019M06
Bertie	341218.0	2019M07
Bertie	365499.0	2019M08
Bertie	369380.0	2019M09
Bertie	348728.0	2019M10
Bertie	335726.0	2019M11
Bertie	374772.0	2019M12
Bertie	391898.0	2020M01
Bertie	357489.0	2020M02
Bladen	725840.0	2018M10
Bladen	823004.0	2018M11
Bladen	875237.0	2018M12
Bladen	937675.0	2019M01
Bladen	780252.0	2019M02
Bladen	793584.0	2019M03
Bladen	882572.0	2019M04
Bladen	878961.0	2019M05
Bladen	937616.0	2019M06
Bladen	935444.0	2019M07
Bladen	919722.0	2019M08
Bladen	885889.0	2019M09
Bladen	801292.0	2019M10
Bladen	856333.0	2019M11
Bladen	804809.0	2019M12
Bladen	961447.0	2020M01
Bladen	880297.0	2020M02
Brunswick	5744404.0	2018M10
Brunswick	7234166.0	2018M11
Brunswick	6651887.0	2018M12
Brunswick	6758763.0	2019M01
Brunswick	6197739.0	2019M02
Brunswick	6265611.0	2019M03
Brunswick	7689135.0	2019M04
Brunswick	7933440.0	2019M05
Brunswick	8507008.0	2019M06
Brunswick	10251967.0	2019M07
Brunswick	10682191.0	2019M08
Brunswick	9412856.0	2019M09
Brunswick	7515544.0	2019M10
Brunswick	7744297.0	2019M11
Brunswick	6718447.0	2019M12
Brunswick	7597568.0	2020M01
Brunswick	6520443.0	2020M02
Buncombe	24164782.0	2018M10
Buncombe	24220622.0	2018M11
Buncombe	23840649.0	2018M12
Buncombe	25769617.0	2019M01
Buncombe	18566343.0	2019M02
Buncombe	18371476.0	2019M03
Buncombe	22895549.0	2019M04
Buncombe	22482331.0	2019M05
Buncombe	23378632.0	2019M06
Buncombe	24077379.0	2019M07
Buncombe	23414035.0	2019M08
Buncombe	23040063.0	2019M09
Buncombe	23989132.0	2019M10
Buncombe	24686920.0	2019M11
Buncombe	24041364.0	2019M12
Buncombe	26831073.0	2020M01
Buncombe	20359405.0	2020M02
Burke	2953600.0	2018M10
Burke	3013813.0	2018M11
Burke	2903944.0	2018M12
Burke	3305501.0	2019M01
Burke	2806882.0	2019M02
Burke	2846390.0	2019M03
Burke	3360081.0	2019M04
Burke	3224131.0	2019M05
Burke	3281410.0	2019M06
Burke	3278484.0	2019M07
Burke	3093676.0	2019M08
Burke	3088111.0	2019M09
Burke	3203470.0	2019M10
Burke	3079500.0	2019M11
Burke	3135706.0	2019M12
Burke	3680729.0	2020M01
Burke	2751400.0	2020M02
Cabarrus	14335666.0	2018M10
Cabarrus	14064535.0	2018M11
Cabarrus	14797784.0	2018M12
Cabarrus	16700574.0	2019M01
Cabarrus	12861720.0	2019M02
Cabarrus	13073078.0	2019M03
Cabarrus	15757329.0	2019M04
