GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Data_Period_Business_Key	Published_Value	Published_UOM	Estimated_Real_Value	Estimation_Qualifier	Unit_of_Measure_Code	Default_Scale	Data_Period_Type	Data_Period_Name	Data_Period_Begin_Datetime	Calculation_Type	Measure_Hierarchy_Level	GeoFIPS_Type	County_FIPS	County_Name	PZ_Name	WDB_Name	State_FIPS	State_Name	Region_FIPS	Region_Name	Nation_FIPS	Nation_Name
" ""37000"""	North Carolina	BEA_CA5N_0020	Population (persons) 2/	2001	8210122	UNIT	8210122			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37000"""	North Carolina			37000	North Carolina	95000	Southeast	00000	USA
" ""37001"""	Alamance, NC	BEA_CA5N_0020	Population (persons) 2/	2001	133346	UNIT	133346			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37001"""	Alamance, NC	Piedmont-Triad	Regional Partnership	37000	North Carolina	95000	Southeast	00000	USA
" ""37003"""	Alexander, NC	BEA_CA5N_0020	Population (persons) 2/	2001	34187	UNIT	34187			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37003"""	Alexander, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37005"""	Alleghany, NC	BEA_CA5N_0020	Population (persons) 2/	2001	10740	UNIT	10740			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37005"""	Alleghany, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	00000	USA
" ""37007"""	Anson, NC	BEA_CA5N_0020	Population (persons) 2/	2001	25553	UNIT	25553			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37007"""	Anson, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	00000	USA
" ""37009"""	Ashe, NC	BEA_CA5N_0020	Population (persons) 2/	2001	24750	UNIT	24750			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37009"""	Ashe, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	00000	USA
" ""37011"""	Avery, NC	BEA_CA5N_0020	Population (persons) 2/	2001	17706	UNIT	17706			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37011"""	Avery, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	00000	USA
" ""37013"""	Beaufort, NC	BEA_CA5N_0020	Population (persons) 2/	2001	45084	UNIT	45084			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37013"""	Beaufort, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	00000	USA
" ""37015"""	Bertie, NC	BEA_CA5N_0020	Population (persons) 2/	2001	19829	UNIT	19829			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37015"""	Bertie, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	00000	USA
" ""37017"""	Bladen, NC	BEA_CA5N_0020	Population (persons) 2/	2001	32714	UNIT	32714			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37017"""	Bladen, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	00000	USA
" ""37019"""	Brunswick, NC	BEA_CA5N_0020	Population (persons) 2/	2001	76005	UNIT	76005			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37019"""	Brunswick, NC	Southeast	Cape Fear	37000	North Carolina	95000	Southeast	00000	USA
