County,State,Metro,StateCodeFIPS,GeoFIPS
Alamance County,NC,Burlington,37,37001
Alexander County,NC,Hickory-Lenoir-Morganton,37,37003
Alleghany County,NC,,37,37005
Anson County,NC,,37,37007
Ashe County,NC,,37,37009
Avery County,NC,,37,37011
Beaufort County,NC,Washington,37,37013
Bertie County,NC,,37,37015
Bladen County,NC,,37,37017
Brunswick County,NC,Myrtle Beach-Conway-North Myrtle Beach,37,37019
Buncombe County,NC,Asheville,37,37021
Burke County,NC,Hickory-Lenoir-Morganton,37,37023
Cabarrus County,NC,Charlotte-Concord-Gastonia,37,37025
Caldwell County,NC,Hickory-Lenoir-Morganton,37,37027
Camden County,NC,Elizabeth City,37,37029
Carteret County,NC,Morehead City,37,37031
Caswell County,NC,,37,37033
Catawba County,NC,Hickory-Lenoir-Morganton,37,37035
Chatham County,NC,Durham-Chapel Hill,37,37037
Cherokee County,NC,,37,37039
Chowan County,NC,,37,37041
Clay County,NC,,37,37043
Cleveland County,NC,Shelby,37,37045
Columbus County,NC,,37,37047
Craven County,NC,New Bern,37,37049
Cumberland County,NC,Fayetteville,37,37051
Currituck County,NC,Virginia Beach-Norfolk-Newport News,37,37053
Dare County,NC,Kill Devil Hills,37,37055
Davidson County,NC,Winston-Salem,37,37057
Davie County,NC,Winston-Salem,37,37059
Duplin County,NC,,37,37061
Durham County,NC,Durham-Chapel Hill,37,37063
Edgecombe County,NC,Rocky Mount,37,37065
Forsyth County,NC,Winston-Salem,37,37067
Franklin County,NC,Raleigh,37,37069
Gaston County,NC,Charlotte-Concord-Gastonia,37,37071
Gates County,NC,Virginia Beach-Norfolk-Newport News,37,37073
Graham County,NC,,37,37075
Granville County,NC,Oxford,37,37077
Greene County,NC,,37,37079
Guilford County,NC,Greensboro-High Point,37,37081
Halifax County,NC,Roanoke Rapids,37,37083
Harnett County,NC,Dunn,37,37085
Haywood County,NC,Asheville,37,37087
Henderson County,NC,Asheville,37,37089
Hertford County,NC,,37,37091
Hoke County,NC,Fayetteville,37,37093
Hyde County,NC,,37,37095
Iredell County,NC,Charlotte-Concord-Gastonia,37,37097
Jackson County,NC,Cullowhee,37,37099
Johnston County,NC,Raleigh,37,37101
Jones County,NC,New Bern,37,37103
Lee County,NC,Sanford,37,37105
Lenoir County,NC,Kinston,37,37107
Lincoln County,NC,Charlotte-Concord-Gastonia,37,37109
Macon County,NC,,37,37113
Madison County,NC,Asheville,37,37115
Martin County,NC,,37,37117
McDowell County,NC,Marion,37,37111
Mecklenburg County,NC,Charlotte-Concord-Gastonia,37,37119
Mitchell County,NC,,37,37121
Montgomery County,NC,,37,37123
Moore County,NC,Pinehurst-Southern Pines,37,37125
Nash County,NC,Rocky Mount,37,37127
New Hanover County,NC,Wilmington,37,37129
Northampton County,NC,Roanoke Rapids,37,37131
Onslow County,NC,Jacksonville,37,37133
Orange County,NC,Durham-Chapel Hill,37,37135
Pamlico County,NC,New Bern,37,37137
Pasquotank County,NC,Elizabeth City,37,37139
Pender County,NC,Wilmington,37,37141
Perquimans County,NC,Elizabeth City,37,37143
Person County,NC,Durham-Chapel Hill,37,37145
Pitt County,NC,Greenville,37,37147
Polk County,NC,,37,37149
Randolph County,NC,Greensboro-High Point,37,37151
Richmond County,NC,Rockingham,37,37153
Robeson County,NC,Lumberton,37,37155
Rockingham County,NC,Greensboro-High Point,37,37157
Rowan County,NC,Charlotte-Concord-Gastonia,37,37159
Rutherford County,NC,Forest City,37,37161
Sampson County,NC,,37,37163
Scotland County,NC,Laurinburg,37,37165
Stanly County,NC,Albermarle,37,37167
Stokes County,NC,Winston-Salem,37,37169
Surry County,NC,Mount Airy,37,37171
Swain County,NC,,37,37173
Transylvania County,NC,Brevard,37,37175
Tyrrell County,NC,Kill Devil Hills,37,37177
Union County,NC,Charlotte-Concord-Gastonia,37,37179
Vance County,NC,Henderson,37,37181
Wake County,NC,Raleigh,37,37183
Warren County,NC,,37,37185
Washington County,NC,,37,37187
Watauga County,NC,Boone,37,37189
Wayne County,NC,Goldsboro,37,37191
Wilkes County,NC,North Wilkesboro,37,37193
Wilson County,NC,Wilson,37,37195
Yadkin County,NC,Winston-Salem,37,37197
Yancey County,NC,,37,37199
