GeoArea_FIPS	GeoArea_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
39000	Ohio	Agriculture, forestry, fishing and hunting	2001	1925995
39000	Ohio	Mining, quarrying, and oil and gas extraction	2001	1414374
39000	Ohio	Utilities	2001	7327131
39000	Ohio	Construction	2001	16367620
39000	Ohio	Manufacturing	2001	82037016
39000	Ohio	Wholesale trade	2001	23121158
39000	Ohio	Retail trade	2001	29027348
39000	Ohio	Transportation and warehousing	2001	11259373
39000	Ohio	Information	2001	11679831
39000	Ohio	Finance and insurance	2001	28753293
39000	Ohio	Real estate and rental and leasing	2001	44958572
39000	Ohio	Professional and business services	2001	38034990
39000	Ohio	Management of companies and enterprises	2001	8263330
39000	Ohio	Administrative and support and waste management and remediation services	2001	10697573
39000	Ohio	Educational services	2001	3055526
39000	Ohio	Health care and social assistance	2001	28357310
39000	Ohio	Arts, entertainment, and recreation	2001	3968849
39000	Ohio	Accommodation and food services	2001	8878043
39000	Ohio	Other services (except government and government enterprises)	2001	10241585
39000	Ohio	Government and government enterprises	2001	45302011
39001	AdamsCounty	Agriculture, forestry, fishing and hunting	2001	26949
39001	AdamsCounty	Mining, quarrying, and oil and gas extraction	2001	7522
39001	AdamsCounty	Utilities	2001	712867
39001	AdamsCounty	Construction	2001	19734
39001	AdamsCounty	Manufacturing	2001	52252
39001	AdamsCounty	Wholesale trade	2001	8453
39001	AdamsCounty	Retail trade	2001	47469
39001	AdamsCounty	Transportation and warehousing	2001	
39001	AdamsCounty	Information	2001	4358
39001	AdamsCounty	Finance and insurance	2001	22296
39001	AdamsCounty	Real estate and rental and leasing	2001	53914
39001	AdamsCounty	Professional and business services	2001	
39001	AdamsCounty	Management of companies and enterprises	2001	0
39001	AdamsCounty	Administrative and support and waste management and remediation services	2001	
39001	AdamsCounty	Educational services	2001	
39001	AdamsCounty	Health care and social assistance	2001	
39001	AdamsCounty	Arts, entertainment, and recreation	2001	1418
39001	AdamsCounty	Accommodation and food services	2001	9720
39001	AdamsCounty	Other services (except government and government enterprises)	2001	15410
39001	AdamsCounty	Government and government enterprises	2001	70271
39003	AllenCounty	Agriculture, forestry, fishing and hunting	2001	
39003	AllenCounty	Mining, quarrying, and oil and gas extraction	2001	4498
39003	AllenCounty	Utilities	2001	14156
39003	AllenCounty	Construction	2001	147813
39003	AllenCounty	Manufacturing	2001	1197610
39003	AllenCounty	Wholesale trade	2001	263032
39003	AllenCounty	Retail trade	2001	295158
39003	AllenCounty	Transportation and warehousing	2001	
39003	AllenCounty	Information	2001	91800
39003	AllenCounty	Finance and insurance	2001	152585
39003	AllenCounty	Real estate and rental and leasing	2001	296581
39003	AllenCounty	Professional and business services	2001	190179
39003	AllenCounty	Management of companies and enterprises	2001	33906
39003	AllenCounty	Administrative and support and waste management and remediation services	2001	96477
39003	AllenCounty	Educational services	2001	31073
39003	AllenCounty	Health care and social assistance	2001	417767
39003	AllenCounty	Arts, entertainment, and recreation	2001	14685
39003	AllenCounty	Accommodation and food services	2001	77777
39003	AllenCounty	Other services (except government and government enterprises)	2001	89006
39003	AllenCounty	Government and government enterprises	2001	408925
39005	AshlandCounty	Agriculture, forestry, fishing and hunting	2001	2931
39005	AshlandCounty	Mining, quarrying, and oil and gas extraction	2001	2781
39005	AshlandCounty	Utilities	2001	219
39005	AshlandCounty	Construction	2001	51113
39005	AshlandCounty	Manufacturing	2001	374725
39005	AshlandCounty	Wholesale trade	2001	41876
39005	AshlandCounty	Retail trade	2001	79780
39005	AshlandCounty	Transportation and warehousing	2001	
39005	AshlandCounty	Information	2001	31569
39005	AshlandCounty	Finance and insurance	2001	43347
39005	AshlandCounty	Real estate and rental and leasing	2001	121172
39005	AshlandCounty	Professional and business services	2001	
39005	AshlandCounty	Management of companies and enterprises	2001	
39005	AshlandCounty	Administrative and support and waste management and remediation services	2001	
39005	AshlandCounty	Educational services	2001	
39005	AshlandCounty	Health care and social assistance	2001	
39005	AshlandCounty	Arts, entertainment, and recreation	2001	5962
39005	AshlandCounty	Accommodation and food services	2001	27933
39005	AshlandCounty	Other services (except government and government enterprises)	2001	38261
39005	AshlandCounty	Government and government enterprises	2001	147638
39007	AshtabulaCounty	Agriculture, forestry, fishing and hunting	2001	15688
39007	AshtabulaCounty	Mining, quarrying, and oil and gas extraction	2001	17296
39007	AshtabulaCounty	Utilities	2001	67136
39007	AshtabulaCounty	Construction	2001	95842
39007	AshtabulaCounty	Manufacturing	2001	637159
39007	AshtabulaCounty	Wholesale trade	2001	48621
39007	AshtabulaCounty	Retail trade	2001	152255
39007	AshtabulaCounty	Transportation and warehousing	2001	115515
39007	AshtabulaCounty	Information	2001	46915
39007	AshtabulaCounty	Finance and insurance	2001	83421
39007	AshtabulaCounty	Real estate and rental and leasing	2001	231098
39007	AshtabulaCounty	Professional and business services	2001	82390
39007	AshtabulaCounty	Management of companies and enterprises	2001	
39007	AshtabulaCounty	Administrative and support and waste management and remediation services	2001	31252
39007	AshtabulaCounty	Educational services	2001	5839
39007	AshtabulaCounty	Health care and social assistance	2001	165757
39007	AshtabulaCounty	Arts, entertainment, and recreation	2001	6767
39007	AshtabulaCounty	Accommodation and food services	2001	50604
39007	AshtabulaCounty	Other services (except government and government enterprises)	2001	54520
39007	AshtabulaCounty	Government and government enterprises	2001	265455
39009	AthensCounty	Agriculture, forestry, fishing and hunting	2001	2286
39009	AthensCounty	Mining, quarrying, and oil and gas extraction	2001	3383
39009	AthensCounty	Utilities	2001	7831
39009	AthensCounty	Construction	2001	43162
39009	AthensCounty	Manufacturing	2001	47730
39009	AthensCounty	Wholesale trade	2001	13174
39009	AthensCounty	Retail trade	2001	106479
39009	AthensCounty	Transportation and warehousing	2001	15205
39009	AthensCounty	Information	2001	25149
39009	AthensCounty	Finance and insurance	2001	47445
39009	AthensCounty	Real estate and rental and leasing	2001	177279
39009	AthensCounty	Professional and business services	2001	62021
39009	AthensCounty	Management of companies and enterprises	2001	
39009	AthensCounty	Administrative and support and waste management and remediation services	2001	
39009	AthensCounty	Educational services	2001	2866
39009	AthensCounty	Health care and social assistance	2001	94534
39009	AthensCounty	Arts, entertainment, and recreation	2001	3926
39009	AthensCounty	Accommodation and food services	2001	33143
39009	AthensCounty	Other services (except government and government enterprises)	2001	35538
39009	AthensCounty	Government and government enterprises	2001	539418
39011	AuglaizeCounty	Agriculture, forestry, fishing and hunting	2001	
39011	AuglaizeCounty	Mining, quarrying, and oil and gas extraction	2001	1948
39011	AuglaizeCounty	Utilities	2001	3702
39011	AuglaizeCounty	Construction	2001	63095
39011	AuglaizeCounty	Manufacturing	2001	558997
39011	AuglaizeCounty	Wholesale trade	2001	71372
39011	AuglaizeCounty	Retail trade	2001	76843
39011	AuglaizeCounty	Transportation and warehousing	2001	
39011	AuglaizeCounty	Information	2001	16251
39011	AuglaizeCounty	Finance and insurance	2001	51409
39011	AuglaizeCounty	Real estate and rental and leasing	2001	117037
39011	AuglaizeCounty	Professional and business services	2001	51139
39011	AuglaizeCounty	Management of companies and enterprises	2001	22900
39011	AuglaizeCounty	Administrative and support and waste management and remediation services	2001	8975
39011	AuglaizeCounty	Educational services	2001	1871
39011	AuglaizeCounty	Health care and social assistance	2001	60926
39011	AuglaizeCounty	Arts, entertainment, and recreation	2001	4400
39011	AuglaizeCounty	Accommodation and food services	2001	21773
39011	AuglaizeCounty	Other services (except government and government enterprises)	2001	35422
39011	AuglaizeCounty	Government and government enterprises	2001	113593
39013	BelmontCounty	Agriculture, forestry, fishing and hunting	2001	9894
39013	BelmontCounty	Mining, quarrying, and oil and gas extraction	2001	98507
39013	BelmontCounty	Utilities	2001	76144
39013	BelmontCounty	Construction	2001	59415
39013	BelmontCounty	Manufacturing	2001	107973
39013	BelmontCounty	Wholesale trade	2001	42130
39013	BelmontCounty	Retail trade	2001	194618
39013	BelmontCounty	Transportation and warehousing	2001	42123
39013	BelmontCounty	Information	2001	34314
39013	BelmontCounty	Finance and insurance	2001	105544
39013	BelmontCounty	Real estate and rental and leasing	2001	168776
39013	BelmontCounty	Professional and business services	2001	67051
39013	BelmontCounty	Management of companies and enterprises	2001	26679
39013	BelmontCounty	Administrative and support and waste management and remediation services	2001	11193
39013	BelmontCounty	Educational services	2001	4283
39013	BelmontCounty	Health care and social assistance	2001	142137
39013	BelmontCounty	Arts, entertainment, and recreation	2001	6300
39013	BelmontCounty	Accommodation and food services	2001	46174
39013	BelmontCounty	Other services (except government and government enterprises)	2001	41552
39013	BelmontCounty	Government and government enterprises	2001	201123
39015	BrownCounty	Agriculture, forestry, fishing and hunting	2001	
39015	BrownCounty	Mining, quarrying, and oil and gas extraction	2001	0
39015	BrownCounty	Utilities	2001	2532
39015	BrownCounty	Construction	2001	36501
39015	BrownCounty	Manufacturing	2001	46597
39015	BrownCounty	Wholesale trade	2001	11579
39015	BrownCounty	Retail trade	2001	35150
39015	BrownCounty	Transportation and warehousing	2001	
39015	BrownCounty	Information	2001	5928
39015	BrownCounty	Finance and insurance	2001	30317
39015	BrownCounty	Real estate and rental and leasing	2001	79064
39015	BrownCounty	Professional and business services	2001	38053
39015	BrownCounty	Management of companies and enterprises	2001	17967
39015	BrownCounty	Administrative and support and waste management and remediation services	2001	11276
39015	BrownCounty	Educational services	2001	2557
39015	BrownCounty	Health care and social assistance	2001	31131
39015	BrownCounty	Arts, entertainment, and recreation	2001	1529
