GeoFIPS	GeoArea_Name	Economic_Measure_Name	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37001	Alamance, NC	Personal income (thousands of dollars)	3596372	3658312	3774373	3849857	4003936	4357918	4663288	4856635	4728074	4846334	5052980	5258423	5274613	5541165	5789896	6022761	6287496	6650506	6982583
 37001	Alamance, NC	Population (persons) 2/	133346	135239	136009	137619	139311	141462	144712	147704	149954	151431	152692	153265	154162	155384	157037	160283	163276	166514	169509
 37001	Alamance, NC	Per capita personal income (dollars)	26970	27051	27751	27975	28741	30806	32225	32881	31530	32004	33093	34309	34215	35661	36870	37576	38508	39940	41193
 37001	Alamance, NC	Earnings by place of work	2499258	2507296	2508832	2634741	2710633	2859782	2949739	2992735	2752500	2848719	2943304	3135913	3152497	3230783	3290297	3472675	3585176	3733060	3946448
 37001	Alamance, NC	 Less: Contributions for government social insurance 3/	296194	293838	299426	311194	325522	342219	354728	361101	336694	342402	324302	336892	390015	399610	409126	430437	442265	455274	480919
 37001	Alamance, NC	  Employee and self-employed contributions for government social insurance	151601	154280	153374	161004	167391	177792	184916	188239	178328	184785	155761	159522	208617	213269	218586	233566	244416	257255	271351
 37001	Alamance, NC	  Employer contributions for government social insurance	144593	139558	146052	150190	158131	164427	169812	172862	158366	157617	168541	177370	181398	186341	190540	196871	197849	198019	209568
 37001	Alamance, NC	 Plus: Adjustment for residence 4/	182235	216186	288394	212403	238814	279891	345637	380557	441618	441402	439783	404739	451886	532668	594275	599132	653526	750538	780595
 37001	Alamance, NC	 Equals: Net earnings by place of residence	2385299	2429644	2497800	2535950	2623925	2797454	2940648	3012191	2857424	2947719	3058785	3203760	3214368	3363841	3475446	3641370	3796437	4028324	4246124
 37001	Alamance, NC	 Plus: Dividends, interest, and rent 5/	644338	621826	635949	624800	639208	732022	845093	841136	770073	742654	830149	859678	846778	932299	992242	1019275	1069806	1130642	1152913
 37001	Alamance, NC	 Plus: Personal current transfer receipts	566735	606842	640624	689107	740803	828442	877547	1003308	1100577	1155961	1164046	1194985	1213467	1245025	1322208	1362116	1421253	1491540	1583546
 37001	Alamance, NC	 Wages and salaries	1900777	1899681	1877409	1968535	2006594	2117454	2194448	2239104	2027594	2062643	2165125	2252982	2289096	2326897	2398123	2563383	2687655	2802593	2964704
 37001	Alamance, NC	 Supplements to wages and salaries	409433	415644	435710	457631	478045	495988	514941	518951	496386	503356	494578	540156	530861	566909	558732	582539	592793	615056	652788
 37001	Alamance, NC	  Employer contributions for employee pension and insurance funds 6/	264840	276086	289658	307441	319914	331561	345129	346089	338020	345739	326037	362786	349463	380568	368192	385668	394944	417037	443220
 37001	Alamance, NC	 Proprietors' income 7/	189048	191971	195713	208575	225994	246340	240350	234680	228520	282720	283601	342775	332540	336977	333442	326753	304728	315411	328956
 37001	Alamance, NC	  Farm proprietors' income	13851	1943	8098	8666	12506	10361	9099	3335	971	1071	-2420	3355	5071	6873	3925	-2283	-1184	-7451	-6805
 37001	Alamance, NC	  Nonfarm proprietors' income	175197	190028	187615	199909	213488	235979	231251	231345	227549	281649	286021	339420	327469	330104	329517	329036	305912	322862	335761
 37001	Alamance, NC	 Farm earnings	16481	5171	10726	11196	14720	12589	11611	5659	2932	2605	-534	5692	7505	9298	6266	482	1452	-5259	-4076
 37001	Alamance, NC	 Nonfarm earnings	2482777	2502125	2498106	2623545	2695913	2847193	2938128	2987076	2749568	2846114	2943838	3130221	3144992	3221485	3284031	3472193	3583724	3738319	3950524
 37001	Alamance, NC	  Private nonfarm earnings	2234287	2238443	2226270	2337260	2393522	2527702	2599316	2631448	2388275	2482708	2590583	2776722	2786356	2860665	2904004	3084324	3177769	3310376	3507118
 37001	Alamance, NC	   Forestry, fishing, and related activities	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	2264	2481	2992	2431	2296	2700	3033	3609	3518	(D)
 37001	Alamance, NC	    Forestry and logging	572	616	565	509	287	(D)	404	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1657
 37001	Alamance, NC	    Fishing, hunting and trapping	283	271	252	140	72	8	41	13	1	-11	31	39	27	4	17	25	2	-39	-22
 37001	Alamance, NC	    Support activities for agriculture and forestry	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	   Mining, quarrying, and oil and gas extraction	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	2122	2603	2459	2283	2191	2608	3175	4336	3854	(D)
 37001	Alamance, NC	    Oil and gas extraction	24	25	-12	-12	-7	-3	9	57	84	-2	1	-14	-6	29	-22	-16	8	9	9
