,date,county,state,cases,deaths,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS
37001,2020-03-23,Alamance,North Carolina,3,0,Alamance County,NC,Burlington,37,1
37001,2020-03-24,Alamance,North Carolina,3,0,Alamance County,NC,Burlington,37,1
37001,2020-03-25,Alamance,North Carolina,3,0,Alamance County,NC,Burlington,37,1
37001,2020-03-26,Alamance,North Carolina,4,0,Alamance County,NC,Burlington,37,1
37001,2020-03-27,Alamance,North Carolina,5,0,Alamance County,NC,Burlington,37,1
37001,2020-03-28,Alamance,North Carolina,5,0,Alamance County,NC,Burlington,37,1
37001,2020-03-29,Alamance,North Carolina,6,0,Alamance County,NC,Burlington,37,1
37001,2020-03-30,Alamance,North Carolina,7,0,Alamance County,NC,Burlington,37,1
37001,2020-03-31,Alamance,North Carolina,7,0,Alamance County,NC,Burlington,37,1
37001,2020-04-01,Alamance,North Carolina,7,0,Alamance County,NC,Burlington,37,1
37001,2020-04-02,Alamance,North Carolina,13,0,Alamance County,NC,Burlington,37,1
37001,2020-04-03,Alamance,North Carolina,14,0,Alamance County,NC,Burlington,37,1
37001,2020-04-04,Alamance,North Carolina,16,0,Alamance County,NC,Burlington,37,1
37001,2020-04-05,Alamance,North Carolina,18,0,Alamance County,NC,Burlington,37,1
37001,2020-04-06,Alamance,North Carolina,18,0,Alamance County,NC,Burlington,37,1
37001,2020-04-07,Alamance,North Carolina,24,0,Alamance County,NC,Burlington,37,1
37001,2020-04-08,Alamance,North Carolina,27,0,Alamance County,NC,Burlington,37,1
37001,2020-04-09,Alamance,North Carolina,29,0,Alamance County,NC,Burlington,37,1
37001,2020-04-10,Alamance,North Carolina,33,0,Alamance County,NC,Burlington,37,1
37001,2020-04-11,Alamance,North Carolina,34,0,Alamance County,NC,Burlington,37,1
37001,2020-04-12,Alamance,North Carolina,36,0,Alamance County,NC,Burlington,37,1
37001,2020-04-13,Alamance,North Carolina,41,0,Alamance County,NC,Burlington,37,1
37001,2020-04-14,Alamance,North Carolina,41,0,Alamance County,NC,Burlington,37,1
37001,2020-04-15,Alamance,North Carolina,42,0,Alamance County,NC,Burlington,37,1
37001,2020-04-16,Alamance,North Carolina,45,0,Alamance County,NC,Burlington,37,1
37001,2020-04-17,Alamance,North Carolina,48,0,Alamance County,NC,Burlington,37,1
37001,2020-04-18,Alamance,North Carolina,47,0,Alamance County,NC,Burlington,37,1
37001,2020-04-19,Alamance,North Carolina,49,0,Alamance County,NC,Burlington,37,1
37003,2020-03-30,Alexander,North Carolina,1,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-03-31,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-01,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-02,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-03,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-04,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-05,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-06,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-07,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-08,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-09,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-10,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-11,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-12,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-13,Alexander,North Carolina,2,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-14,Alexander,North Carolina,3,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-15,Alexander,North Carolina,3,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-16,Alexander,North Carolina,3,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-17,Alexander,North Carolina,3,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-18,Alexander,North Carolina,3,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37003,2020-04-19,Alexander,North Carolina,3,0,Alexander County,NC,Hickory-Lenoir-Morganton,37,3
37005,2020-03-29,Alleghany,North Carolina,1,0,Alleghany County,NC,,37,5
37005,2020-03-30,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-03-31,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-01,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-02,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-03,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-04,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-05,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-06,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-07,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-08,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-09,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-10,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-11,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-12,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-13,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-14,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-15,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-16,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-17,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-18,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37005,2020-04-19,Alleghany,North Carolina,2,0,Alleghany County,NC,,37,5
37007,2020-03-31,Anson,North Carolina,1,0,Anson County,NC,,37,7
37007,2020-04-01,Anson,North Carolina,1,0,Anson County,NC,,37,7
37007,2020-04-02,Anson,North Carolina,1,0,Anson County,NC,,37,7
37007,2020-04-03,Anson,North Carolina,3,0,Anson County,NC,,37,7
37007,2020-04-04,Anson,North Carolina,3,0,Anson County,NC,,37,7
37007,2020-04-05,Anson,North Carolina,5,0,Anson County,NC,,37,7
37007,2020-04-06,Anson,North Carolina,5,0,Anson County,NC,,37,7
37007,2020-04-07,Anson,North Carolina,6,0,Anson County,NC,,37,7
37007,2020-04-08,Anson,North Carolina,6,0,Anson County,NC,,37,7
37007,2020-04-09,Anson,North Carolina,9,0,Anson County,NC,,37,7
37007,2020-04-10,Anson,North Carolina,9,0,Anson County,NC,,37,7
37007,2020-04-11,Anson,North Carolina,10,0,Anson County,NC,,37,7
37007,2020-04-12,Anson,North Carolina,10,0,Anson County,NC,,37,7
37007,2020-04-13,Anson,North Carolina,10,0,Anson County,NC,,37,7
37007,2020-04-14,Anson,North Carolina,11,0,Anson County,NC,,37,7
37007,2020-04-15,Anson,North Carolina,12,0,Anson County,NC,,37,7
37007,2020-04-16,Anson,North Carolina,14,0,Anson County,NC,,37,7
37007,2020-04-17,Anson,North Carolina,14,0,Anson County,NC,,37,7
37007,2020-04-18,Anson,North Carolina,15,0,Anson County,NC,,37,7
37007,2020-04-19,Anson,North Carolina,15,0,Anson County,NC,,37,7
37009,2020-04-04,Ashe,North Carolina,1,0,Ashe County,NC,,37,9
37009,2020-04-05,Ashe,North Carolina,1,0,Ashe County,NC,,37,9
37009,2020-04-06,Ashe,North Carolina,1,0,Ashe County,NC,,37,9
37009,2020-04-07,Ashe,North Carolina,2,0,Ashe County,NC,,37,9
37009,2020-04-08,Ashe,North Carolina,2,0,Ashe County,NC,,37,9
37009,2020-04-09,Ashe,North Carolina,2,0,Ashe County,NC,,37,9
37009,2020-04-10,Ashe,North Carolina,3,0,Ashe County,NC,,37,9
37009,2020-04-11,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-12,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-13,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-14,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-15,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-16,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-17,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-18,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37009,2020-04-19,Ashe,North Carolina,4,0,Ashe County,NC,,37,9
37013,2020-03-26,Beaufort,North Carolina,2,0,Beaufort County,NC,Washington,37,13
37013,2020-03-27,Beaufort,North Carolina,3,0,Beaufort County,NC,Washington,37,13
37013,2020-03-28,Beaufort,North Carolina,3,0,Beaufort County,NC,Washington,37,13
37013,2020-03-29,Beaufort,North Carolina,3,0,Beaufort County,NC,Washington,37,13
37013,2020-03-30,Beaufort,North Carolina,3,0,Beaufort County,NC,Washington,37,13
37013,2020-03-31,Beaufort,North Carolina,4,0,Beaufort County,NC,Washington,37,13
37013,2020-04-01,Beaufort,North Carolina,5,0,Beaufort County,NC,Washington,37,13
37013,2020-04-02,Beaufort,North Carolina,7,0,Beaufort County,NC,Washington,37,13
37013,2020-04-03,Beaufort,North Carolina,7,0,Beaufort County,NC,Washington,37,13
37013,2020-04-04,Beaufort,North Carolina,8,0,Beaufort County,NC,Washington,37,13
37013,2020-04-05,Beaufort,North Carolina,8,0,Beaufort County,NC,Washington,37,13
37013,2020-04-06,Beaufort,North Carolina,8,0,Beaufort County,NC,Washington,37,13
37013,2020-04-07,Beaufort,North Carolina,9,0,Beaufort County,NC,Washington,37,13
37013,2020-04-08,Beaufort,North Carolina,9,0,Beaufort County,NC,Washington,37,13
37013,2020-04-09,Beaufort,North Carolina,10,0,Beaufort County,NC,Washington,37,13
37013,2020-04-10,Beaufort,North Carolina,12,0,Beaufort County,NC,Washington,37,13
37013,2020-04-11,Beaufort,North Carolina,13,0,Beaufort County,NC,Washington,37,13
37013,2020-04-12,Beaufort,North Carolina,13,0,Beaufort County,NC,Washington,37,13
37013,2020-04-13,Beaufort,North Carolina,14,0,Beaufort County,NC,Washington,37,13
37013,2020-04-14,Beaufort,North Carolina,13,0,Beaufort County,NC,Washington,37,13
37013,2020-04-15,Beaufort,North Carolina,13,0,Beaufort County,NC,Washington,37,13
