	date	county	state	GeoArea_FIPS	cases	deaths
483	2020-03-03	Wake	North Carolina	37183	1	0
520	2020-03-04	Wake	North Carolina	37183	1	0
567	2020-03-05	Wake	North Carolina	37183	1	0
630	2020-03-06	Chatham	North Carolina	37037	1	0
631	2020-03-06	Wake	North Carolina	37183	1	0
719	2020-03-07	Chatham	North Carolina	37037	1	0
720	2020-03-07	Wake	North Carolina	37183	1	0
826	2020-03-08	Chatham	North Carolina	37037	1	0
827	2020-03-08	Wake	North Carolina	37183	1	0
953	2020-03-09	Chatham	North Carolina	37037	1	0
954	2020-03-09	Wake	North Carolina	37183	6	0
1104	2020-03-10	Chatham	North Carolina	37037	1	0
1105	2020-03-10	Wake	North Carolina	37183	6	0
1291	2020-03-11	Chatham	North Carolina	37037	1	0
1292	2020-03-11	Wake	North Carolina	37183	7	0
1528	2020-03-12	Cabarrus	North Carolina	37025	1	0
1529	2020-03-12	Chatham	North Carolina	37037	1	0
1530	2020-03-12	Forsyth	North Carolina	37067	2	0
1531	2020-03-12	Johnston	North Carolina	37101	1	0
1532	2020-03-12	Mecklenburg	North Carolina	37119	2	0
1533	2020-03-12	Onslow	North Carolina	37133	1	0
1534	2020-03-12	Wake	North Carolina	37183	8	0
1822	2020-03-13	Cabarrus	North Carolina	37025	1	0
1823	2020-03-13	Chatham	North Carolina	37037	1	0
1824	2020-03-13	Forsyth	North Carolina	37067	2	0
1825	2020-03-13	Johnston	North Carolina	37101	1	0
1826	2020-03-13	Mecklenburg	North Carolina	37119	2	0
1827	2020-03-13	Onslow	North Carolina	37133	1	0
1828	2020-03-13	Wake	North Carolina	37183	9	0
1829	2020-03-13	Wayne	North Carolina	37191	1	0
2173	2020-03-14	Brunswick	North Carolina	37019	1	0
2174	2020-03-14	Cabarrus	North Carolina	37025	1	0
2175	2020-03-14	Chatham	North Carolina	37037	1	0
2176	2020-03-14	Craven	North Carolina	37049	1	0
2177	2020-03-14	Forsyth	North Carolina	37067	2	0
2178	2020-03-14	Harnett	North Carolina	37085	2	0
2179	2020-03-14	Johnston	North Carolina	37101	2	0
2180	2020-03-14	Mecklenburg	North Carolina	37119	2	0
2181	2020-03-14	Onslow	North Carolina	37133	1	0
2182	2020-03-14	Wake	North Carolina	37183	11	0
2183	2020-03-14	Wayne	North Carolina	37191	1	0
2585	2020-03-15	Brunswick	North Carolina	37019	1	0
2586	2020-03-15	Cabarrus	North Carolina	37025	1	0
2587	2020-03-15	Chatham	North Carolina	37037	1	0
2588	2020-03-15	Craven	North Carolina	37049	1	0
2589	2020-03-15	Forsyth	North Carolina	37067	2	0
2590	2020-03-15	Harnett	North Carolina	37085	2	0
2591	2020-03-15	Johnston	North Carolina	37101	2	0
2592	2020-03-15	Mecklenburg	North Carolina	37119	4	0
2593	2020-03-15	Onslow	North Carolina	37133	1	0
2594	2020-03-15	Wake	North Carolina	37183	14	0
2595	2020-03-15	Watauga	North Carolina	37189	1	0
2596	2020-03-15	Wayne	North Carolina	37191	1	0
2597	2020-03-15	Wilson	North Carolina	37195	1	0
3046	2020-03-16	Brunswick	North Carolina	37019	1	0
3047	2020-03-16	Cabarrus	North Carolina	37025	1	0
3048	2020-03-16	Chatham	North Carolina	37037	1	0
3049	2020-03-16	Craven	North Carolina	37049	1	0
3050	2020-03-16	Durham	North Carolina	37063	1	0
3051	2020-03-16	Forsyth	North Carolina	37067	2	0
3052	2020-03-16	Harnett	North Carolina	37085	2	0
3053	2020-03-16	Johnston	North Carolina	37101	2	0
3054	2020-03-16	Mecklenburg	North Carolina	37119	4	0
3055	2020-03-16	Onslow	North Carolina	37133	1	0
3056	2020-03-16	Wake	North Carolina	37183	15	0
3057	2020-03-16	Watauga	North Carolina	37189	1	0
3058	2020-03-16	Wayne	North Carolina	37191	1	0
3059	2020-03-16	Wilson	North Carolina	37195	1	0
3565	2020-03-17	Brunswick	North Carolina	37019	1	0
3566	2020-03-17	Cabarrus	North Carolina	37025	1	0
3567	2020-03-17	Chatham	North Carolina	37037	1	0
3568	2020-03-17	Craven	North Carolina	37049	1	0
3569	2020-03-17	Durham	North Carolina	37063	1	0
3570	2020-03-17	Forsyth	North Carolina	37067	2	0
3571	2020-03-17	Harnett	North Carolina	37085	3	0
3572	2020-03-17	Iredell	North Carolina	37097	1	0
3573	2020-03-17	Johnston	North Carolina	37101	2	0
3574	2020-03-17	Mecklenburg	North Carolina	37119	7	0
3575	2020-03-17	Onslow	North Carolina	37133	1	0
3576	2020-03-17	Sampson	North Carolina	37163	1	0
3577	2020-03-17	Wake	North Carolina	37183	17	0
3578	2020-03-17	Watauga	North Carolina	37189	1	0
3579	2020-03-17	Wayne	North Carolina	37191	1	0
3580	2020-03-17	Wilson	North Carolina	37195	1	0
4168	2020-03-18	Brunswick	North Carolina	37019	1	0
4169	2020-03-18	Cabarrus	North Carolina	37025	1	0
4170	2020-03-18	Chatham	North Carolina	37037	3	0
4171	2020-03-18	Craven	North Carolina	37049	1	0
4172	2020-03-18	Durham	North Carolina	37063	12	0
4173	2020-03-18	Forsyth	North Carolina	37067	2	0
4174	2020-03-18	Gaston	North Carolina	37071	1	0
4175	2020-03-18	Guilford	North Carolina	37081	1	0
4176	2020-03-18	Harnett	North Carolina	37085	4	0
4177	2020-03-18	Hoke	North Carolina	37093	1	0
4178	2020-03-18	Iredell	North Carolina	37097	1	0
4179	2020-03-18	Johnston	North Carolina	37101	2	0
4180	2020-03-18	Lincoln	North Carolina	37109	1	0
4181	2020-03-18	Mecklenburg	North Carolina	37119	11	0
4182	2020-03-18	Moore	North Carolina	37125	1	0
4183	2020-03-18	New Hanover	North Carolina	37129	1	0
4184	2020-03-18	Onslow	North Carolina	37133	1	0
4185	2020-03-18	Sampson	North Carolina	37163	1	0
4186	2020-03-18	Wake	North Carolina	37183	17	0
4187	2020-03-18	Watauga	North Carolina	37189	1	0
4188	2020-03-18	Wayne	North Carolina	37191	1	0
4189	2020-03-18	Wilson	North Carolina	37195	1	0
4899	2020-03-19	Brunswick	North Carolina	37019	2	0
4900	2020-03-19	Cabarrus	North Carolina	37025	1	0
4901	2020-03-19	Chatham	North Carolina	37037	3	0
4902	2020-03-19	Craven	North Carolina	37049	1	0
4903	2020-03-19	Durham	North Carolina	37063	32	0
4904	2020-03-19	Forsyth	North Carolina	37067	2	0
4905	2020-03-19	Gaston	North Carolina	37071	1	0
4906	2020-03-19	Guilford	North Carolina	37081	2	0
4907	2020-03-19	Harnett	North Carolina	37085	6	0
4908	2020-03-19	Hoke	North Carolina	37093	1	0
