,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,4447089,4581414,4833564,5217617,5463139,5821376,6291739,6455292,6289415,6473182,6714190,7331675,7613689,8171994,8707504,9219482,9704507,10192646
1," ""37000""",North Carolina,5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,848625,847546,841978,900837,923882,961672,1034458,1074645,959595,976263,1024995,1108639,1133363,1209956,1295119,1332024,1425845,1467109
2," ""37001""","Alamance, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,63768,68667,72758,79107,83272,90122,97727,101754,101445,107016,112093,119392,121194,123417,128781,137524,144300,155579
3," ""37001""","Alamance, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,7726,6913,7174,7541,6581,7179,7197,7550,6452,6340,6600,6623,7308,7135,7245,7841,8915,8727
4," ""37003""","Alexander, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,6669,6946,8109,9160,9029,9046,8875,8564,7766,7379,7460,7765,7776,8078,9386,9817,10351,10795
5," ""37003""","Alexander, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,304,181,202,195,194,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
6," ""37005""","Alleghany, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,2349,2432,3136,2928,3869,4099,4487,3571,3910,4076,3381,3322,3331,3361,3439,3406,3940,3522
7," ""37005""","Alleghany, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),(D),280,288,1251,1229,1323,293,331,(D),(D),(D),(D),(D),(D),(D),(D),(D)
8," ""37007""","Anson, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),4492,4782,5317,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
9," ""37007""","Anson, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),(D),299,284,266,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
10," ""37009""","Ashe, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,6698,6688,(D),(D),7730,(D),9131,9356,9273,9777,9823,9426,9748,10934,11479,11916,12660,14744
11," ""37009""","Ashe, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,522,632,(D),(D),763,(D),989,1027,853,926,1130,864,998,920,1053,1056,1081,1382
12," ""37011""","Avery, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,12622,12978,15470,16796,17128,18575,19001,20255,20760,21672,16986,18643,18141,19010,19178,20075,21135,22616
13," ""37011""","Avery, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,5369,5996,8422,9133,9465,10513,10769,12213,11430,11664,7264,9452,8614,9072,9106,9047,8658,9157
14," ""37013""","Beaufort, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,14009,14657,15175,16359,18358,18917,18575,18671,18840,20477,20870,20533,20108,21066,23746,23275,25066,26942
