,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,5265782,5544020,5805918,6255576,6782867,7469222,8088686,8408327,7821087,8576004,9321271,10260824,10517238,11456931,11798644,12257861,12942706,13413760
1," ""37000""",North Carolina,5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,5030501,5294333,5547218,5985921,6480569,7145502,7747539,8013507,7450932,8187599,8910462,9812612,10042335,10942331,11267929,11724589,12289895,12674639
2," ""37001""","Alamance, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,86924,93378,81163,85358,86121,99556,103910,104991,89505,99111,114291,114178,118452,128862,133434,124316,126774,128065
3," ""37001""","Alamance, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,82785,88953,75220,79444,81060,94133,97741,96707,82215,93106,107938,107880,109627,118062,121228,111849,114496,113941
4," ""37003""","Alexander, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),(D),(D),2793,4522,7832,8755,8150,5440,5878,(D),(D),(D),(D),10689,10231,10384,13929
5," ""37003""","Alexander, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),2793,4522,7832,8755,(D),(D),5784,6712,6701,4969,4216,10584,10042,10222,13747
6," ""37005""","Alleghany, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,741,651,524,365,483,750,1061,865,(D),1150,(D),(D),4250,4385,4921,(D),(D),(D)
7," ""37005""","Alleghany, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),472,(D),416,436,(D),(D),(D),904,919,910
8," ""37007""","Anson, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,3190,(D),4608,6459,5920,7258,7544,7542,9369,10211,11425,10455,10594,15793,12404,11826,10422,10969
9," ""37007""","Anson, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,3190,(D),(D),(D),(D),(D),(D),(D),4343,(D),(D),(D),(D),(D),(D),(D),(D),(D)
10," ""37009""","Ashe, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),(D),(D),(D),3060,3171,(D),(D),(D),2111,2456,2481,2728,4259,5038,4928,5243,6894
11," ""37009""","Ashe, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,1386,744,(D),(D),3060,3171,(D),1897,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
12," ""37011""","Avery, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,3591,5222,5199,5586,3589,4007,5421,6850,4336,3919,5233,7497,12958,15901,21160,22155,25099,27253
13," ""37011""","Avery, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21160,22155,25099,(D)
14," ""37013""","Beaufort, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,9271,8818,11876,17373,18094,24902,23854,25918,23697,30584,44175,39730,41416,46047,51052,56107,58615,71380
15," ""37013""","Beaufort, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),14821,15906,20755,19704,22025,19948,26396,40080,35672,37527,42089,47044,51944,54589,68011
16," ""37015""","Bertie, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,2164,(D),(D),2535,2252,2667,2716,3121,3303,8335,9315,8754,9955,15106,15738,14162,10257,9826
17," ""37015""","Bertie, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),2241,1778,(D),(D),(D),(D),1508,1322,5562,5438,5139,5995,9979,10940,10139,(D),(D)
18," ""37017""","Bladen, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,9083,21515,27986,22710,16300,14555,15935,16622,17443,11441,11700,4867,6285,8069,18348,18327,20249,25125
19," ""37017""","Bladen, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
20," ""37019""","Brunswick, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,(D),14137,17445,23275,20977,34937,38979,50806,50097,51310,45761,51756,51418,56036,54863,58666,78113,83068
21," ""37019""","Brunswick, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,12751,12517,12308,20649,18099,32546,37529,49716,49293,50644,45142,51123,50545,55047,54192,57190,76680,81076
22," ""37021""","Buncombe, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,116011,133401,150449,152153,171587,196202,221863,219252,196906,214284,232020,228369,244286,269915,306753,310357,299884,313362
23," ""37021""","Buncombe, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,114162,131262,146623,144484,162394,185948,211492,207870,185171,201292,217157,213864,230453,255594,291769,293791,281364,294960
24," ""37023""","Burke, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,15083,23249,28104,26408,30022,31877,29759,26828,21201,21792,24339,29903,37327,35655,34125,32768,35448,26539
25," ""37023""","Burke, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),22201,26995,25170,28770,(D),(D),25279,19682,20449,23066,(D),35603,33826,32253,30828,33406,24401
26," ""37025""","Cabarrus, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,65510,68789,88589,108558,122003,105034,123453,135310,139436,145989,174082,217465,284590,284927,296567,279993,381539,165172
27," ""37025""","Cabarrus, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),67534,(D),(D),(D),(D),(D),(D),(D),123981,153387,197884,264945,267285,278373,262626,362379,148097
28," ""37027""","Caldwell, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,14053,16099,14369,17093,17595,17440,20309,21297,19185,31009,25509,25360,24009,23919,27695,31525,35139,43793
29," ""37027""","Caldwell, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),20433,18473,30013,24005,24268,22884,22523,26437,29881,32980,(D)
30," ""37029""","Camden, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,1522,1754,1907,1450,1850,2341,(D),(D),19595,31053,23872,15416,2858,2047,9495,8583,2057,1912
31," ""37029""","Camden, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,1522,1754,1907,1450,1850,2341,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1912
32," ""37031""","Carteret, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,18269,21447,23614,21361,23948,27986,27095,39098,34135,33366,29721,32479,28975,30239,30229,34218,39799,44384
33," ""37031""","Carteret, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,18051,21282,23471,(D),(D),(D),(D),35336,(D),29906,(D),(D),(D),26314,26313,29938,30656,34116
34," ""37033""","Caswell, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,1317,(D),(D),2368,(D),2019,708,1050,2083,2620,2971,3180,3546,3348,7078,4765,4918,6257
35," ""37033""","Caswell, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),427,457,(D),2013,(D),(D),1050,2083,(D),(D),(D),(D),(D),(D),(D),(D),(D)
36," ""37035""","Catawba, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,87676,93013,90467,104351,119489,146433,133215,132122,122240,133729,154595,173970,177425,186881,173366,191872,212585,201011
37," ""37035""","Catawba, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),(D),(D),137768,126686,124723,115074,126352,147145,166150,169473,178517,164908,183428,203103,190288
38," ""37037""","Chatham, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,8863,10307,(D),12153,12769,18407,14095,16280,15461,17629,19169,20391,22142,34776,33827,38693,41516,37604
39," ""37037""","Chatham, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),11148,(D),(D),(D),(D),(D),(D),(D),(D),(D),20996,33514,32342,37223,38701,35198
40," ""37039""","Cherokee, NC",5.0,CAINC6N,1400.0,56,   Administrative and support and waste management and remediation services,Thousands of dollars,3560,(D),(D),2049,2043,2424,2652,2820,3615,4126,7403,8578,5698,6957,6595,6865,5603,5362
41," ""37039""","Cherokee, NC",5.0,CAINC6N,1401.0,561,    Administrative and support services,Thousands of dollars,(D),(D),(D),2049,2043,2424,2652,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
