,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,9172824,8815876,8845270,9505904,10399913,11545978,12436153,11815148,9688298,9062976,9027920,9364836,9641491,10447971,11446616,12507167,13414372,14663010
1," ""37000""",North Carolina,5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,2498509,2468992,2477684,2569537,2866065,3142242,3344531,3050556,2435412,2202517,2145137,2376986,2423819,2598293,2902616,3198106,3351568,3822339
2," ""37001""","Alamance, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,126171,118851,125748,145235,138173,145452,160745,148154,121282,117555,109973,114704,122374,127550,133403,144928,155441,159941
3," ""37001""","Alamance, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,16771,22488,21469,19897,14689,16280,19452,17774,12382,12256,10760,10337,10937,11768,13251,14231,15598,16634
4," ""37003""","Alexander, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,9575,8733,9941,10395,10779,(D),(D),9506,8082,7615,7413,7700,7805,9007,9213,10044,11341,9910
5," ""37003""","Alexander, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,2200,1933,1910,1506,1926,(D),(D),1870,1194,1048,1356,1232,1354,1380,1213,1029,927,914
6," ""37005""","Alleghany, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,7263,6289,5695,6844,6979,7286,8319,8576,6266,5745,5802,5283,5065,5279,5308,5150,4651,5088
7," ""37005""","Alleghany, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,3585,3062,2784,3817,3837,3734,4319,4776,(D),2961,3056,2885,2718,2992,3124,3112,2918,3166
8," ""37007""","Anson, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,9169,13425,9159,8587,12058,11607,10727,11981,9896,10375,8458,6530,5143,5597,8685,9884,11289,12739
9," ""37007""","Anson, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,(D),2169,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),848,(D),(D),1750
10," ""37009""","Ashe, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,24587,22661,23586,25792,27289,31752,34232,32679,24357,23800,22857,26277,25476,29275,32404,39632,44820,45716
11," ""37009""","Ashe, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,15052,13701,14653,13305,15222,17674,17964,17254,12715,11269,10604,13315,13972,18331,21128,27686,30410,30968
12," ""37011""","Avery, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,15299,15609,16251,17191,20983,24391,26906,25196,17837,15889,15609,14494,14445,16072,17854,16854,17891,21215
13," ""37011""","Avery, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,6804,6307,6204,7426,10151,10580,12519,11591,6449,5254,5561,5552,6529,7465,8264,8282,(D),(D)
14," ""37013""","Beaufort, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,26650,32749,27623,23597,33614,36492,39768,32467,27999,21656,19006,20305,24266,26742,26912,28584,30610,31658
