,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,706.0,446,    Health and personal care stores,Thousands of dollars,750515,785676,832368,913576,1023663,1109693,1217292,1185248,1214397,1332305,1338578,1365893,1401984,1450951,1468991,1490740,1482616,1504412
1," ""37000""",North Carolina,5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,13216441,14146916,15161096,16357096,17391591,19072041,20387914,21553954,22401608,22891584,22991244,24065394,24812996,25711154,26601157,27607448,29052240,30516906
2," ""37001""","Alamance, NC",5.0,CAINC6N,706.0,446,    Health and personal care stores,Thousands of dollars,15532,15014,10623,11042,14053,14889,16504,17553,19130,20021,20988,21092,21155,20732,20848,20887,20633,21191
3," ""37001""","Alamance, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,232139,248106,260944,278217,296186,316802,330778,359804,399498,423440,440267,478171,639502,644349,609843,657188,656840,711398
4," ""37003""","Alexander, NC",5.0,CAINC6N,706.0,446,    Health and personal care stores,Thousands of dollars,2408,2688,3112,3430,3689,3713,3647,4103,4411,3501,3625,3070,3129,3910,3350,3149,3253,3343
5," ""37003""","Alexander, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),15279,(D),(D),(D),17866,(D),18769,(D),(D),(D),(D),19324,(D),(D),21915,(D)
6," ""37005""","Alleghany, NC",5.0,CAINC6N,706.0,446,    Health and personal care stores,Thousands of dollars,810,758,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1264,(D),(D),(D),(D),1884
7," ""37005""","Alleghany, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,(D),(D),(D),(D),(D),(D),15414,16053,17113,(D),(D),(D),20136,(D),(D),(D),(D),(D)
8," ""37007""","Anson, NC",5.0,CAINC6N,706.0,446,    Health and personal care stores,Thousands of dollars,1253,1529,1659,1585,1891,1745,1887,1872,2031,2004,2267,2680,1831,1883,1807,1701,1561,1608
9," ""37007""","Anson, NC",5.0,CAINC6N,1600.0,62,   Health care and social assistance,Thousands of dollars,13883,14898,16687,18466,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17553,17951
