,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,238281,192076,197715,217919,248077,282044,304743,250216,214984,165555,173712,177855,176269,177385,195121,206063,235323,243449
1," ""37000""",North Carolina,5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,199832,184509,188559,210152,240928,272251,294027,237155,206140,154747,156183,153393,150984,157788,173978,183068,210071,220005
2," ""37001""","Alamance, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),2129,2602,2491,2326,2441,2725,3182,4295,3781
3," ""37001""","Alamance, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
4," ""37003""","Alexander, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),327,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
5," ""37003""","Alexander, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
6," ""37005""","Alleghany, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
7," ""37005""","Alleghany, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
8," ""37007""","Anson, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,6908,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
9," ""37007""","Anson, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,6908,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
10," ""37009""","Ashe, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
11," ""37009""","Ashe, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
12," ""37011""","Avery, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13," ""37011""","Avery, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
14," ""37013""","Beaufort, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D)
15," ""37013""","Beaufort, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16," ""37015""","Bertie, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
17," ""37015""","Bertie, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
18," ""37017""","Bladen, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0
19," ""37017""","Bladen, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0
20," ""37019""","Brunswick, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1006,(D)
21," ""37019""","Brunswick, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1006,(D)
22," ""37021""","Buncombe, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,5400,4767,4247,5154,5484,(D),5617,4910,5343,7005,6516,6700,5836,6283,6626,5759,5890,6481
23," ""37021""","Buncombe, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,5400,4767,4247,5154,5484,(D),(D),(D),(D),5045,4788,4985,4724,4861,5182,(D),(D),(D)
24," ""37023""","Burke, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1413,(D),(D),(D),(D),(D)
25," ""37023""","Burke, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
26," ""37025""","Cabarrus, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,4610,4457,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
27," ""37025""","Cabarrus, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,4610,4457,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
28," ""37027""","Caldwell, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,1016,725,778,799,1052,1136,1287,1015,427,323,409,452,(D),(D),(D),(D),(D),(D)
29," ""37027""","Caldwell, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,1016,725,778,799,1052,1136,1287,1015,427,323,(D),(D),(D),(D),(D),(D),(D),(D)
30," ""37029""","Camden, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31," ""37029""","Camden, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32," ""37031""","Carteret, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D),(D)
33," ""37031""","Carteret, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0
34," ""37033""","Caswell, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
35," ""37033""","Caswell, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
36," ""37035""","Catawba, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),1906,1752,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
37," ""37035""","Catawba, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
38," ""37037""","Chatham, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),363,2518,2522,2046,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
39," ""37037""","Chatham, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),363,2518,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
