,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,331375,338028,350995,420539,509632,574442,662106,732963,623974,614298,633120,690146,695074,813471,879550,931369,958740,972615
1," ""37000""",North Carolina,5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,40013,32328,38616,44249,55525,61279,135209,161705,169324,170127,159352,218388,216031,216430,231542,219898,238146,248204
2," ""37000""",North Carolina,5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,4507896,4772333,4994059,5214685,5246843,5525013,5927857,6121353,5976100,5953315,6085060,6521405,6709905,7091127,7445002,7732412,7961500,8427094
3," ""37001""","Alamance, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,(D),(D),(D),2209,2325,1884,789,424,419,1851,(D),(D)
4," ""37001""","Alamance, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,(D),0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D)
5," ""37001""","Alamance, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,72215,75543,77158,81131,80944,84269,89227,92081,92513,89034,89793,94662,96340,100886,106520,109914,110448,115473
6," ""37003""","Alexander, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7," ""37003""","Alexander, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8," ""37003""","Alexander, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,11139,12343,12894,14863,14538,14166,14712,15651,15734,15509,15375,16571,16996,17548,19140,19512,19374,19229
9," ""37005""","Alleghany, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10," ""37005""","Alleghany, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11," ""37005""","Alleghany, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,3842,4347,4709,4877,(D),3816,4045,5201,5334,5323,5237,5832,6014,6323,6237,4606,4774,5002
12," ""37007""","Anson, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13," ""37007""","Anson, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14," ""37007""","Anson, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,6909,7853,10543,11466,11759,12165,12065,12688,11708,10738,10878,13469,14890,16044,12684,12840,13181,14276
15," ""37009""","Ashe, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,0,(D),(D),(D),(D),0,0,0,0,0,0,0
16," ""37009""","Ashe, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17," ""37009""","Ashe, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,7971,9663,9621,10201,10445,10667,11906,13315,13460,13858,13464,13914,14208,14720,15140,15128,15014,15102
18," ""37011""","Avery, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19," ""37011""","Avery, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0
20," ""37011""","Avery, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,9071,9583,10321,11108,10580,11098,11876,12718,12749,11895,11927,12606,12410,13114,12620,11675,12335,12494
21," ""37013""","Beaufort, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),19934,8268,7074,7177,2282,3819,4627,4377,6502,12037,15678
22," ""37013""","Beaufort, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D)
23," ""37013""","Beaufort, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,19839,23765,24826,27540,26122,27657,29940,31185,30296,30000,31293,31571,29728,31690,32618,31939,31204,30434
24," ""37015""","Bertie, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25," ""37015""","Bertie, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,0,0,(D),(D),0,0,0,0,0,0,0,0
26," ""37015""","Bertie, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,7173,6965,7660,8026,8008,8094,8654,9725,9447,9202,8886,9129,9282,9416,9054,8982,8945,9330
27," ""37017""","Bladen, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D)
28," ""37017""","Bladen, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),0
29," ""37017""","Bladen, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,(D),11270,12268,13392,15381,16153,14768,16016,14744,13746,13636,14416,14289,(D),(D),(D),15481,(D)
30," ""37019""","Brunswick, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),1232,(D),(D),880,1135,2041,1881,2232,1176
31," ""37019""","Brunswick, NC",5.0,CAINC6N,907.0,519,    Other information services 4/,Thousands of dollars,(D),0,0,0,0,0,(D),(D),712,1030,1225,1527,(D),(D),(D),(D),(D),(D)
32," ""37019""","Brunswick, NC",5.0,CAINC6N,1900.0,81,   Other services (except government and government enterprises),Thousands of dollars,24851,26405,30303,33107,36960,41816,44292,47165,46424,49731,50102,53161,54901,60278,66693,69273,73951,84773
33," ""37021""","Buncombe, NC",5.0,CAINC6N,519.0,3364-3369,     Other transportation equipment manufacturing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31290,32959,36000,(D),(D)
