,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""37000""",North Carolina,5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,128226820,129355927,132495449,140034569,147656870,158432534,167623468,169535927,159968580,163599262,169238783,178540721,183394651,196240670,206699802,213815137,224230202,237373303
1," ""37000""",North Carolina,5.0,CAINC6N,1904.0,814,    Private households,Thousands of dollars,256458,249793,275100,293358,295180,316232,343810,364940,331418,292674,312828,308449,324491,372076,379904,359292,336362,394479
2," ""37001""","Alamance, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,2059090,2048415,2038655,2137351,2180034,2291723,2368065,2400103,2160726,2201059,2304562,2437302,2458887,2530561,2574646,2738919,2853175,2993988
3," ""37001""","Alamance, NC",5.0,CAINC6N,1904.0,814,    Private households,Thousands of dollars,2124,2080,2274,2423,2422,2579,2792,2969,2698,2382,2539,2481,2593,2956,3013,2847,2684,3160
4," ""37003""","Alexander, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,274939,269624,278451,293981,291974,300597,307711,295704,252723,253270,255730,263788,267646,285777,290226,296299,315120,319197
5," ""37003""","Alexander, NC",5.0,CAINC6N,1904.0,814,    Private households,Thousands of dollars,1249,1208,1326,(D),(D),1444,1555,1625,1456,1271,(D),1299,1348,1529,1543,1444,(D),(D)
6," ""37005""","Alleghany, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,87303,83957,78207,84379,89773,94451,92736,91356,85217,86135,83831,83197,89469,95029,97046,98113,99956,103276
7," ""37005""","Alleghany, NC",5.0,CAINC6N,1904.0,814,    Private households,Thousands of dollars,174,(D),181,(D),192,207,220,231,207,(D),191,183,(D),(D),(D),205,190,222
8," ""37007""","Anson, NC",5.0,CAINC6N,90.0,113-814,  Private nonfarm compensation,Thousands of dollars,189803,191924,190626,199582,205045,203190,209529,213771,191910,202191,207187,210096,203450,220374,222559,221474,223773,235838
9," ""37007""","Anson, NC",5.0,CAINC6N,1904.0,814,    Private households,Thousands of dollars,(D),(D),115,(D),(D),122,129,134,120,(D),110,108,109,123,124,114,105,121
