GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	11387404	11407889	11434788	11452251	11463320	11481213	11500468	11515391	11528896	11539336	11544663	11548923	11576684	11602700	11617527	11634370	11659650	11676341	11689100
" ""39001"""	Adams, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	27522	27817	28111	28328	28522	28615	28538	28686	28500	28537	28459	28293	28089	28066	27926	27807	27753	27694	27698
" ""39003"""	Allen, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	108523	108518	107418	106826	106861	106716	106717	106773	106518	106358	105988	105244	105055	104848	104095	103613	103093	102725	102351
" ""39005"""	Ashland, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	52560	52595	52867	52852	53048	53231	53544	53499	53305	53321	53252	53239	53153	53161	53310	53520	53662	53706	53484
" ""39007"""	Ashtabula, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	102450	102577	102667	102648	102638	102340	102156	101826	101584	101403	101085	100252	99746	99027	98404	98171	97748	97587	97241
" ""39009"""	Athens, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	62997	63401	63827	63230	64075	64237	64102	64546	64618	65173	65079	64610	64594	64783	65886	66352	66503	65519	65327
" ""39011"""	Auglaize, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	46137	45943	45872	45932	46166	46034	45977	46167	45996	45898	45741	45770	45801	45737	45734	45766	45753	45736	45656
" ""39013"""	Belmont, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	69901	70293	70219	70241	70203	70469	70430	70356	70439	70333	70122	69709	69563	69367	68973	68606	68002	67533	67006
" ""39015"""	Brown, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	42839	43368	43794	43995	44161	44334	44490	44668	44740	44863	44629	44281	44111	43933	43697	43638	43523	43570	43432
" ""39017"""	Butler, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	336679	339514	343022	346655	350732	356691	361192	364179	366633	369102	370123	370550	371395	373750	375998	378354	380607	382000	383134
" ""39019"""	Carroll, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	28961	29172	29325	29297	29118	29163	29062	28999	28917	28846	28820	28538	28257	28129	27718	27621	27324	27082	26914
" ""39021"""	Champaign, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	39047	39280	39395	39565	39592	40018	40127	40263	40265	40078	39824	39573	39461	39078	38963	38741	38851	38785	38885
" ""39023"""	Clark, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	143803	143229	141758	141380	141367	140668	139829	139404	138778	138274	137811	137171	136638	136311	135746	134723	134549	134528	134083
" ""39025"""	Clermont, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	179845	182143	184446	187281	189486	192209	194346	195891	196512	197604	198859	199487	200447	201454	201995	203165	204260	205526	206428
" ""39027"""	Clinton, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	40777	41042	41250	41557	41775	42499	42576	42656	42418	41922	41913	41819	41864	41805	41839	41887	42004	42085	41968
" ""39029"""	Columbiana, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	111370	111097	111000	110627	109784	109673	109153	108469	107948	107890	107419	106620	105959	105621	104714	103817	103062	102473	101883
" ""39031"""	Coshocton, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	36975	37149	37288	37421	37363	37339	37184	36953	36878	36938	36931	36823	36723	36531	36577	36617	36536	36596	36600
" ""39033"""	Crawford, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	46533	46271	45928	45776	45536	44907	44634	44291	43921	43754	43310	42776	42713	42407	42324	42095	41710	41484	41494
" ""39035"""	Cuyahoga, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	1382520	1371493	1359929	1346714	1330612	1312816	1301540	1291479	1285082	1278088	1270331	1266106	1265442	1263201	1258739	1254144	1247581	1241718	1235072
" ""39037"""	Darke, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	53110	53011	53190	53236	53200	53023	52996	52909	52829	52963	52653	52515	52306	52184	51981	51624	51549	51299	51113
" ""39039"""	Defiance, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	39456	39303	39209	39115	39049	39154	39123	39250	39060	39082	39005	38827	38564	38525	38326	38140	38156	38089	38087
" ""39041"""	Delaware, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	118646	126172	133842	141348	149153	156164	161796	166652	170676	175099	178535	181127	185380	189440	193391	197144	200870	205091	209177
" ""39043"""	Erie, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	79308	78762	78673	78596	78070	77876	77668	77573	77085	76978	76687	76428	76053	75809	75360	74999	74760	74513	74266
" ""39045"""	Fairfield, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	126245	129355	132770	136074	138745	141005	142915	144029	145446	146417	147174	147301	148796	150360	151254	152789	154686	155982	157574
" ""39047"""	Fayette, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	28310	28370	28450	28470	28695	28791	28908	28896	28929	29014	28867	28767	28686	28650	28611	28670	28639	28653	28525
" ""39049"""	Franklin, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	1082938	1088693	1095250	1099603	1105497	1115924	1127174	1141183	1155408	1166202	1180800	1199045	1218878	1238362	1257386	1274450	1295510	1307698	1316756
" ""39051"""	Fulton, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	42169	42275	42402	42777	42897	42785	42800	42780	42747	42629	42363	42330	42199	42403	42301	42306	42265	42267	42126
" ""39053"""	Gallia, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	31017	31083	31095	31029	30993	30927	30977	30997	30857	31072	31031	30886	30685	30463	30249	30186	30162	29945	29898
" ""39055"""	Geauga, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	91429	91970	93042	93218	93614	93839	93742	93583	93446	93389	93292	93771	93846	93979	93894	93845	93881	93945	93649
" ""39057"""	Greene, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	149643	151537	153064	155442	156223	157850	159055	160115	161075	161588	163566	164335	163907	164673	164272	165290	166566	167446	168937
" ""39059"""	Guernsey, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	40860	40991	41138	40965	40752	40600	40531	40347	40242	40155	39910	39876	39706	39690	39392	39211	39066	39011	38875
" ""39061"""	Hamilton, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	840335	832390	825139	817306	810352	804913	801815	799840	802149	802278	800658	802409	805182	807617	809527	811332	814170	815445	817473
" ""39063"""	Hancock, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	71972	72617	73118	73532	73585	74167	74712	74781	74964	74689	74912	75459	75581	75281	75678	75831	75973	75920	75783
" ""39065"""	Hardin, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	31753	31804	31729	32119	31983	31939	32132	32200	32185	32127	31806	31632	31747	31784	31616	31398	31329	31418	31365
" ""39067"""	Harrison, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	15796	15902	16002	15856	15907	15868	15901	15856	15860	15825	15790	15684	15602	15519	15395	15252	15202	15167	15040
" ""39069"""	Henry, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	29055	29119	29021	29014	29031	29026	28671	28523	28322	28171	28002	27824	27824	27597	27481	27282	27179	27091	27006
" ""39071"""	Highland, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	41295	41857	42269	42938	42967	43562	43845	43700	43578	43621	43378	42964	43195	43093	42960	43006	42903	43052	43161
" ""39073"""	Hocking, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	28452	28653	28823	28962	29058	29097	29418	29445	29358	29478	29466	29304	28653	28743	28500	28393	28436	28357	28264
" ""39075"""	Holmes, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	39805	40475	40844	41370	41630	41828	41826	42029	42275	42473	42793	43128	43604	43788	43882	43847	43895	43919	43960
" ""39077"""	Huron, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	59620	59917	59947	60011	60116	60113	60086	60121	59754	59560	59416	59204	58825	58610	58307	58367	58393	58364	58266
" ""39079"""	Jackson, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	32670	32846	32880	33025	33242	33135	33144	33164	33115	33248	33124	32869	32801	32761	32559	32528	32386	32366	32413
" ""39081"""	Jefferson, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	73043	72416	72122	71774	71251	70656	70114	69989	69833	69670	69035	68538	68168	67876	67495	66944	66318	65774	65325
" ""39083"""	Knox, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	55460	56377	57232	57995	58641	59194	59843	60348	60633	61090	61283	60764	60858	61000	61001	60909	61271	61900	62322
" ""39085"""	Lake, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	227648	227747	227232	227829	227647	228203	228930	229904	229954	230014	229988	229564	230075	229857	229836	229525	230159	230102	230149
" ""39087"""	Lawrence, OH	3.0	CAINC5N	20.0	...	Population (persons) 	Number of persons	61965	61847	62197	62169	62476	62798	62748	62640	62667	62424	62415	62146	61858	61539	60923	60691	60075	59767	59463
