GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	6148984	6226723	6552806	6886910	6967354	7173019	7570803	7544618	7283496	7351089	7731960	8326962	8686863	9145181	9804882	10274423	10682910	11100214	11516680
" ""39001"""	Adams, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	7479	6463	6614	7097	7040	7177	8253	10190	9686	9142	9720	10176	10442	9960	10530	10814	10291	9763	10336
" ""39003"""	Allen, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	56066	57744	60494	67272	67686	70960	69002	68016	67454	70449	75181	81902	88159	87825	90763	92786	95129	96543	97559
" ""39005"""	Ashland, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	21042	19527	20315	22078	20322	21476	23396	22765	20943	20970	21912	23905	24349	25685	27571	28465	31158	33157	33785
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	35142	37296	38659	41889	42281	39914	42266	40957	40612	40060	41787	46664	48747	50189	54697	56010	57508	61162	62030
" ""39009"""	Athens, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	23155	24140	24241	27835	29251	29738	31958	33036	32738	33120	35803	39643	39701	43501	46750	50337	53211	54575	57368
" ""39011"""	Auglaize, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	14915	14499	15647	16027	14981	16301	16369	16091	16095	16414	18472	21663	20045	22724	24962	26034	28208	29992	31884
" ""39013"""	Belmont, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	31154	34316	35644	39024	37892	37148	39458	39667	39998	39995	42315	44543	47752	52889	56372	55763	58328	58329	60674
" ""39015"""	Brown, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	7084	6982	8196	8851	9473	9923	11245	11497	11362	12961	12719	13225	14470	14685	14932	15628	16328	17273	18298
" ""39017"""	Butler, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	153014	156196	177416	193716	203929	206636	217311	215143	207555	218727	229857	248008	253204	260712	281666	305193	329717	350764	360300
" ""39019"""	Carroll, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	6054	5810	6392	6841	6754	6607	6920	6660	6245	6104	7247	8484	11246	11913	12511	10628	10731	10666	10380
" ""39021"""	Champaign, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	11389	11004	11609	12708	13447	15237	16270	15201	13229	12661	13865	10899	11004	11324	12251	11891	11374	12067	12596
" ""39023"""	Clark, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	60477	61507	68159	71739	72135	72076	75272	75971	75604	76842	79157	80215	83675	85631	92558	94937	96790	97349	98665
" ""39025"""	Clermont, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	59393	64643	71865	80524	80175	94547	103546	104902	106299	105484	111190	119009	116585	120968	133867	140356	149310	157980	165552
" ""39027"""	Clinton, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	16052	16503	16582	17327	16152	17505	22101	19995	19582	19020	19655	20452	20925	20728	22108	22832	25438	26139	28949
" ""39029"""	Columbiana, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	29827	30350	32042	33461	33449	35402	37061	36137	33592	33160	34497	38530	40237	39782	39984	41743	44022	45445	47546
" ""39031"""	Coshocton, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	8243	8634	8404	9550	9516	8917	9190	9594	9684	10019	10560	11062	11660	11817	12778	12916	12994	12224	12438
" ""39033"""	Crawford, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	13386	12525	13206	14421	13807	14225	15781	16222	16170	14897	15545	16712	17388	17128	17405	17900	20169	21700	22735
" ""39035"""	Cuyahoga, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	917646	873784	922869	957410	982439	1021918	1055160	1025094	972736	982530	1033349	1117267	1177823	1239023	1329058	1427485	1471631	1529532	1588701
" ""39037"""	Darke, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	13475	12701	13608	13996	13907	13553	15160	14929	14409	14376	14721	14804	15199	15909	17266	17838	18950	18881	19023
" ""39039"""	Defiance, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	15894	14855	13439	15982	15765	17265	19708	20665	20254	19850	19354	20376	21890	23560	24323	23579	25564	27415	30318
" ""39041"""	Delaware, OH	3.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	57295	66289	94779	113627	123304	136611	136124	148765	157640	163739	180524	203392	206777	210476	244812	257167	255984	263148	284853
