GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	2465229	2682317	2852209	3071252	3210618	3527336	3648339	3855957	4098445	4202025	4399914	4492614	4477710	4638784	4620818	4816538	4685624	4813237	5080849
" ""39001"""	Adams, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	111	86	(D)	(D)	(D)	(D)	(D)	(D)	104	(D)	112	(D)	103	270	377	792	886	955
" ""39003"""	Allen, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	25683	28135	30203	32691	34628	38278	40295	40744	43567	47374	49146	48187	46460	49767	52227	54672	51296	50511	51617
" ""39005"""	Ashland, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	4616	4867	5001	5317	5370	5540	5446	5580	5730	6041	6160	6572	6769	7093	7024	7609	7147	7157	6434
" ""39009"""	Athens, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1803	2118	2014	1576	755	565	577	630	551	625	679	821	857	912	999	1095	1044	1602	1973
" ""39011"""	Auglaize, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1288	1979	1935	1926	1854	2151	2375	1856	2202	2119	1943	2064	2136	2528	2325	2537	2571	2571	2931
" ""39013"""	Belmont, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	3300	3538	3746	3863	3886	4359	4435	4458	4389	4151	4178	4648	4694	5034	4971	5609	5428	5134	5123
" ""39015"""	Brown, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1924	(D)	(D)	2276	2389	2432	(D)	(D)	(D)	1951	(D)	(D)	(D)	(D)	(D)	3322	3973	4260	4157
" ""39017"""	Butler, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	14596	17068	19621	22255	25041	31647	32158	33775	43307	45198	46260	27141	28888	29882	32308	37372	37631	40711	42962
" ""39019"""	Carroll, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	218	(D)	(D)	(D)	(D)	(D)	0	0	0	0	0	0	(D)	(D)
" ""39021"""	Champaign, OH	3.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	10436	(D)	(D)	(D)	(D)	8821	(D)	8653
