GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	13928834	13661738	14501117	15642929	15856570	16427167	16679638	17215194	16829710	16777256	17689891	18216151	17770800	17989219	18575787	19450106	20653879	20515270	21144530
" ""39001"""	Adams, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	10940	10311	11249	12971	13285	14656	16942	15728	14421	14724	16093	14820	14593	14414	15410	16924	17929	17629	17901
" ""39003"""	Allen, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	132653	130603	138859	150352	153855	155928	155197	156058	156895	155797	162328	167760	161569	160360	161348	172692	183241	180924	185780
" ""39005"""	Ashland, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	42428	41124	43372	46689	46748	47464	50167	51418	50358	49562	52010	53124	50937	51861	54599	56858	59726	58572	60580
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	72258	71052	75070	82568	84341	84219	84586	88813	86451	87765	92678	92629	88994	88865	90083	91900	98208	97189	98454
" ""39009"""	Athens, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	31025	30708	33205	35723	36868	38797	40198	42352	45732	45420	48371	49599	45801	45530	46358	49085	53512	50006	53027
" ""39011"""	Auglaize, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	45817	43515	47992	54123	54449	55967	57082	59072	53794	54797	58697	61775	60307	61799	67053	70886	74292	76402	79080
" ""39013"""	Belmont, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	43035	44153	48121	52467	54640	55909	56180	59891	61193	60367	64193	66217	65504	69621	69342	68856	76457	74822	73227
" ""39015"""	Brown, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	12018	11898	13259	14845	15429	16825	18188	19558	19786	21441	22503	22968	22420	22106	20749	21792	22859	21820	20031
" ""39017"""	Butler, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	326696	326858	354914	396632	407475	442463	462295	484720	474942	481232	494111	493098	485184	500241	526017	565289	612825	598663	621675
" ""39019"""	Carroll, OH	3.0	CAINC6N	8.0	...	  Employer contributions for government social insurance	Thousands of dollars	11770	10894	11342	12597	13961	14600	14859	15000	14280	14461	15196	17959	22684	21491	21027	22407	24940	19322	20749
