GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	368870	331708	391638	434829	387615	378427	560941	453629	475801	387172	472194	635997	594847	529573	668741	764608	609196	613444	632525
" ""39001"""	Adams, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	905	727	874	982	883	869	1306	1063	1115	912	1100	1517	1395	1252	1559	1778	1420	1430	1459
" ""39003"""	Allen, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2120	2073	2673	3224	3094	3226	5072	3920	3924	3064	3562	4674	4336	3876	4853	5552	4431	4463	4576
" ""39005"""	Ashland, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4286	4070	4589	4847	4113	3825	5401	4096	4011	3069	3486	4474	4144	3708	4634	5294	4229	4257	4367
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3432	2811	3805	4752	4696	5008	8030	6000	5814	4382	4920	6214	5767	5152	6454	7380	5897	5938	6089
" ""39009"""	Athens, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	547	304	389	468	455	481	757	724	854	770	1022	1476	1381	1227	1554	1774	1409	1422	1462
" ""39011"""	Auglaize, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3599	3358	3674	3804	3201	2953	4120	3300	3402	2731	3268	4401	4095	3654	4584	5243	4183	4211	4327
" ""39013"""	Belmont, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1040	971	1065	1088	888	792	1077	862	877	709	807	1144	1019	928	1110	1270	1029	1034	1035
" ""39015"""	Brown, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1622	1452	1611	1664	1379	1256	1730	1478	1602	1354	1665	2372	2171	1950	2415	2762	2209	2227	2271
" ""39017"""	Butler, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4664	4591	4758	4525	3369	2669	3082	2701	3021	2601	3312	4685	4354	3889	4885	5581	4450	4478	4607
" ""39019"""	Carroll, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4298	4055	4376	4426	3578	3147	4176	3325	3439	2763	3335	4439	4158	3699	4676	5347	4259	4286	4419
" ""39021"""	Champaign, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3210	2828	3494	4031	3694	3695	5610	4693	5102	4265	5380	7329	6908	6130	7800	8922	7086	7142	7392
" ""39023"""	Clark, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	13804	12702	15319	17327	15649	15448	23180	16165	14605	10120	10425	11584	10862	9660	12228	13986	11130	11210	11583
" ""39025"""	Clermont, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1522	1365	1530	1636	1434	1376	1993	2211	2874	2749	3813	5698	5335	4747	5997	6857	5462	5501	5668
" ""39027"""	Clinton, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2628	2353	2576	2642	2181	1957	2671	2205	2357	1950	2415	3295	3080	2744	3461	3959	3154	3181	3274
" ""39029"""	Columbiana, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	7031	6693	7029	6936	5505	4736	6098	4807	4908	3908	4627	6167	5724	5111	6402	7321	5842	5886	6038
" ""39031"""	Coshocton, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3732	3396	3868	4113	3504	3260	4630	3642	3725	2960	3526	4654	4349	3875	4888	5591	4457	4487	4624
" ""39033"""	Crawford, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4115	3753	4361	4759	4159	3979	5786	4704	4954	4047	4945	6699	6249	5573	7026	8030	6409	6446	6641
" ""39035"""	Cuyahoga, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	5515	5011	5739	6174	5318	5016	7193	5101	4683	3315	3497	4030	3771	3357	4238	4844	3859	3886	4009
" ""39037"""	Darke, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	13160	12426	14114	15042	12845	12033	17117	14633	16098	13644	17327	23936	22506	19989	25369	29011	23083	23245	24038
" ""39039"""	Defiance, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1443	1437	1718	1921	1722	1686	2515	2024	2123	1720	2091	2817	2625	2343	2947	3369	2678	2700	2780
" ""39041"""	Delaware, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	6285	5635	6670	7394	6533	6318	9294	7387	7665	6159	7463	9892	9289	8253	10463	11966	9528	9590	9910
" ""39043"""	Erie, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3620	3187	3803	4253	3805	3725	5538	5832	7408	6972	9573	14150	13257	11793	14925	17068	13591	13685	14131
" ""39045"""	Fairfield, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3009	2584	3102	3496	3163	3135	4703	3706	3789	3019	3589	4773	4439	3960	4980	5688	4537	4566	4697
" ""39047"""	Fayette, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2304	1937	2308	2569	2296	2246	3340	3070	3558	3146	4119	5886	5512	4906	6203	7092	5651	5688	5865
" ""39049"""	Franklin, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	6298	5820	6620	7186	6346	6125	8945	6764	6667	5101	5874	7462	6988	6216	7861	8985	7155	7206	7431
" ""39051"""	Fulton, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4606	4162	4901	5414	4800	4675	6909	5664	5984	4909	6042	8183	7670	6820	8633	9867	7854	7909	8167
" ""39053"""	Gallia, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1011	829	997	1122	1000	981	1462	1106	1091	834	955	1218	1128	1010	1274	1455	1164	1170	1199
" ""39055"""	Geauga, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3524	3388	3942	4314	3787	3650	5350	4680	5231	4503	5725	8101	7537	6726	8446	9656	7703	7759	7984
" ""39057"""	Greene, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4643	4298	5121	5756	5195	5125	7676	5657	5441	4055	4529	5612	5233	4665	5875	6716	5362	5395	5553
" ""39059"""	Guernsey, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	317	256	550	864	996	1183	2050	1478	1368	985	1049	1249	1155	1037	1299	1488	1192	1194	1224
" ""39061"""	Hamilton, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	5818	5455	5919	5986	4834	4251	5637	4915	5478	4705	6016	8417	7892	7016	8882	10155	8091	8142	8402
" ""39063"""	Hancock, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1835	1590	2035	2443	2342	2428	3804	2887	2873	2212	2562	3296	3077	2740	3453	3945	3145	3168	3259
" ""39065"""	Hardin, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2625	1939	3393	4964	5419	6199	10489	8619	9236	7628	9498	12866	12089	10739	13624	15582	12400	12488	12919
" ""39067"""	Harrison, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1143	1097	1188	1204	977	865	1152	905	915	723	858	1132	1054	939	1186	1353	1082	1086	1119
" ""39069"""	Henry, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2911	2602	3242	3779	3505	3538	5420	3967	3798	2814	3139	3827	3589	3192	4040	4620	3676	3700	3816
" ""39071"""	Highland, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1635	1478	1768	1971	1755	1720	2564	2288	2578	2242	2874	4082	3809	3395	4272	4882	3895	3918	4035
" ""39073"""	Hocking, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1147	1229	1207	1081	741	522	490	396	404	326	384	518	481	431	543	618	494	500	508
" ""39075"""	Holmes, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4645	4430	5198	5757	5152	5057	7509	6355	6897	5800	7223	10081	9356	8357	10474	11972	9556	9621	9888
" ""39077"""	Huron, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	10271	9751	11643	13241	12142	12139	18364	15459	16873	14182	17872	24579	23060	20506	25973	29696	23636	23810	24597
" ""39079"""	Jackson, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2212	911	935	886	648	511	582	519	590	521	669	953	891	791	999	1146	914	921	949
" ""39081"""	Jefferson, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	612	536	592	616	526	491	702	573	586	477	569	776	721	642	808	927	742	746	764
" ""39083"""	Knox, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	4171	3842	4587	5123	4588	4497	6699	4933	4704	3489	3848	4767	4422	3949	4950	5656	4515	4545	4667
" ""39085"""	Lake, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	26117	21936	25736	28363	25050	24252	35658	27525	27690	21632	25486	32946	30926	27489	34839	39841	31705	31938	33003
" ""39087"""	Lawrence, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	690	708	734	701	530	434	518	434	461	386	455	664	592	537	646	737	602	602	597
" ""39089"""	Licking, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	9710	6571	8347	9859	9227	9397	14514	11836	12577	10326	12700	17271	16114	14364	18096	20685	16485	16602	17104
" ""39091"""	Logan, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	5018	3738	3917	3828	2989	2527	3178	2797	3128	2697	3454	4866	4548	4050	5113	5849	4655	4692	4832
" ""39093"""	Lorain, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	21152	19483	23395	26294	23641	23332	34904	28539	30208	24784	30587	41213	38745	34411	43673	49938	39725	40017	41384
" ""39095"""	Lucas, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	9107	7790	8694	9139	7725	7150	10028	7837	7971	6298	7487	9804	9188	8175	10341	11821	9412	9477	9780
" ""39097"""	Madison, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3499	3217	3860	4327	3869	3788	5642	4786	5232	4413	5554	7695	7196	6405	8083	9240	7361	7415	7647
" ""39099"""	Mahoning, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3237	2449	3078	3611	3390	3471	5375	4518	4891	4095	5125	7052	6605	5876	7429	8495	6771	6814	7030
" ""39101"""	Marion, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2764	2519	3022	3396	3038	2973	4429	3649	3912	3232	4018	5470	5128	4562	5774	6602	5258	5292	5461
" ""39103"""	Medina, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	8103	8010	8524	8465	6701	5755	7407	6056	6396	5243	6390	8747	8115	7254	9088	10385	8298	8345	8574
" ""39105"""	Meigs, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2649	2400	2608	2723	2340	2194	3107	2312	2237	1683	1901	2377	2226	1980	2498	2857	2274	2290	2357
" ""39107"""	Mercer, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	7440	6936	8275	9271	8357	8267	12407	9629	9650	7548	8811	11518	10735	9571	12042	13768	10980	11058	11388
" ""39109"""	Miami, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	3130	3038	3605	4046	3663	3625	5435	4208	4217	3303	3771	5093	4613	4168	5102	5829	4688	4717	4791
" ""39111"""	Monroe, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	481	431	458	453	363	313	416	451	576	548	743	1127	1042	933	1164	1335	1070	1072	1100
" ""39113"""	Montgomery, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	6430	6029	6962	7517	6486	6139	8834	7346	7895	6561	8191	11155	10488	9310	11814	13510	10748	10823	11189
" ""39115"""	Morgan, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	296	212	297	384	400	445	740	648	713	613	777	1094	1019	910	1143	1306	1044	1049	1080
" ""39117"""	Morrow, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1997	1838	2667	3509	3600	3943	6458	5248	5539	4534	5557	7510	7026	6252	7897	9031	7201	7243	7469
" ""39119"""	Muskingum, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	1428	1349	1663	1902	1749	1772	2708	2138	2160	1708	2008	2664	2481	2211	2781	3181	2538	2559	2628
" ""39121"""	Noble, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	134	118	148	173	165	174	270	235	253	214	262	375	345	308	381	435	351	353	359
" ""39123"""	Ottawa, OH	3.0	CAINC6N	81.0	111-112	 Farm compensation	Thousands of dollars	2704	2426	2736	2923	2528	2395	3442	2906	3160	2653	3320	4604	4300	3829	4826	5522	4398	4431	4564
