GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	23812572	25300976	27025317	28941236	30239658	32273775	33134490	34981586	36168849	37310716	38265570	39844935	41657463	42591527	44424444	46063383	47496278	49293841	51072478
" ""39001"""	Adams, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	21253	22689	(D)	(D)	(D)	(D)	(D)	(D)	28946	(D)	29840	(D)	31452	32345	34032	36190	33141	40776
" ""39003"""	Allen, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	361852	379117	390983	414384	431912	472420	483306	495875	504569	524539	535331	548685	546231	531025	494617	553283	616516	619129	616070
" ""39005"""	Ashland, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	144083	148356	153946	167629	173835	187351	198608	213388	219581	219614	224560	224562	232328	233173	242816	251187	254740	263742	276798
" ""39009"""	Athens, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	79972	91326	101160	110100	116483	126017	127364	118348	124695	122633	128135	137202	145937	154798	159858	165724	176824	175516	180620
" ""39011"""	Auglaize, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	48712	53608	55784	73523	76537	76102	80401	83757	83086	85059	86007	89243	93435	93114	95425	101770	104616	105769	116323
" ""39013"""	Belmont, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	111431	124662	133645	138235	138194	142271	144704	150657	152373	157979	158960	151505	159580	151020	159423	161356	156381	174889	167826
" ""39015"""	Brown, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	27014	(D)	(D)	32039	32619	34885	(D)	(D)	(D)	44053	(D)	(D)	(D)	(D)	(D)	52167	51944	50418	53345
" ""39017"""	Butler, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	479322	522472	546886	600361	637661	702847	756985	787150	828823	881794	816738	854305	899454	946646	1010722	1005352	1059432	1106230	1159003
" ""39019"""	Carroll, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	21728	(D)	(D)	(D)	(D)	(D)	22798	22999	21573	22741	24202	26103	(D)	(D)
" ""39021"""	Champaign, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	36091	(D)	(D)	(D)	(D)	39027	(D)	46383
" ""39023"""	Clark, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	288374	294641	321698	343166	354624	371631	369612	366169	368587	356983	361298	354222	358060	355247	368638	396012	421291	428744	428336
" ""39025"""	Clermont, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	139081	155768	171871	184103	188855	213475	228363	243264	241183	241566	234794	242459	251589	268740	279790	299634	329261	339931	341825
" ""39027"""	Clinton, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	87143
" ""39029"""	Columbiana, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	150085	158954	165155	172940	174848	185013	188467	198883	202730	204139	212876	218161	230027	233371	231863	230963	233602	233021	233370
" ""39031"""	Coshocton, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	50385	(D)	(D)	60877	63654	71823	71397	66927	59694	68715	68769	68116	72344	72220	69240	71664	66434	72571	72558
" ""39033"""	Crawford, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""39035"""	Cuyahoga, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	4324889	4530543	4809361	5086647	5275793	5764337	5789821	6115914	6374003	6723158	6944802	7502399	7987999	8047272	8386165	8807698	8755020	9081716	9418385
" ""39037"""	Darke, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	69123	71808	79028	84080	89972	94119	100899	102053	114321	116633	116331	115643	114091	114034	117342
" ""39039"""	Defiance, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	82380	81656	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
" ""39041"""	Delaware, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	84130	98675	133341	171400	192911	198059	215497	236590	252879	263689	277385	302555	327133	344923	371493	396876	459744	495361	536670
" ""39043"""	Erie, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	160626	161620	170151	183671	197593	211870	218263	237729	243950	252629	257809	258932	256246	255803	267081	278422	297993	298767	289343
" ""39045"""	Fairfield, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	110074	118937	129149	138271	151746	162024	170985	276240	278322	299077	315489	322554	332380	342139	361822	391405	418452	435472	454489
" ""39047"""	Fayette, OH	3.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	29521	30895	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
