GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	50924391	49175697	49414889	50227658	50525461	51595506	51495951	49799482	42213700	42939609	45760557	47152199	48197436	50426791	51992052	52236780	53550225	55824832	57056683
" ""39001"""	Adams, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	30074	20014	20217	30286	42006	49397	59418	51111	(D)	44865	56530	48258	53524	54987	63140	66045	64034	71523	77428
" ""39003"""	Allen, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	670499	653560	656044	659933	700648	694910	686749	624296	597932	622699	646376	663008	707009	755630	796263	794918	817060	850849	880549
" ""39005"""	Ashland, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	251568	235326	227679	218986	201810	195765	207163	196649	168144	168035	180634	188190	195514	205134	212338	218738	225485	237154	248892
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	427003	422390	417697	433683	450243	443245	426593	424479	350307	379302	399954	417297	417173	453378	457994	451607	465536	499189	516405
" ""39009"""	Athens, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	33207	34178	35767	32803	32546	25889	22582	24743	23268	(D)	(D)	(D)	(D)	(D)	(D)	25670	(D)	40111	44865
" ""39011"""	Auglaize, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	355640	337203	361438	384582	410997	411383	439487	442446	350065	361764	404380	453976	487385	534266	587186	596751	622652	679781	686194
" ""39013"""	Belmont, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	63776	66028	65127	64582	83773	87616	74457	73758	59980	60659	61724	60771	52934	56927	56899	56961	(D)	48820	52371
" ""39015"""	Brown, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	35072	31035	31575	34110	34957	39220	43890	41238	30397	32527	35459	38301	40471	44517	46143	48434	48129	50643	47327
" ""39017"""	Butler, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	1214683	1246616	1277992	1347666	1331755	1325647	1452196	1550013	1398434	1578671	1545621	1455371	1567618	1728269	1888899	1986282	1997787	2087914	2215034
" ""39019"""	Carroll, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	63733	63237	58221	53147	70877	70381	72345	69479	56213	61917	63837	67576	76921	77917	80956	80362	74161	74077	80919
" ""39021"""	Champaign, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	185722	187790	192943	198275	208617	211255	211494	203744	164222	154267	162104	192330	242657	250415	265445	251672	260358	271805	282516
" ""39023"""	Clark, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	677908	532422	457536	451660	458497	472316	430610	444679	386344	386119	417738	440019	424260	423421	442382	444338	468970	489458	514161
" ""39025"""	Clermont, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	489295	419791	441137	548495	542222	506347	503892	394166	305261	304267	355644	378916	358301	420612	430177	426274	441815	463425	478697
" ""39027"""	Clinton, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	200634	202878	216655	233062	250310	258501	249615	243538	202211	199613	203231	220698	219026	230344	212218	228272	247071	262086	263178
" ""39029"""	Columbiana, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	322902	314359	300467	299931	305271	301458	313148	311418	258289	265093	280278	301208	313639	331391	346835	333730	343078	385389	400479
" ""39031"""	Coshocton, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	183128	179271	183877	184468	178486	174214	176610	172952	143329	146601	148440	147990	161746	173516	180570	164058	174268	185859	189085
" ""39033"""	Crawford, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	257776	253751	249028	252431	260464	236913	220117	195742	155081	166585	192700	225119	171372	175412	179432	159285	154132	153399	149893
" ""39035"""	Cuyahoga, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	6235133	5733717	5703051	5782464	5745020	5812723	5871827	5718212	4816588	5010944	5429079	5493956	5529909	5670846	5686096	5482964	5632839	5934748	5963355
" ""39037"""	Darke, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	230249	222572	232609	225774	220104	232227	223083	221537	197367	204725	218016	259402	264516	269195	278208	289438	313937	329139	311862
" ""39039"""	Defiance, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	391266	388791	402804	392738	380477	397068	378682	335895	256500	263555	282778	301185	323818	367040	324820	314826	301554	276036	265475
" ""39041"""	Delaware, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	276655	257192	342673	375447	399059	414298	403817	420221	382479	383063	399166	442943	470703	500948	489740	494202	525130	519188	553542
" ""39043"""	Erie, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	560651	531843	546213	526097	501295	521394	442973	398419	343900	376136	421592	419928	409111	416657	414618	419808	455637	425411	416971
" ""39045"""	Fairfield, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	247339	256602	250883	261965	256318	280549	286355	283767	262814	257574	270435	274310	280284	268400	270681	265632	285595	279429	289054
" ""39047"""	Fayette, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	124630	126558	129426	129861	122845	124893	132366	126751	103037	86089	90689	94223	94416	100845	97332	105128	113928	116536	118756
" ""39049"""	Franklin, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	3079484	2920528	2780048	2718663	2691645	2757929	2766378	2709355	2417902	2400988	2494673	2606181	2700305	2747578	3051166	2893786	3062689	3143135	3124754
" ""39051"""	Fulton, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	392828	412780	420779	451438	459786	462055	438628	404038	313215	322458	341861	349140	360411	376992	413929	434297	456863	463251	445869
" ""39053"""	Gallia, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	45821	48042	43163	43914	37878	35590	35161	35016	31144	32494	31798	35634	36114	35617	37424	37754	38331	39947	37329
" ""39055"""	Geauga, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	421824	425994	434575	470714	514388	529940	511890	511351	437429	432783	433246	438023	452814	471848	486447	477098	500099	525724	531414
" ""39057"""	Greene, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	228645	226018	224927	220851	229590	231073	240536	239303	213324	215175	223043	222391	230178	243739	251942	260502	281085	290731	217523
" ""39059"""	Guernsey, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	126425	135837	141742	131932	147776	156156	165588	159996	141324	149369	163308	168924	178938	190959	198416	187805	194730	200183	198539
" ""39061"""	Hamilton, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	4569265	4461109	4420018	4437312	4348392	4379036	4546887	4522209	4169137	3908579	4053224	4117919	4192740	4349122	4718772	5048164	5180852	5374800	5947768
" ""39063"""	Hancock, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	612774	623955	637391	666422	680003	675871	674741	671163	583969	629486	636893	673400	768985	797659	835029	862560	905564	868973	864390
" ""39065"""	Hardin, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	106676	111898	109885	115013	120747	118912	118721	120028	97382	95226	104950	116343	123061	125076	128339	130129	123899	120542	121413
" ""39067"""	Harrison, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	24546	26034	24618	27468	29053	30524	(D)	29052	22332	21859	23427	26006	24624	20170	18263	18869	49985	55215	47600
" ""39069"""	Henry, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	168318	(D)	(D)	198705	201575	213396	211721	207476	177890	186822	189768	199862	214730	219622	221468	236037	240066	241527	239535
" ""39071"""	Highland, OH	3.0	CAINC6N	500.0	31-33	   Manufacturing	Thousands of dollars	112018	124616	129234	130970	138438	126705	126026	115440	100126	91026	88333	100008	112483	116508	101420	100823	107367	112936	115151
