GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	232559883	236045185	243426235	253782004	261035910	271620277	279396052	282051921	268032188	272992375	284537756	295932461	305657226	317576036	329029287	336024136	348338831	361294841	373852887
" ""39001"""	Adams, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	210307	207629	215915	239954	250275	275512	297809	277373	253740	262016	274656	260848	277437	285117	303763	321021	328478	337668	340573
" ""39003"""	Allen, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	2220117	2262196	2325971	2401341	2468318	2540982	2563925	2521594	2468740	2507116	2587128	2659475	2732638	2794817	2843462	2929169	3047029	3148461	3250246
" ""39005"""	Ashland, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	705095	708299	720301	747051	763377	782305	834744	840187	793520	790047	810998	835723	854259	893769	945500	954930	981747	1010266	1053862
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	1196923	1224618	1250141	1314455	1338289	1354063	1375244	1401754	1322748	1362211	1421554	1428490	1463381	1508711	1538697	1530111	1587831	1644778	1674816
" ""39009"""	Athens, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	789338	816573	843428	872236	898466	919747	961381	980148	1009717	1069682	1086546	1108978	1140261	1194498	1245084	1280476	1335840	1301665	1375410
" ""39011"""	Auglaize, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	732779	728718	773814	827112	868481	902360	945497	953822	836845	849384	901431	964448	1017361	1080327	1164712	1188358	1232143	1314867	1361789
" ""39013"""	Belmont, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	741485	790406	828752	864479	901029	931069	947220	987060	974440	992988	1033349	1077802	1175206	1291323	1293148	1213154	1315432	1314314	1294466
" ""39015"""	Brown, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	235386	242827	259643	283974	296436	312870	344721	361692	358186	388557	387625	386353	406101	412760	403455	416453	424648	431314	399491
" ""39017"""	Butler, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	5427592	5634353	5935343	6388153	6696700	7233542	7657777	7862569	7500321	7779545	7880834	8031479	8307285	8773498	9296753	9724637	10296596	10558839	10983961
" ""39019"""	Carroll, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	194759	192344	194740	206273	224496	232261	238562	240031	218708	227258	234893	271366	356840	363978	347906	355102	383466	323952	349996
" ""39021"""	Champaign, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	424934	420191	438850	457534	468916	486790	492617	490540	446503	444784	458207	490878	549642	568245	586723	578891	606621	623519	638707
" ""39023"""	Clark, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	2174158	2083684	2066591	2109326	2130354	2229599	2224267	2292974	2219018	2198332	2291893	2348490	2416653	2468625	2500489	2534878	2655199	2717320	2772675
" ""39025"""	Clermont, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	2169122	2171491	2276701	2507847	2590699	2826657	2926359	2861069	2677878	2658300	2772652	2897353	2960166	3172024	3389028	3370478	3474337	3642367	3782708
" ""39027"""	Clinton, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	1012361	1026667	1091164	1146801	1219148	1396610	1440335	1426966	1213197	874275	826138	842019	844098	875311	934344	1003298	1080230	1177153	1233708
" ""39029"""	Columbiana, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	1152117	1170684	1204520	1206091	1228022	1274974	1309520	1319005	1247152	1269555	1341018	1390291	1447873	1514009	1534005	1489832	1523035	1591666	1640596
" ""39031"""	Coshocton, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	483862	487109	501765	511372	506878	527969	542855	544562	490250	511959	512925	515250	570777	576249	689688	546076	546413	568575	575211
" ""39033"""	Crawford, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	595989	606583	612563	624165	632425	619228	612558	599988	553077	570408	607164	658426	631261	651722	676913	677413	705851	684155	723547
" ""39035"""	Cuyahoga, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	38623733	38213079	39277339	40947094	41511421	43387175	44611183	44657898	42257214	43216972	44938185	47163926	48653888	49990349	51448616	52318848	54142799	56195920	58143408
" ""39037"""	Darke, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	669803	673216	707972	716407	709884	735538	745892	753188	725628	734385	770785	829038	848914	871028	920882	949262	994899	999045	1003434
" ""39039"""	Defiance, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	764324	770829	805262	811590	812065	850052	858095	823411	735359	743665	766904	808356	847072	905361	887132	898390	900017	904998	902444
" ""39041"""	Delaware, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	1820036	2143989	2738007	3062631	3383975	3752633	3983958	4180009	4173463	4440952	4825836	5166322	5457364	5627970	5836997	5968273	6347358	6568800	6959574
" ""39043"""	Erie, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	1583838	1596860	1659580	1688164	1711204	1733201	1699674	1699308	1600485	1669387	1734405	1757054	1765690	1797267	1855350	1910206	2002061	2010738	2036529
" ""39045"""	Fairfield, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	1252018	1312991	1367533	1479854	1527055	1613153	1679806	1737507	1716924	1763514	1821897	1884285	1956056	2018211	2097959	2161735	2338310	2357768	2450100
" ""39047"""	Fayette, OH	3.0	CAINC6N	82.0	...	 Nonfarm compensation	Thousands of dollars	360576	376023	392145	419062	418613	437403	464698	479718	456359	439058	451991	471877	498127	508997	513221	543033	553366	568195	567417
