GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	6992561	7387728	7493794	7792251	7610637	7780325	8019599	8060269	7770412	7690796	7861428	8309642	8380329	8836927	9260222	9511065	9910893	10371443	10740662
" ""39001"""	Adams, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	6421	(D)	7895	8327	8073	7991	8230	9546	9352	9986	(D)	9876	10309	11004	11335	11149	11204	11835	11053
" ""39003"""	Allen, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	64705	67799	71064	76199	72615	73716	76443	76287	75229	74177	76001	78320	80430	83804	89768	86686	87764	87941	90562
" ""39005"""	Ashland, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	24042	26714	28600	30924	30844	31635	32002	31993	29517	28927	29604	31076	30229	30427	30362	30224	31056	33806	33141
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	34992	38992	39159	40481	39525	41014	41550	47849	47685	47455	48325	48607	48499	50669	52439	52075	52522	55035	51134
" ""39009"""	Athens, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	21429	24440	26716	27337	27059	26588	26805	27493	27621	25430	26083	27215	27601	28748	30248	30529	29972	30926	32055
" ""39011"""	Auglaize, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	23977	26052	33693	34179	33463	34972	37697	39404	30847	29541	30104	31793	33004	33995	35312	35175	36068	37297	40671
" ""39013"""	Belmont, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	26353	29288	29605	30691	30388	31730	33165	34082	33801	32985	34181	36287	36816	38839	40648	39301	39726	40929	46539
" ""39015"""	Brown, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	11691	13415	15048	15894	15357	14334	14910	16821	16826	17120	17066	18254	18343	20081	20456	18372	19205	20326	21292
" ""39017"""	Butler, OH	3.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	154657	174044	180435	190943	192937	198264	213742	214401	210628	212873	219619	233470	229406	248651	263465	267981	276411	299147	322394
