GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2483448	2617204	2559145	2718302	2770589	2772780	2825671	2748335	2702400	2678534	2744661	2885431	3045161	3231694	3475975	3557231	3683882	3845162	4100345
" ""39001"""	Adams, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	1296	870	1508	1653	1711	1746	1011	977	901	820	679	682	815	997	1260	1152	1274	1446	1762
" ""39003"""	Allen, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	10617	11183	10324	10927	10930	11321	11478	11802	10831	10309	11137	11686	12458	13341	12805	13332	12800	12580	12541
" ""39005"""	Ashland, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	3635	3945	3166	3077	3234	2897	3649	3581	4044	4226	4684	5058	(D)	4933	5423	5907	6058	4648	5479
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	8104	6394	5859	5821	5184	5572	5641	5939	5498	5209	5542	6252	6897	6616	6561	6119	6123	5858	6713
" ""39009"""	Athens, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	5961	5791	6421	7771	7848	6821	7346	7244	7116	6720	6881	7300	7001	7034	7712	7863	8479	8287	9271
" ""39011"""	Auglaize, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	5775	6080	6027	5959	5906	6397	6999	7090	7560	6277	7259	3867	4067	4106	4603	4708	7529	12299	12366
" ""39013"""	Belmont, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	5751	6495	7111	7535	7264	7488	8541	8964	11289	11942	12141	15486	13002	16729	15959	13529	18810	19858	17380
" ""39015"""	Brown, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	911	923	1155	1323	1392	1311	1456	1336	1495	1873	2229	2402	2673	2497	3155	2790	2505	2220	1754
" ""39017"""	Butler, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	53444	52650	53678	60602	64078	62283	62156	66176	60496	60443	61531	59754	66337	65519	70924	75900	82817	87830	94415
" ""39019"""	Carroll, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	663	658	742	761	823	1057	1325	1303	1347	1326	1301	1373	1634	10529	11209	6730	7743	5970	5616
" ""39021"""	Champaign, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	19743	5188	4711	3724	2716	2723	2451	2495	2369	2527	2484	2652	3042	2397	2653	2825	2667	2548	2806
" ""39023"""	Clark, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	13072	15978	16795	16747	17242	16247	16531	14982	16328	16795	18032	18998	20153	19954	20460	19655	20295	19687	20479
" ""39025"""	Clermont, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	18118	17360	18226	24832	28507	35307	36359	35095	34069	35671	36301	40347	46468	47060	49788	51436	51830	53425	57610
" ""39027"""	Clinton, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	7536	6302	6526	6112	4721	4636	5425	6089	5998	5475	4788	4730	5084	4222	4564	4595	5506	9729	10433
" ""39029"""	Columbiana, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	5036	6648	6507	5772	6169	6547	6043	6089	5681	5436	7211	8947	10314	10334	11509	9006	8514	8908	10411
" ""39031"""	Coshocton, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	1348	1438	1354	1620	1638	1741	1700	2083	2135	2314	2241	1811	1689	2776	3391	2773	1904	1845	1751
" ""39033"""	Crawford, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	1722	1835	2011	2049	2139	2607	2194	2011	2201	2655	2717	2665	2619	2181	2346	2039	2007	2531	2691
" ""39035"""	Cuyahoga, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	560857	567294	561212	621154	640555	624873	654287	663842	651908	662316	696244	722508	758959	790661	832520	835789	877793	880266	877349
" ""39037"""	Darke, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2881	5421	5541	5140	5545	3647	4053	3978	4059	3796	3142	3242	3421	3128	3491	3552	3696	4978	4789
" ""39039"""	Defiance, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2512	2455	2553	2581	2281	2334	2426	2216	2120	2293	2223	2545	2341	2129	2347	3419	3265	3541	4202
" ""39041"""	Delaware, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	27252	24306	33296	34108	39522	40887	42810	39378	42017	36453	26193	27999	38188	39679	43650	46881	56970	55751	60321
" ""39043"""	Erie, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	8203	9505	9219	9888	8584	7963	8575	8200	9521	9226	10080	9275	9774	10284	11968	12112	10331	11188	10224
" ""39045"""	Fairfield, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	12189	13098	13659	13874	14291	14770	16056	14914	14733	14616	13944	14192	14651	15817	20287	22130	21851	22168	23932
" ""39047"""	Fayette, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2536	3271	3293	3963	3978	2729	2895	2923	2677	2512	1951	1874	2433	2486	2813	3207	2028	1833	2012
" ""39049"""	Franklin, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	488929	524840	515033	545406	562455	568400	573681	544504	528841	519506	533419	561681	592700	605079	670138	723454	731423	794711	906463
" ""39051"""	Fulton, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	3419	4650	5106	3399	3773	3745	3879	3534	3885	3035	2837	2444	2573	2726	2480	3644	3682	4423	5006
" ""39053"""	Gallia, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	1865	2064	1757	1993	2028	2168	2024	1985	1946	2153	1906	1778	1750	1473	1401	1447	1562	1501	1821
" ""39055"""	Geauga, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	5405	5701	7869	9437	8061	7460	11111	11134	8585	10557	10001	12161	9611	12307	13136	12184	12199	11504	13002
" ""39057"""	Greene, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	16148	16267	13617	13238	12393	16652	16571	15114	17293	17432	17038	17994	18185	23126	23485	25336	25761	27212	31806
" ""39059"""	Guernsey, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	2050	2777	3289	2946	3035	3295	3843	2925	2868	2824	2866	2480	2494	2593	2800	3766	3204	3776	3311
" ""39061"""	Hamilton, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	403833	427438	387907	393097	386171	389697	399730	358139	346725	350595	368767	386096	409317	432764	470805	495098	521677	573753	614911
" ""39063"""	Hancock, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	9880	12559	13535	14496	15562	17673	15415	14679	14504	14433	16185	16242	15907	15213	17550	17974	19618	20223	19373
" ""39065"""	Hardin, OH	3.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	1043	897	1179	1534	1659	1612	1677	1729	1842	1854	1695	2266	1763	1713	1821	1529	1610	1578	1633
