GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	16962942	17121063	17648495	17627734	17544286	17622180	17876800	17714257	16854261	16808885	17479198	17823059	18368908	18714374	19273898	19533629	20173613	20307285	20988047
" ""39001"""	Adams, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	23227	25525	26254	26912	27337	28223	29421	27929	28128	26980	27181	23630	25006	26093	27490	28212	29129	27772	27450
" ""39003"""	Allen, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	169229	178483	196396	206480	203440	197919	191706	187800	179973	177068	185619	186299	187358	186047	190051	190472	186810	196243	202235
" ""39005"""	Ashland, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	46607	47026	47725	47333	50355	52734	54309	54917	53092	52867	55709	56625	58263	61480	62838	64091	66563	68911	73169
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	89894	94708	96490	105367	108108	111303	114915	112205	104773	103810	107302	107295	108073	104122	104618	103600	104325	107574	111402
" ""39009"""	Athens, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	61860	63852	69436	72263	75167	78543	85103	88156	87944	89054	79474	80533	82541	77330	80179	78032	79553	82805	87914
" ""39011"""	Auglaize, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	42271	43744	48274	48281	52769	54190	53690	54647	53777	52905	54437	56898	57270	57853	60450	61930	64582	63671	68508
" ""39013"""	Belmont, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	107408	108472	108709	111771	109377	109004	110740	109207	107363	105877	108154	111568	120900	124819	130450	126592	129058	130509	130115
" ""39015"""	Brown, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	21214	22486	23131	23576	23891	23706	22860	22897	23855	26167	27721	29191	29398	28500	28126	29277	32422	33492	34210
" ""39017"""	Butler, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	383846	404822	418015	429579	451433	450500	490104	524490	501884	510945	540135	555429	598908	644677	685525	709658	745337	776490	777559
" ""39019"""	Carroll, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	19084	17679	18212	18802	19988	23106	23901	24487	23899	24236	26349	25594	22696	23733	24562	23655	24495	26145	31322
" ""39021"""	Champaign, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	27913	28340	30295	30110	29435	30267	31453	31979	31978	30196	31151	31875	30036	29634	30135	31319	30892	32742	33125
" ""39023"""	Clark, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	172837	173700	171381	170733	171010	174386	174804	173135	163449	158351	162348	161762	174107	168920	178555	177443	178912	181734	184993
" ""39025"""	Clermont, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	215697	231658	245627	254344	254341	296978	300611	302548	290429	281209	286919	292680	303707	305256	317708	329518	349854	356283	372630
" ""39027"""	Clinton, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	56827	53990	54031	46951	47640	47050	50489	53279	50388	46133	46683	47393	48852	49770	51875	53617	53895	54631	56870
" ""39029"""	Columbiana, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	92012	92545	104487	104215	104882	109784	112826	113223	112977	116295	123605	125409	131183	135705	137045	133318	134545	132132	124556
" ""39031"""	Coshocton, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	26220	26360	28346	28574	30552	30435	30459	31571	31204	31535	32610	33618	36417	37552	39355	38102	36688	36940	37007
" ""39033"""	Crawford, OH	3.0	CAINC6N	700.0	44-45	   Retail trade	Thousands of dollars	33403	34424	34942	35305	35751	35124	37639	39138	38181	37827	39002	40061	40727	40975	41818	43468	43169	44565	46504
