GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
" ""39000"""	Ohio	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	13376377	13216065	13357806	14009378	14725987	15447273	16056917	16325119	15060229	15285971	16138614	16883990	17441274	18339152	19072573	19030139	19837355	20520218	21023064
" ""39001"""	Adams, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	4172	3373	7604	8431	5018	4895	5140	5270	5560	8538	10067	11103	11016	12519	13650	15632	16265	17419	17016
" ""39003"""	Allen, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	112273	112178	101061	107116	112602	126572	127471	142124	140517	134905	140563	147075	136867	138524	147697	157278	172105	174753	180116
" ""39005"""	Ashland, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	29037	31559	35181	40161	46307	45350	55435	55398	(D)	(D)	(D)	40982	48540	53401	53629	49915	45112	47077	49391
" ""39007"""	Ashtabula, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	30646	31028	31779	33456	34356	36307	40118	41580	34982	34160	35374	33475	31013	39880	44442	47008	53058	57130	48817
" ""39009"""	Athens, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	7550	7475	8587	11115	13185	14320	14792	15647	14481	14143	13999	13496	14062	24681	27320	32982	35681	35502	32341
" ""39011"""	Auglaize, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	35329	37438	35919	36874	39575	44877	45982	45706	38813	42008	44983	48172	55719	59798	68376	67258	72144	79850	83036
" ""39013"""	Belmont, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	24069	24204	25803	28793	29371	28974	30346	32524	29860	31764	35776	37280	38401	42996	47181	41290	49670	51786	50712
" ""39015"""	Brown, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	6258	6000	6008	7236	7604	8097	8112	8862	7919	8964	(D)	10361	10735	10933	11530	11327	11230	(D)	(D)
" ""39017"""	Butler, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	591153	551768	559948	604007	653104	787825	851663	900408	845170	857059	929100	991396	1049984	1071450	1131091	1156728	1320886	1264687	1292116
" ""39019"""	Carroll, OH	3.0	CAINC6N	600.0	42	   Wholesale trade	Thousands of dollars	9028	5736	(D)	(D)	(D)	(D)	(D)	7244	5039	4256	5174	8484	13570	17320	17033	10475	12926	11340	(D)
