GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	255678501	260039983	268192856	280106541	285907113	297127773	305348943	308907846	296655648	305315752	322818220	336529986	348397278	358315158	370160174	376260183	390507578	404798934	418504917
 39001	Adams, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	294080	284362	297581	331886	324341	345649	362505	333681	319710	337769	362805	343827	358528	363172	382734	400230	410062	421903	426785
 39003	Allen, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	2394654	2432788	2512540	2625075	2668145	2751310	2787077	2758681	2764354	2844425	2928217	2976885	3053619	3092264	3121569	3215426	3350225	3459651	3564787
 39005	Ashland, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	805500	812046	828004	858845	863251	874429	923669	927544	883873	898662	943772	965774	1002194	1043978	1089243	1087309	1123966	1163128	1205686
 39007	Ashtabula, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	1323244	1354561	1381858	1461640	1482733	1499747	1517047	1540538	1461624	1531007	1619247	1640266	1682122	1727503	1765902	1753679	1827084	1910780	1948655
 39009	Athens, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	865009	898703	920188	939265	961884	985604	1035782	1056974	1099848	1173246	1201310	1229244	1258571	1315247	1373943	1409814	1466056	1435710	1514216
 39011	Auglaize, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	817141	806419	857456	927586	961558	986065	1036863	1050041	949106	985420	1054475	1100979	1170540	1237013	1292451	1336523	1395298	1471029	1509119
 39013	Belmont, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	846442	899652	934197	976583	1010628	1048781	1053316	1080116	1066244	1112895	1165193	1205906	1305844	1419561	1419222	1327348	1431133	1429136	1412772
 39015	Brown, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	305428	303739	325089	362121	369508	391583	420022	426612	434382	483516	506349	492785	509304	504849	494479	512136	526051	539675	505700
 39017	Butler, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	6114198	6355879	6692538	7171895	7457175	7995721	8371074	8504213	8244127	8549770	8712821	8916030	9256432	9805388	10476705	10969123	11798522	12223861	12736500
 39019	Carroll, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	255777	259829	265490	281559	303549	310593	308881	292767	279439	304636	324732	367757	446894	454636	434197	434944	462194	410896	437699
 39021	Champaign, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	491165	476552	501688	531496	524442	549084	558105	552822	529834	528271	564171	593682	679232	663304	665383	658792	702342	729727	736797
 39023	Clark, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	2385764	2301657	2281342	2328353	2360213	2476488	2472108	2527799	2462079	2453877	2575208	2627915	2704323	2723389	2739385	2776254	2916059	2995479	3049471
 39025	Clermont, OH	3.0	CAINC5N	35.0	...	Earnings by place of work	Thousands of dollars	2579428	2606014	2702991	2927978	2974104	3205453	3308670	3262707	3169395	3330061	3626029	3657361	3775692	4132469	4963759	4791337	4966675	5382143	5612001
