GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	29378	29773	30574	31690	32577	34156	35520	36596	35532	36575	39067	40632	41098	42755	44405	45226	46829	48747	50199
 39001	Adams, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	21694	21064	21582	22645	22400	22950	24365	24722	25323	25903	28091	28107	28675	30244	31673	32309	33493	34597	35269
 39003	Allen, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	25209	25740	26760	27521	28162	29594	31015	31751	31859	32759	34245	35575	35522	36845	38512	39336	40925	42575	43788
 39005	Ashland, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	23861	24225	24875	25700	26442	26981	28313	29316	28559	29344	31308	31818	33124	34497	35554	35769	37215	38711	39977
 39007	Ashtabula, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	23512	24008	24790	25564	26153	26960	28050	29317	28718	29614	31480	32020	32547	34141	35462	35620	37169	38659	39767
 39009	Athens, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	19945	20639	21199	21610	21884	22518	23829	24931	26049	27343	28650	29092	28989	30243	31011	31522	32521	33279	34796
 39011	Auglaize, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	28238	28282	29584	30715	30907	31951	33847	35015	33729	35382	38558	40352	40566	42710	43410	44658	47304	48577	49789
 39013	Belmont, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	23559	24198	24938	25136	25776	26765	28068	29892	29714	30496	32228	33431	34233	36172	37271	36813	39881	43012	42987
 39015	Brown, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	22763	22887	23642	24818	25580	26263	27586	28126	27999	28505	30207	30496	30988	31967	33005	34026	35910	36978	38401
 39017	Butler, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	30133	30546	31559	32313	33201	34123	35172	35706	34864	35408	37030	38249	38780	40648	42319	43405	45383	47236	49146
 39019	Carroll, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	22524	23003	23911	25254	25654	26698	27879	28669	27865	29474	31457	32509	33520	34879	35446	35347	37672	39445	40833
 39021	Champaign, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	26195	25733	26552	27370	27802	29057	29992	30956	30148	30820	32922	34076	35445	36272	36947	38095	39616	41376	42432
 39023	Clark, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	26812	26800	27549	28117	28631	29895	30846	31689	31626	32187	33889	34531	35066	36113	37138	38026	39445	40563	41811
 39025	Clermont, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	31080	31824	32617	33027	33981	35225	36109	37395	36631	37999	40514	41136	41679	44039	48574	48768	51116	53553	55842
 39027	Clinton, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	27423	27100	28233	30106	31603	33343	35028	35308	36168	36274	38632	38671	38455	38763	41068	42160	43693	45183	46599
 39029	Columbiana, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	23083	23649	24450	24563	25249	26426	27884	29226	28577	29579	31710	32925	33025	34408	35393	35341	36550	38380	39311
 39031	Coshocton, OH	3.0	CAINC5N	30.0	...	Per capita personal income (dollars)	Dollars	23424	23117	23618	24452	24605	25750	26795	27718	26971	27643	29438	29640	31290	32321	34602	32326	33579	35070	35962
