GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	334533571	339645273	349608853	362916264	373440521	392156623	408493748	421412058	409648029	422046231	451011097	469260760	475776196	496069120	515871398	526177246	546005974	569183991	586783961
 39001	Adams, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	597067	585942	606698	641488	638890	656711	695328	709173	721710	739188	799437	795223	805439	848829	884497	898413	929522	958121	976876
 39003	Allen, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	2735709	2793285	2874538	2939930	3009436	3158160	3309826	3390160	3393604	3484154	3629568	3744061	3731759	3863118	4008896	4075760	4219071	4373564	4481729
 39005	Ashland, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1254142	1274132	1315070	1358274	1402714	1436232	1515983	1568399	1522357	1564638	1667188	1693962	1760647	1833878	1895365	1914346	1997028	2079015	2138133
 39007	Ashtabula, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	2408797	2462678	2545070	2624099	2684282	2759106	2865488	2985200	2917241	3002996	3182179	3210049	3246457	3380895	3489622	3496815	3633218	3772629	3866977
 39009	Athens, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1256467	1308528	1353078	1366403	1402202	1446458	1527485	1609167	1683266	1782011	1864536	1879617	1872511	1959258	2043185	2091545	2162768	2180392	2273150
 39011	Auglaize, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1302814	1299348	1357084	1410791	1426844	1470822	1556180	1616545	1551388	1623949	1763687	1846902	1857969	1953420	1985306	2043809	2164303	2221732	2273148
 39013	Belmont, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1646775	1700966	1751123	1765606	1809536	1886130	1976833	2103072	2093045	2144901	2259886	2330465	2381332	2509122	2570676	2525580	2711967	2904705	2880384
 39015	Brown, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	975156	992581	1035380	1091883	1129652	1164360	1227294	1256320	1252692	1278835	1348092	1350405	1366891	1404419	1442211	1484808	1562918	1611144	1667818
 39017	Butler, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	10145192	10370896	10825341	11201537	11644643	12171340	12704022	13003464	12782258	13068980	13705759	14173211	14402648	15192223	15911868	16422436	17272998	18044169	18829414
 39019	Carroll, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	652317	671032	701178	739867	746981	778584	810212	831374	805763	850219	906591	927743	947169	981117	982480	976325	1029339	1068250	1098976
 39021	Champaign, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1022819	1010775	1046002	1082908	1100720	1162807	1203496	1246400	1213912	1235210	1311091	1348480	1398683	1417452	1439583	1475843	1539139	1604779	1649955
 39023	Clark, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	3855685	3838591	3905349	3975125	4047469	4205301	4313125	4417512	4389020	4450591	4670226	4736679	4791313	4922597	5041325	5122990	5307351	5456881	5606209
 39025	Clermont, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	5589526	5796512	6016083	6185421	6438897	6770637	7017595	7325329	7198459	7508691	8056661	8206013	8354355	8871917	9811663	9907943	10441016	11006492	11527324
 39027	Clinton, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1118215	1112233	1164596	1251115	1320203	1417055	1491352	1506092	1534173	1520685	1619197	1617171	1609884	1620490	1718251	1765973	1835276	1901514	1955649
 39029	Columbiana, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	2570807	2627310	2713909	2717297	2771921	2898202	3043631	3170117	3084838	3191282	3406229	3510486	3499257	3634237	3706101	3668978	3766898	3932872	4005155
 39031	Coshocton, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	866110	858773	880681	915031	919312	961485	996329	1024262	994653	1021060	1087163	1091418	1149060	1180717	1265654	1183699	1226855	1283426	1316205
 39033	Crawford, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1147149	1138474	1163264	1195932	1194941	1223295	1264038	1288514	1296992	1318536	1405478	1405586	1458109	1478958	1488029	1492586	1549979	1620166	1653298
 39035	Cuyahoga, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	45053813	45113721	45441528	47015203	48092111	50676309	52881909	54341024	51110541	51335602	54412452	57327181	57314015	60298625	62284668	63513965	65573621	68040002	69783547
 39037	Darke, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1434984	1432000	1464973	1482085	1460321	1514564	1574456	1701156	1630374	1710822	1812433	1861973	1931190	2018109	2015021	2028910	2139226	2271067	2264138
 39039	Defiance, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	1052942	1073435	1111857	1097707	1103266	1151631	1202321	1227110	1180246	1213513	1299103	1333691	1385957	1421800	1443260	1469991	1509726	1565758	1599785
 39041	Delaware, OH	3.0	CAINC5N	10.0	...	Personal income (thousands of dollars)	Thousands of dollars	5094389	5032102	5212846	5901421	6393667	7337006	8429505	8955072	8904964	9422915	10185576	10983501	11360582	11940522	12781918	13531171	14355986	15184294	15851054
