GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	8103079	8229613	8511124	9108836	9587589	10111804	10591277	10791835	9707046	10005605	10857261	11522418	12135821	12914229	13362659	13259504	13999072	14475397	14885597
 39001	Adams, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	615	(D)	(D)	(D)	(D)	979	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	7167	6598
 39003	Allen, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	71007	70051	78086	79181	86694	85915	93282	90619	87924	84122	94327	116486	126379	129011	129316	131567	139475	150467	163985
 39005	Ashland, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	12177	13651	18326	19977	18665	27660	19526	20096
 39007	Ashtabula, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	18431	29893	34177	34435	33404	26023	26167	27427	26044	33774	53959	60025	64318	48398	45462	40816	48662	46932	42654
 39009	Athens, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	5642	5531	5537	5855	5603	6697	8721	10109	15208	12887	17565	16783	15832
 39011	Auglaize, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	5222	6791	9070	11843	14253	14826	17300	11418	7383	7182	9037	10625	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39013	Belmont, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	6823	(D)	(D)	(D)	12284	16342	18315	19514	19266	17988	18784	21954	23269	30880	35967	34576	36103	31793	34982
 39015	Brown, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	5289	5584	5756	5279	6524	7127	8686	7993	(D)	6033	6323	5968	7691	12922	16148	11908	10546	9573	9655
 39017	Butler, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	169581	155230	153301	195789	225982	292876	311016	325063	283509	288459	302831	320553	353765	405910	401531	400553	411676	421830	449989
 39019	Carroll, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	3178	2060	2425	2059	2435	2283	2152	3795	2215	2292	2591	2761	8275	10769	7659	5447	6456	8226	9364
 39021	Champaign, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	4520	4406	4659	5138	4560	6711	7310	5651	(D)	(D)	(D)	(D)	(D)	9823	11498	12498	14095	14657	(D)
 39023	Clark, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	42449	44643	42082	32476	31220	36927	47125	54371	49680	51115	60141	56907	67388	75710	77978	73466	87621	92779	107236
 39025	Clermont, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	46137	49404	62261	66849	73969	75722	81425	78555	71027	74511	88240	95862	106071	111599	125460	136942	143318	144312	163597
 39027	Clinton, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	10655	16657	22543	25510	16639	17357	19497	16653	11342	12902	12864	10916	10685	17200	21196	21480	22262	20006	13058
 39029	Columbiana, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	38362	34706	35480	36422	40374	45456	46860	46856	40738	38625	44699	50047	57346	61375	61873	51469	56662	59641	60272
 39031	Coshocton, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	10945	12743	12195	13824	14517	21255	24738	24669	13454	12945	14765	14667	40348	26366	9895	10676	11191	11014	10510
 39033	Crawford, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	4308	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	15068	21757
 39035	Cuyahoga, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	1438935	1373424	1432654	1529547	1616766	1728699	1884271	1813379	1563609	1672931	1897675	2061988	2064987	2257596	2236836	2214598	2313459	2386969	2640383
 39037	Darke, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	9653	14008	28306	22331	19588	17969	21046	18853	(D)	(D)	14374	15122	17630	16935	21857	25258	26834	25885	26465
 39039	Defiance, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	9440	8591	8744	9105	10656	10235	10888	11284	10479	10122	12761	18198	19866	24336	24743	25074	25863	35149	35840
 39041	Delaware, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	36223	46217	(D)	58236	70761	78885	90641	107459	105943	124274	136202	(D)	(D)	(D)	240729	241771	257034	269315	282820
 39043	Erie, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	23392	30443	30463	27462	30468	30991	35269	36543	28702	30547	34600	34310	33224	37981	37461	35722	35521	36159	42078
 39045	Fairfield, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	63823	63656	69247	92909	93674	88414	94435	107857	108445	119582	128642	136361	141596	143271	144616	131484	137664	146379	145458
 39047	Fayette, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	3921	3896	3557	4291	4770	4895	6757	7422	7038	5639	6859	7417	7034	7267	8395	14048	15427	14370	12720
 39049	Franklin, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	1542096	1547513	1576476	1724672	1797254	1881517	2034800	2147326	1994396	1955634	2026852	2175910	2284613	2463431	2521786	2579183	2683809	2766799	2839597
 39051	Fulton, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	8194	9993	9887	13660	15598	15164	16527	16726	13915	14148	11530	17377	17152	17453	13598	11053	11143	10947	14913
 39053	Gallia, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	3936	7830	9093	8803	10291	9081	9001	8561	7776	7562	8274	13240	10848	12411	15578	15294	3095	3197	(D)
 39055	Geauga, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	48861	56902	65581	68396	67769	65357	68562	69309	64207	64480	94316	90880	87350	98501	96751	96640	100886	120627	128786
 39057	Greene, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	49585	57559	55375	60407	66541	86093	107054	108297	98743	87388	101783	93811	100963	107335	112515	115100	92781	109155	92866
 39059	Guernsey, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	18100	16837	15264	15001	15998	11723	12043	11059	7848	7439	8846	8305	(D)	13575	13818	9643	7881	9144	8851
 39061	Hamilton, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	1166339	1203462	1319009	1384497	1451801	1480289	1362400	1408571	1281521	1238311	1390582	1453851	1487092	1515123	1673666	1447944	1586526	1661368	1707437
 39063	Hancock, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	80887	87384	68337	76702	61126	71034	67209	64430	51740	78319	75918	69996	70745	74903	63802	69320	74640	82706	79870
 39065	Hardin, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	(D)	1742	1782	1913	1769	1576	2477	1945	1628	1945	2302	2275	1993	5569	5598	5721
 39067	Harrison, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	2110	(D)	(D)	655	(D)	(D)	(D)	(D)	(D)	2730	14104	12259	9194
 39069	Henry, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	4317	4552	5498	4901	4716	5006	4189	4425	3851	2429	3111	4358	5341	5793	6005	6743	5837	6438	6398
 39071	Highland, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	2732	3691	4176	4590	5370	4923	5244	5311	5434	6183	5580	6273	6364	8057	12411	15849	19670	18677	14530
 39073	Hocking, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	1833	2994	3139	2997	2862	4120	4089	3968	4243	4918	5444	5399	4648	4329	5793	7163	8192	7157	6194
 39075	Holmes, OH	3.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	12330	13406	19881	24194	28048	26294	28077	29749	37891	43632	43490	55040	41854	(D)	15426	15917	18273	22160	15762
