GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	1954619	2024769	2045469	2051988	2076574	2186057	2290147	2320708	2260224	2294243	2296897	2577489	2812255	3116612	3185166	3348018	3567624	3735432	3832594
 39001	Adams, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	769	804	822	545	505	518	472	466	483	676	633	728	716	771	572	520	910	890	481
 39003	Allen, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	9578	9363	9296	10128	8573	8469	9051	8824	8242	7754	7351	7759	7805	8238	8171	8647	8483	8967	9239
 39005	Ashland, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	2564	4586	4389	4007	2859	2973	2548	2439	2909	2950	2307	2441	2527	3677	2743	3103	3188	3547	4063
 39007	Ashtabula, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	3874	4226	3952	3905	4256	4421	3987	3700	3302	4008	5267	5851	6246	6135	5712	5815	5627	5562	5694
 39009	Athens, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	2776	2405	2323	2444	2831	2863	2700	2102	1324	1205	1183	1121	1197	1330	1357	1639	1723	2080	2251
 39011	Auglaize, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	2506	2932	3199	3640	3593	3902	3766	3384	3365	3458	3565	3712	3782	3948	4032	3758	3720	3841	4186
 39013	Belmont, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	3803	3788	3180	3318	2757	2780	2994	2803	2540	2241	2172	2141	2380	2359	3433	3147	2675	3022	3200
 39015	Brown, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	864	899	832	768	901	1042	1084	1055	987	829	728	764	746	961	691	1078	1030	909	1159
 39017	Butler, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	19494	20180	21646	22902	21832	22504	22985	28755	32775	34362	34931	35050	36493	36563	40327	43329	45310	48951	61500
 39019	Carroll, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	1481	1492	1535	1295	1245	1391	1396	1337	1343	1340	1333	1469	1560	1733	1752	1809	1962	2081	2061
 39021	Champaign, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	2445	2415	2341	2049	1993	1841	1834	1917	2282	2363	2394	2398	2469	2579	2545	2442	2634	2706	2656
 39023	Clark, OH	3.0	CAINC6N	1700.0	71	   Arts, entertainment, and recreation	Thousands of dollars	8920	9496	9586	9933	9834	10294	9394	9011	9887	7853	7896	9055	10014	10756	9853	9720	10333	10748	10525
