GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	40796	42106	43832	45652	46918	48733	50204	51363	51628	52940	54579	55783	57039	58457	59716	60324	62057	63866	65688
 39001	Adams, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	30588	31075	32595	34974	36122	38774	41303	40429	39709	41031	43481	43546	46557	47178	48211	49058	50266	51046	53004
 39003	Allen, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	36832	37908	39519	40672	42043	43992	45617	45964	47154	48325	49818	50533	51704	53216	53832	55005	56700	58728	60786
 39005	Ashland, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	34049	35075	36392	37856	39178	39433	41169	42467	43040	42999	43886	44368	45457	46586	48128	48624	49694	50336	50997
 39007	Ashtabula, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	33157	34100	35352	36884	37708	39017	40275	41706	42590	43493	44254	44378	45451	47165	47820	47667	49485	50209	51325
 39009	Athens, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	34491	35529	36624	37354	38289	39496	40708	42099	44556	46457	46729	46570	48047	49082	49911	50035	51218	52341	54904
 39011	Auglaize, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	37591	38524	39494	41428	42461	42983	45085	46093	43987	45045	46488	48127	50047	51153	53405	53992	55593	58353	59358
 39013	Belmont, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	29183	30291	32024	33109	34633	35990	36784	39238	40356	41520	42833	44383	47520	50335	50885	48945	52621	54063	54580
 39015	Brown, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	30089	30894	32016	33581	33893	36115	39174	40985	41924	43948	44232	43613	45475	46492	46507	47177	47935	48527	46565
 39017	Butler, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	39840	40996	42677	44592	45695	47123	49125	50221	50463	52185	53065	53877	55028	56479	58913	59550	61626	62697	64114
 39019	Carroll, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	29055	30206	31833	32947	35002	35272	36557	37665	37493	38685	39514	42471	49540	49207	47569	49553	53164	49189	52028
 39021	Champaign, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	36009	36877	38268	39423	40837	41747	43305	44984	44423	45185	46629	48173	50467	51316	51657	51486	53650	54716	56134
 39023	Clark, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	37485	37060	37421	38933	39806	41362	41689	43108	43840	44160	45266	46113	47053	47550	48646	50046	52128	53504	54790
 39025	Clermont, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	40781	41076	41953	43874	45148	46306	47750	47786	47240	48040	49474	50490	51229	53289	54647	54091	55093	56938	58848
 39027	Clinton, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	39333	40886	43530	45255	47181	49869	51300	53783	59880	50419	49257	50745	51047	51934	54356	55389	58300	62031	64631
 39029	Columbiana, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	31783	32912	33993	35087	36291	37331	38622	39618	40215	41099	42417	42985	44510	46055	46875	47120	48517	50426	51774
 39031	Coshocton, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	35402	36423	37918	39726	39780	41557	42759	44497	43940	45363	45842	46325	49435	50759	58289	49579	50345	52196	53147
 39033	Crawford, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	33602	35972	37044	38219	39040	38807	39632	40289	40452	42464	44170	46257	45775	47111	48530	48071	50258	51964	53785
 39035	Cuyahoga, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	45827	46880	48889	51516	52738	54939	56789	57933	57784	59619	61692	63367	64746	66349	67711	68290	70609	72504	74407
 39037	Darke, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	33753	34548	35476	36897	37550	39523	40042	41155	41886	42811	44635	46097	46878	47886	49328	50312	52595	52966	53924
 39039	Defiance, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	40876	41994	44676	45112	45473	48050	48119	46839	45843	46844	48395	50032	51741	53799	53879	55036	54905	55142	56152
 39041	Delaware, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	42032	45065	47146	49506	50734	53464	55945	56333	56282	57897	59792	61319	63211	64241	65152	65815	67630	69563	72101
 39043	Erie, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	38313	38609	40655	41777	42162	43559	43511	44130	43596	45117	45693	46432	46390	47376	48489	49755	51649	51781	53432
 39045	Fairfield, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	33169	34479	35692	36942	37557	38393	39590	40837	41281	42394	43432	43857	44651	45652	46478	47482	50064	50299	52018
 39047	Fayette, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	31267	32555	34525	35060	35583	36917	38123	38825	39222	39026	40421	41308	41911	43338	43470	44095	45371	47350	49074
 39049	Franklin, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	43674	45190	46808	48750	50519	52640	54360	55723	56380	57892	59746	61604	62795	64212	66476	66941	68847	71001	72931
 39051	Fulton, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	35261	36845	38469	40476	40894	41745	42444	43559	42844	44804	46600	46297	47774	49033	50605	51463	53801	55511	56972
 39053	Gallia, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	36426	36946	38249	40421	41830	46152	46171	47492	47349	47214	47807	50641	50233	48651	48340	48230	48687	52524	53099
 39055	Geauga, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	36360	37386	38338	40575	42144	43450	44391	45493	45768	46819	48431	48670	49308	50919	51695	51917	53556	55820	56270
 39057	Greene, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	42505	44935	47381	50113	51932	53850	55464	56672	59665	62132	64035	64507	64720	66623	67712	69142	70723	73020	76240
 39059	Guernsey, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	32197	33417	35322	35964	36880	38102	39517	41569	43167	43342	44826	46397	48312	50277	51713	50620	53762	55297	55797
 39061	Hamilton, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	46886	48853	50597	53077	54909	57192	59139	60969	61193	62902	64982	67246	68522	70310	70582	71768	73505	75508	78704
 39063	Hancock, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	39688	40920	43134	44357	45237	47013	47917	48517	49446	50745	52729	53547	56720	57695	58802	59819	62570	64456	65591
 39065	Hardin, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	32285	33961	34739	36149	36836	38259	40112	42227	41902	42443	43572	44603	46698	48069	47548	48453	48473	49045	50461
 39067	Harrison, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	31037	30920	32785	34698	35706	36916	37107	39558	40089	41227	41851	45110	52148	54028	53492	51116	60049	62613	64762
 39069	Henry, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	35567	35912	38240	39855	41413	43566	44696	45833	44992	46101	46258	47423	48841	50124	51381	52809	54041	55344	57469
 39071	Highland, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	31836	33481	35098	36570	37509	38570	40074	40419	41319	41824	42064	42381	43973	44215	43649	44364	46426	47842	49562
 39073	Hocking, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	30743	31404	33037	34204	34568	35150	36872	38336	39266	40292	40956	41785	42378	42856	43425	43466	43978	44606	45488
 39075	Holmes, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	30722	31931	33371	34209	35132	36271	37362	38053	37877	38359	39497	40361	42070	44469	46014	46646	48915	51349	53119
 39077	Huron, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	36124	37361	38697	40911	42178	43274	45231	46750	47017	47940	49420	50152	51850	53401	54777	54044	55824	57689	59111
 39079	Jackson, OH	3.0	CAINC6N	9.0	...	Average compensation per job (dollars) 	Dollars	30439	31242	33191	34699	34829	35305	37317	39212	38683	40838	41538	42235	43522	46186	45561	45905	46310	46531	48291
