GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	232928753	236376893	243817873	254216833	261423525	271998704	279956993	282505550	268507989	273379547	285009950	296568458	306252073	318105609	329698028	336788744	348948027	361908285	374485412
 39001	Adams, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	211212	208356	216789	240936	251158	276381	299115	278436	254855	262928	275756	262365	278832	286369	305322	322799	329898	339098	342032
 39003	Allen, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	2222237	2264269	2328644	2404565	2471412	2544208	2568997	2525514	2472664	2510180	2590690	2664149	2736974	2798693	2848315	2934721	3051460	3152924	3254822
 39005	Ashland, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	709381	712369	724890	751898	767490	786130	840145	844283	797531	793116	814484	840197	858403	897477	950134	960224	985976	1014523	1058229
 39007	Ashtabula, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	1200355	1227429	1253946	1319207	1342985	1359071	1383274	1407754	1328562	1366593	1426474	1434704	1469148	1513863	1545151	1537491	1593728	1650716	1680905
 39009	Athens, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	789885	816877	843817	872704	898921	920228	962138	980872	1010571	1070452	1087568	1110454	1141642	1195725	1246638	1282250	1337249	1303087	1376872
 39011	Auglaize, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	736378	732076	777488	830916	871682	905313	949617	957122	840247	852115	904699	968849	1021456	1083981	1169296	1193601	1236326	1319078	1366116
 39013	Belmont, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	742525	791377	829817	865567	901917	931861	948297	987922	975317	993697	1034156	1078946	1176225	1292251	1294258	1214424	1316461	1315348	1295501
 39015	Brown, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	237008	244279	261254	285638	297815	314126	346451	363170	359788	389911	389290	388725	408272	414710	405870	419215	426857	433541	401762
 39017	Butler, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	5432256	5638944	5940101	6392678	6700069	7236211	7660859	7865270	7503342	7782146	7884146	8036164	8311639	8777387	9301638	9730218	10301046	10563317	10988568
 39019	Carroll, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	199057	196399	199116	210699	228074	235408	242738	243356	222147	230021	238228	275805	360998	367677	352582	360449	387725	328238	354415
 39021	Champaign, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	428144	423019	442344	461565	472610	490485	498227	495233	451605	449049	463587	498207	556550	574375	594523	587813	613707	630661	646099
 39023	Clark, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	2187962	2096386	2081910	2126653	2146003	2245047	2247447	2309139	2233623	2208452	2302318	2360074	2427515	2478285	2512717	2548864	2666329	2728530	2784258
 39025	Clermont, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	2170644	2172856	2278231	2509483	2592133	2828033	2928352	2863280	2680752	2661049	2776465	2903051	2965501	3176771	3395025	3377335	3479799	3647868	3788376
 39027	Clinton, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	1014989	1029020	1093740	1149443	1221329	1398567	1443006	1429171	1215554	876225	828553	845314	847178	878055	937805	1007257	1083384	1180334	1236982
 39029	Columbiana, OH	3.0	CAINC6N	1.0	...	Compensation of employees (thousands of dollars) 	Thousands of dollars	1159148	1177377	1211549	1213027	1233527	1279710	1315618	1323812	1252060	1273463	1345645	1396458	1453597	1519120	1540407	1497153	1528877	1597552	1646634
