GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	11293431	11276795	11335875	11768401	11930705	12221696	12532321	12273301	10840546	10129528	10847680	11520801	12206236	13340011	14055868	14605705	16383690	16692105	17458563
 39001	Adams, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	2541	(D)	4079	4770	4309	9214	28280	18790	7106	7150	(D)	(D)	7352	6756	7865	9841	13619	14196	14922
 39003	Allen, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	101399	105904	110249	113030	116497	117230	113904	106748	89029	82373	84583	98396	103443	110241	113660	117150	120847	133518	146993
 39005	Ashland, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	30210	30240	29549	31061	37719	36313	36601	32943	28838	30107	30473	32098	34651	38744	45725	48641	55311	59452	58010
 39007	Ashtabula, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	49985	43542	46916	47199	50557	43784	46320	43450	52818	52167	59832	45070	51069	45717	60403	61830	74700	64588	77949
 39009	Athens, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	15683	15599	15798	15341	16057	15816	17610	(D)	(D)	(D)	(D)	26396	25902	26355	25857	27223	31750	32179	51705
 39011	Auglaize, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	47362	43768	40751	42556	41747	53797	50171	48975	48991	43373	43753	42275	45051	48247	53338	55157	57352	60420	65179
 39013	Belmont, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	37762	38125	44885	50430	56619	52887	54067	54897	50538	52746	56014	62479	70999	(D)	74179	71096	107159	108552	84479
 39015	Brown, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	9607	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	11392	16259	14140	(D)
 39017	Butler, OH	3.0	CAINC6N	400.0	23	   Construction	Thousands of dollars	374228	441144	465564	495764	510063	550716	527009	520994	431197	382898	442413	390717	402589	438646	463396	506648	592556	578366	597498
