GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	28978635	30544185	32314641	33635429	35218443	37594075	38312427	38569682	36419560	38049977	39115019	39131317	44060749	45035098	46339664	46418959	46805970	49158774	50493730
 39001	Adams, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	37985	38370	39343	44718	47280	54949	54847	52150	46932	50615	50375	46730	53186	54782	57149	59627	57474	59894	58075
 39003	Allen, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	300960	314970	334750	345119	357759	383795	381246	375205	367275	385256	386104	379226	426260	436014	439193	436776	440674	457471	472694
 39005	Ashland, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	92873	97211	101834	106041	109720	117574	123646	123806	116521	119618	121374	121715	134248	139270	144886	142383	142425	150068	160118
 39007	Ashtabula, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	174007	184653	193914	201328	207998	218369	222336	225136	205225	219025	225547	218915	244217	249513	251837	247870	247083	260849	266524
 39009	Athens, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	144112	152298	161429	172580	180386	188067	195090	198960	197441	230463	229489	229563	253002	265602	275851	284689	283398	274525	284500
 39011	Auglaize, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	91371	95764	105516	110654	120022	128537	135778	137690	123160	126186	130884	134870	154219	162216	173484	173151	175837	187544	189039
 39013	Belmont, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	106290	114066	123907	130646	137350	149076	149377	152957	145733	154999	155876	155973	178989	187242	187458	179703	182150	184251	184250
 39015	Brown, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	37458	40003	43882	49621	53579	55936	61843	67352	66526	74679	71761	67270	77083	77734	77514	81166	77883	80404	73063
 39017	Butler, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	664761	721997	773811	832938	890600	979732	1028095	1063785	1011147	1077073	1069645	1045339	1169790	1218283	1271642	1297282	1324104	1384357	1428734
 39019	Carroll, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	29254	30673	32075	33844	36271	38792	40360	40808	36254	38817	38885	41178	53091	54574	54746	54244	54668	50799	54177
 39021	Champaign, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	61292	64709	69641	72037	75639	78949	80741	79857	72179	72688	72423	74808	88021	91109	94452	92782	93926	97844	99111
 39023	Clark, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	283141	287262	294151	300875	308267	327075	328322	334493	315187	323331	332463	331052	373675	380697	381659	380703	384208	399070	402313
 39025	Clermont, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	257100	271719	291834	320198	341582	376673	383119	378700	350564	360578	372783	368995	412378	432061	454026	444411	446628	473852	493873
 39027	Clinton, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	135110	139462	149587	163213	177236	183803	208361	185535	152262	137657	127582	124900	137834	140150	145304	154688	162091	177032	187794
 39029	Columbiana, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	160381	168814	179730	180192	187207	200469	204337	206292	191835	205084	212461	213535	239961	247689	249224	239952	237688	250537	258126
 39031	Coshocton, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	67286	70812	74535	76749	78378	86993	87604	88795	80507	85531	84999	81442	94473	95124	103936	93277	89922	93845	95586
 39033	Crawford, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	86089	89801	92860	95399	98853	101939	100597	97743	88935	93476	97302	99180	107034	109286	113335	111276	111843	108276	111316
 39035	Cuyahoga, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	4470248	4633486	4827442	5004671	5208807	5580156	5645178	5647661	5343943	5552624	5714813	5720715	6436272	6506520	6642882	6631664	6678211	7054277	7199632
 39037	Darke, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	94183	99555	108011	107972	111605	118250	114056	114015	107055	112146	115371	120132	135977	138549	146613	147019	148088	152693	154411
 39039	Defiance, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	90958	100173	104672	107244	111926	117643	121887	120901	105122	105730	107535	107062	121228	127278	126384	125986	124120	127111	127365
 39041	Delaware, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	209267	244649	305865	340245	388220	431291	443635	467219	458190	487290	528035	584409	680746	672950	694285	692313	730356	765804	806926
 39043	Erie, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	198900	208477	224862	230063	237281	245781	242478	240481	229654	246092	253292	250972	278305	281803	288766	291862	296027	304411	306299
 39045	Fairfield, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	175480	188455	202995	218305	233716	251177	260635	254947	246130	263735	268204	265795	302248	312223	319493	323269	327536	342061	354810
 39047	Fayette, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	47904	50838	53327	57509	60313	62611	67868	69700	64652	65886	65568	66464	76482	77665	78000	80049	79661	82215	80755
 39049	Franklin, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	3930940	4167888	4305936	4477416	4766644	5104748	5294647	5391081	5234559	5526962	5752094	5899720	6742602	6924770	7257881	7351924	7475399	7877208	8105339
 39051	Fulton, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	95390	104596	110664	115952	125672	134593	136532	132889	115444	118100	119571	119384	134588	137818	147026	147018	150276	156504	153746
 39053	Gallia, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	70346	77134	79175	85164	86798	98305	95939	97846	94358	98028	98287	93204	105664	105504	104069	107680	104125	109748	112991
 39055	Geauga, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	153301	160979	172363	181948	200503	215086	220129	223817	206711	216123	221826	221305	249250	258666	265794	260148	263136	279962	288846
 39057	Greene, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	440288	488827	534455	583488	625618	673897	687004	679393	703875	762163	822778	826442	875201	901354	935233	959475	988640	1048903	1110970
 39059	Guernsey, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	73012	79592	86354	88653	93208	96341	98198	97986	93616	99123	103224	104487	121204	128501	132490	126199	131655	136507	138233
 39061	Hamilton, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	3259350	3385295	3545522	3630195	3702985	3939492	3967876	3996563	3809280	3908802	3995270	3983535	4508493	4559887	4658619	4690252	4759640	5018770	5213013
 39063	Hancock, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	220110	226134	242688	253128	265413	292750	299525	300542	280555	292574	301690	314262	349301	355368	368452	375089	383279	397712	407524
 39065	Hardin, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	45194	49350	52274	55465	58358	60123	61093	61986	57585	60640	62468	63912	69820	72573	74083	74522	71189	72014	75021
 39067	Harrison, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	19276	19455	20792	22044	22964	24718	24619	25672	23283	24762	24421	26211	34718	38388	39259	36011	40281	41777	43148
 39069	Henry, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	58160	61641	67393	72347	75329	78012	79942	79653	74402	81291	81666	82784	91380	94493	94354	94891	92873	96232	97552
 39071	Highland, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	61449	66669	71972	75592	81582	85008	86976	83963	78617	81172	81183	81037	88925	90689	88306	88430	89965	95648	96722
 39073	Hocking, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	35064	37029	40138	42748	44846	47488	48880	49646	47098	52288	52071	51569	55019	56988	57601	57852	56095	55627	56853
 39075	Holmes, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	67719	71812	79021	82398	89935	95093	99231	99056	92289	95177	101396	103358	119687	125340	131885	132222	133443	142790	147529
 39077	Huron, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	128181	133323	139363	144543	152373	157191	157469	155718	140233	148739	152190	151262	168908	171798	173554	174309	174777	184399	192105
 39079	Jackson, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	48466	53045	58166	62846	67067	70013	71767	70342	66697	70786	68616	69183	79294	83234	79587	77531	76338	78849	80081
 39081	Jefferson, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	130145	141770	146467	150259	157130	176837	184314	198119	178179	176109	177123	166380	181439	182119	182602	186934	179283	187566	197366
 39083	Knox, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	87588	95392	101999	112051	119864	130031	133630	136207	131887	137482	140695	143997	161531	167530	172435	166435	165823	174374	181526
 39085	Lake, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	510891	531236	591437	612354	643064	684539	712766	724826	679355	705206	751465	716428	784511	801212	821117	808066	813069	848260	880000
 39087	Lawrence, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	58431	61194	67354	74393	77686	83526	86234	89121	84335	93668	93172	90910	102818	107115	108448	108217	104997	107552	116856
 39089	Licking, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	254610	263015	279234	300774	322595	349915	360991	364252	344291	353969	369441	365052	401504	411870	428950	431281	442480	487657	518320
 39091	Logan, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	111719	118115	127709	132305	143088	147703	152878	156085	138117	133670	132904	135200	151029	154432	160454	162106	163637	167453	164285
 39093	Lorain, OH	3.0	CAINC6N	7.0	...	  Employer contributions for employee pension and insurance funds 	Thousands of dollars	565599	585359	623944	658508	685070	720766	727920	731895	682703	713840	742171	741822	820387	840728	851219	842534	843010	876460	896904
