GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	13278571	13780662	14345500	15166431	15624330	16468458	16956857	16481390	15759561	16221215	17062949	17477016	18422125	19165224	20174444	21001073	22622591	23956331	24594655
 39001	Adams, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	6368	6920	7113	7750	8429	8516	8646	6873	6665	6489	6869	6927	9151	8359	9008	12313	14610	12700	13423
 39003	Allen, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	52906	54700	57076	57653	59231	61606	61988	62789	56757	56210	60139	60623	63785	66434	68260	69286	73662	78734	81171
 39005	Ashland, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	11762	12064	12418	13463	14419	14477	14317	15012	13464	15591	15781	15850	18117	18457	19089	17036	17660	17721	18167
 39007	Ashtabula, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	27489	28970	29249	31028	26641	27804	30265	31237	26237	26933	27926	28500	30772	31663	32038	32502	34315	36124	35080
 39009	Athens, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	18716	20377	19852	20863	19837	21066	21317	22087	19932	19978	20889	20881	22113	23872	24425	25815	26021	27386	28718
 39011	Auglaize, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	13931	14165	14492	14728	15948	15907	16347	17181	15865	16065	16759	17580	18136	18741	18791	18106	19181	20349	19309
 39013	Belmont, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	31175	32679	33251	35661	36308	36568	38172	39026	36180	37898	41015	41499	41964	42774	46863	54219	54820	29632	30933
 39015	Brown, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	7015	7652	8670	9601	10104	10988	11613	10964	9633	8704	8189	8202	9039	9774	9653	9301	9746	10176	11146
 39017	Butler, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	385801	429055	467972	511466	590694	665409	700319	639208	610631	630975	672130	681637	725137	772850	805785	848669	884087	900924	876993
 39019	Carroll, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	4234	(D)	4825	4692	3972	2933	3167	3010	2654	2930	3295	3338	4880	4946	3684	3661	3952	4560	5590
 39021	Champaign, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	10872	11428	12390	13114	12239	11638	11652	11315	10467	10082	10551	10340	11132	12338	12627	13120	13506	13520	13812
 39023	Clark, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	48645	76492	82591	86131	90663	111888	114566	120349	120586	122804	135916	152631	173027	196368	189271	190436	206719	208685	195168
 39025	Clermont, OH	3.0	CAINC6N	1000.0	52	   Finance and insurance	Thousands of dollars	152709	176820	188923	205811	225079	268716	295392	300050	268289	253326	247786	229551	251038	278060	288775	244070	240625	256363	268762
