GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	84922	91740	96852	116050	107979	122136	126483	130697	143823	147317	153620	172018	180733	198092	209194	217337	226346	237875	246239
 39001	Adams, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	390	367	(D)	(D)	530	(D)	(D)	1037	673	(D)	(D)	(D)	(D)	1133	(D)	(D)	(D)	(D)	(D)
 39003	Allen, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	666	(D)	(D)	748	(D)	(D)
 39005	Ashland, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	628	759	682	803	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1180	1375	(D)	(D)	(D)	(D)
 39007	Ashtabula, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	359	424	435	412	499	556	615	778	871	1061	1252	1671	2252	(D)	3329	3818	4030	4388
 39009	Athens, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	1057	152	(D)	(D)	(D)	(D)	(D)	(D)	(D)	255	354	289	(D)	335	(D)	(D)	(D)	(D)	(D)
 39011	Auglaize, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39013	Belmont, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	708	771	664	582	456	404	251	223	239	224	218	283	319	(D)	515	3825	(D)	391	382
 39015	Brown, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39017	Butler, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	483	504	(D)	524	511	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1220	1376	1540	1657	(D)	(D)
 39019	Carroll, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	627	556	532	646	571	638	(D)	(D)	361	342	(D)	317	(D)	447	452	470	435	431	424
 39021	Champaign, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39023	Clark, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	1084	1150	1389	(D)	(D)	(D)	2041	2432	2498	2770	(D)	2987	2876	2665	2944	2939	3283	3341
 39025	Clermont, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39027	Clinton, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39029	Columbiana, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	1032	1102	963	1775	1613	1023	947	1033	1190	1233	1288	1450	1586	1671	1808	1869	2037	2218	2363
 39031	Coshocton, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	356	383	385	503	459	651	629	635	758	730	803	881	898	925	1025	992	(D)	(D)	(D)
 39033	Crawford, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39035	Cuyahoga, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	2317	2404	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1443	1460	1503	(D)	1773
 39037	Darke, OH	3.0	CAINC6N	100.0	113-115	   Forestry, fishing, and related activities	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
