GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	37466022	39518395	41454776	43375489	44471216	45545853	47212018	48626544	49487772	51932393	51730584	52125508	52882677	53888165	55303482	56715481	57647383	59441974	61287427
 39001	Adams, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	57902	60110	61845	66796	70543	73998	74003	80152	82083	85232	81249	78394	81286	82137	83413	86237	89298	91502	87571
 39003	Allen, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	342479	358775	365396	365383	342206	370706	380551	388763	396030	411602	410209	392971	396231	398103	407713	413364	416625	424267	438566
 39005	Ashland, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	122845	128052	133937	140311	139798	150199	155136	161907	162898	157969	152940	149329	149210	148143	152130	152541	156606	162068	164785
 39007	Ashtabula, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	219105	230653	241161	254740	253901	259889	266728	266677	270836	281146	273455	266896	264053	268718	271790	272955	276148	282767	283862
 39009	Athens, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	463214	472895	481214	495235	507581	515503	536592	546844	572505	629098	625426	628467	638012	661202	692664	718331	740229	710566	746547
 39011	Auglaize, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	93684	99239	105199	109149	113058	118684	124770	129619	131859	134518	130683	129781	132780	134075	137360	140734	141040	143856	143164
 39013	Belmont, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	167434	175447	183721	188468	191600	197417	203913	212916	213138	221068	217781	213485	214892	218949	223124	227340	231647	236273	242683
 39015	Brown, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	86896	92325	98852	112412	119874	122387	127326	131404	128880	135673	118549	110328	110622	112915	117785	121109	124515	131621	139556
 39017	Butler, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	902227	948862	1017651	1088052	1122089	1173359	1225038	1290228	1299669	1329119	1289499	1259401	1270125	1299370	1327170	1384877	1408453	1462826	1509781
 39019	Carroll, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	37537	39437	42285	47036	46835	49116	49851	51154	50744	53712	51696	50815	51569	53677	53750	56092	57687	58221	62477
 39021	Champaign, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	82260	84985	90128	96164	98749	101562	104329	106931	107291	113084	108341	104820	105900	108458	108370	112687	114238	118708	123415
 39023	Clark, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	348230	365281	381048	396043	386780	385882	400734	413491	420883	430576	416880	418935	425899	432590	436948	448855	450094	459913	467162
 39025	Clermont, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	311540	332039	354687	377994	400158	429748	439264	462165	469736	492307	484193	476379	485281	489193	503011	514269	527649	546866	562678
 39027	Clinton, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	129874	139961	148319	159159	167175	183725	193448	201576	198146	203973	146157	142362	142276	145576	150405	149609	151397	154888	155165
 39029	Columbiana, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	219964	234578	248202	258441	253346	256714	262579	271042	282759	306874	301924	305742	307549	314750	316106	320191	319208	327767	334808
 39031	Coshocton, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	65677	68670	72801	76070	75609	77574	79421	81785	82427	88808	86364	85410	87334	88821	91403	91736	92938	95290	98580
 39033	Crawford, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	89589	94441	99503	101486	99170	98350	101899	108209	111303	115758	113530	109787	110621	112255	113498	115495	116213	118426	122328
 39035	Cuyahoga, OH	3.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	5620726	5859360	6105427	6403322	6486872	6610815	6914373	7108258	7122487	7359897	7255339	7151619	7268708	7510483	7708138	7897764	7916365	8215803	8368723
