GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	5973219	5720573	5851861	5897128	5834433	5837625	6021606	6006467	5837622	5656553	5801215	5811677	6060879	6021547	6063998	6024405	6126969	6270536	6379033
 39001	Adams, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	1533	1685	1638	1685	1851	1875	1873	1808	1921	1748	(D)	2221	2356	2653	3065	(D)	(D)	1717	1911
 39003	Allen, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	36325	34225	37529	37980	35927	36380	36507	36649	37146	34786	35323	34315	33639	33910	35006	31647	30024	29353	29305
 39005	Ashland, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	11002	6916	5179	10610	12888	12209	14618	13450	17092	16547	17073	17051	(D)	11584	16196	13749	14017	15074	16658
 39007	Ashtabula, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	19232	20057	18954	20015	18705	18687	18963	18496	18525	16633	16527	15619	15821	16072	(D)	15768	15286	15147	14048
 39009	Athens, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	9955	10011	11914	12982	12204	12155	12648	16467	15871	13671	14202	15195	17080	20410	18727	18541	24282	25112	24674
 39011	Auglaize, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	8487	8743	9059	9585	10013	11884	13344	11526	11016	10080	10367	10217	11057	11939	12266	11624	11980	13212	13800
 39013	Belmont, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	18371	21047	22203	22499	22198	23279	22504	22986	22109	19234	19497	18114	18544	18348	19189	22741	32192	16607	16403
 39015	Brown, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	2573	3054	3886	3537	3349	3031	3074	3267	2458	1948	2054	2162	2140	1995	2070	1943	1462	1534	1654
 39017	Butler, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	46576	32955	44688	46863	46334	57375	56835	61275	66917	63860	68950	65217	59724	65112	66119	56124	60068	82347	83877
 39019	Carroll, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	3269	3276	4046	4700	3410	2159	2019	2012	2045	1874	1907	2403	(D)	2431	2186	1811	1641	1765	2071
 39021	Champaign, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	5032	4772	4912	5152	5018	4737	4743	4606	5403	5316	4764	4807	4631	4123	4069	4003	4649	4316	3754
 39023	Clark, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	22334	14637	11518	16895	16593	18449	17809	16459	18652	15098	16516	15425	14669	14004	12038	10293	8961	9024	8641
 39025	Clermont, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	130214	(D)	87430	91770	102646	107489	116373	108421	107607	113516	111673	113783	112313	122727	134768	137671	(D)	(D)	(D)
 39027	Clinton, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	16104	16088	16910	13573	12369	12124	12936	14630	16241	16345	17272	17446	16499	16850	20686	18921	38388	58778	(D)
 39029	Columbiana, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	12313	12226	12435	8890	7219	7692	7843	7920	7512	7339	7591	6695	7380	9199	10632	9907	10881	10092	9900
 39031	Coshocton, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	4284	3716	3857	4324	4218	4324	4521	4160	3964	3553	3442	3186	3148	3533	3423	3272	3497	3409	3378
 39033	Crawford, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	3664	3424	3894	3494	3415	4049	3644	3806	2636	2403	2098	1851	1767	2920	3228	2963	2626	3107	2775
 39035	Cuyahoga, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	1206998	1159862	1156646	1191445	1159641	1154772	1194580	1176475	1098448	1060655	1092629	1067544	1119100	1133859	1146946	1121230	1112847	1158191	1119780
 39037	Darke, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	5842	5011	5129	4927	4895	5983	4908	4941	5269	5138	5146	5026	4934	4374	4531	4631	4223	4468	4434
 39039	Defiance, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	8881	9700	11428	12251	12646	13413	14689	14487	15550	15053	12238	11747	11514	11520	12278	12177	11032	11134	10743
 39041	Delaware, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	11545	17115	18943	63797	71116	83742	90326	69303	68469	80352	88417	117430	82940	71334	55499	63112	60888	58900	67575
 39043	Erie, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	17769	18995	18563	18926	18694	16232	17727	15210	16755	16876	18108	16240	15204	16271	18848	21724	23821	23760	46799
 39045	Fairfield, OH	3.0	CAINC6N	900.0	51	   Information	Thousands of dollars	10608	10942	12578	13663	13457	13539	13799	13293	12756	14681	15142	17629	17598	17577	16236	15715	14631	15082	14318
