GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	7155977	8095750	8742425	9596006	10567209	11439638	11769515	12027776	11253927	11956187	12979048	16102420	16770048	17645232	17488171	17685529	18464817	18716727	19647771
 39001	Adams, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39003	Allen, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	15941	20470	21734	24621	22900	21866	21020	15998	21930	22094	23126	26569	29032	28585	35786	32700	27905	28101	29290
 39005	Ashland, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1804	4194	3105	3793	4126	4108	4435	4786
 39007	Ashtabula, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	7950	8121	10856	9885	6242	3897	3921	8231	10260	12297	10907	9254	10466	5052
 39009	Athens, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	3606	3726	3584	4965	19208	18310	18012	18804	18603	16095	14594	14706	16135
 39011	Auglaize, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4930	4878	5028	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39013	Belmont, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	8714	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	15497	42814	28084	18028
 39015	Brown, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	0	0	0	0	0	0	0	(D)	(D)	(D)
 39017	Butler, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	11793	16426	51793	67484	73025	72790	62376	47165	48098	52355	59211	217063	113444	100401	124608	192057	227341	235940	257600
 39019	Carroll, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	0	0	0	0	0	0	0	0	(D)
 39021	Champaign, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39023	Clark, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	52606	52408	(D)	(D)	59149	64069	68100	69133	64764	67998	73641	73019	(D)	98116	104632	108405	119692	122205	131517
 39025	Clermont, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	7859	7669	13164	15597	13536	23029	24186	24522	27544	28243	31894	57138	38291	45225	61946	58134	67465	68976	50622
 39027	Clinton, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	10619	10420	11877	12857	13812	14457	14762	12671	13597	13864	14227	17111	17828	19525	20679	22119	22691	24125	39804
 39029	Columbiana, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	670	5488	3630	6908	10529	9245	3417	3714	8021	9463	9443	9794	9454	8416	9867	10989	11795	13944
 39031	Coshocton, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	929	1047	1023	1984	1708	1888	2005	1774	(D)	(D)	(D)	1080	(D)	(D)	12641	(D)	(D)	(D)	(D)
 39033	Crawford, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	640	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39035	Cuyahoga, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1159104	1142620	1264757	1519383	1693179	1949891	1945276	1903777	1669680	1859919	2215725	2967648	3029725	3051826	2969989	2866172	3483672	3461082	3680696
 39037	Darke, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1243	1141
 39039	Defiance, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	5332	6018	8387	6743	6226	7316	7107	7805	7665	6557	6787	6535	5558	5807	4012	3989	3031	2289	2560
 39041	Delaware, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	57361	74073	(D)	77037	70889	84194	75900	63811	57751	50627	61952	(D)	(D)	(D)	1208675	1243602	1344605	1358768	1467004
 39043	Erie, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	1553	3006	3459	4229	3589	3189	3780	5880	9413	9384	11659	12186	13245	16480	17986	17438	16998	20104
 39045	Fairfield, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	9730	8151	6936	6205	13857	15029	20462	19813	21536	21552	18589	22897	23972	25633	17557	19079	20677	21875	21041
 39047	Fayette, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	0	0	0	(D)	(D)	(D)
 39049	Franklin, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	1236706	1440028	1462634	1579529	1886350	2090071	2259666	2287428	2139025	2192576	2313299	2564883	2719172	3105569	3470479	3351560	3394334	3496976	3455762
 39051	Fulton, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	4930	5987	3784	(D)	(D)	(D)	3269	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39053	Gallia, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	(D)	(D)	(D)	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39055	Geauga, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	7543	6732	(D)	18310	20472	24217	20028	24025	21307	23644	11795	7316	11972	16490	16324	19214	20969	21817	23817
 39057	Greene, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	28871	27647	10081	13346	11115	16584	18118	18842	18588	17196	16666	19052	20578	16527	54117	69149	83385	94390	100383
 39059	Guernsey, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4237	3946	5536	(D)	(D)	(D)	(D)	(D)	6129	(D)	(D)	5821	(D)	4923	2350	2242	1110	478	1476
 39061	Hamilton, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	2418031	2843718	2824123	3070361	3287630	3444144	3477603	3691119	3517580	3847423	4087407	4789566	4733541	5020942	3975667	3941863	3809649	3711721	3866089
 39063	Hancock, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	38841	21978	32963	24916	28566	39686	43420	51814	46346	49970	53715	58081	395172	433761	457221	348856	390054	402183	429354
 39065	Hardin, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 39067	Harrison, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39069	Henry, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	0	0	0	(D)	(D)	0	0	0	0	0	(D)	(D)	(D)	0	0	0	0	0
 39071	Highland, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	4182	12614	4916	3664
 39073	Hocking, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(D)	(D)	(D)
 39075	Holmes, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	3766	3561	(D)	3931	3551	2681	2314	2292	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	3131	3214	2443
 39077	Huron, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	6733	(D)	7967	8001	6714	4883	4945	4893	4126	3662	3543	3372	(D)	9152	9585	9605	(D)	(D)	(D)
 39079	Jackson, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	5100	5754	6386	6945	(D)	(D)	3623	4756	3319	2151	2170	2062	2018	1704	(D)	1597	1700	1887	(D)
 39081	Jefferson, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	600	633	726	3516	4246	3771	4005	4347	3988	2648	2279	2000	(D)	910	(D)	(D)	(D)
 39083	Knox, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	4408	4564	5143	5403	5907	5865	5763	6316	6425	6262	4387	4984	6075	6545
 39085	Lake, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	66090	64434	85901	100719	108594	93281	97611	95028	103301	105769	110505	105502	120145	145500	170604	171552	158895	163245	202922
 39087	Lawrence, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	3489	3305	3616	5343	6216	5164	5087	4748	5209	5293	5353	6359	6813	6858	6755	6159	6334
 39089	Licking, OH	3.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	(D)	(D)	(D)	22636	21183	29577	31247	26222	26607	25260	27513	29065	33624	35818	26317	27314	26956	36368	151555
