GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	743194	661653	664005	710634	731788	809745	824598	881885	878234	887148	976132	1097043	975561	1232744	1167491	940637	998644	1087154	1064860
 39001	Adams, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	4730	4673	(D)	(D)	2566	(D)	(D)	2353	1881	(D)	(D)	(D)	(D)	3449	(D)	(D)	(D)	(D)	3017
 39003	Allen, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	2796	2640	2928	3159	(D)	(D)	2866	(D)	(D)	(D)	(D)	(D)	(D)	1887	(D)	(D)	2669	(D)	(D)
 39005	Ashland, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	1248	991	890	1347	1590	1752	1783	2054	1686	1162	1208	1191	1986	1844	1780	1277	(D)	(D)	(D)
 39007	Ashtabula, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	2117	2171	2329	2534	2464	3671	4214	4277	3087	2873	2894	2990	14120	20304	4553	2179	1806	1898	1837
 39009	Athens, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	910	829	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39011	Auglaize, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	1268	922	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	783	(D)	(D)
 39013	Belmont, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	49530	62200	71761	77287	84153	88941	93545	111498	125123	130686	148272	182159	220920	269844	240519	184861	201962	231248	224968
 39015	Brown, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	0	0	1340	1360	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39017	Butler, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	10039	11131	(D)	10476	13270	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	8217	8853	9421	9190	(D)	(D)
 39019	Carroll, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	585	551	548	3625	4415	4964	(D)	(D)	4731	5608	(D)	12831	14991	19942	14045	7674	7126	7188	5770
 39021	Champaign, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 39023	Clark, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	2001	1832	1720	2028	2690	2521	2553	2183	2278	2785	2869	3326	4871	8052	9625	13085	17340	19209	12795
 39025	Clermont, OH	3.0	CAINC6N	200.0	21	   Mining, quarrying, and oil and gas extraction	Thousands of dollars	(D)	403	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
