GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	195093861	196526790	201971459	210406515	216564694	226074424	232184034	233425377	218544416	221059982	232807172	243806953	252774549	263687871	273725805	279308655	290691448	301852867	312565460
 39001	Adams, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	152405	147519	154070	173158	179732	201514	223806	197221	171657	176784	193407	182454	196151	202980	220350	234784	239180	246166	253002
 39003	Allen, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1877638	1903421	1960575	2035958	2126112	2170276	2183374	2132831	2072710	2095514	2176919	2266504	2336407	2396714	2435749	2515805	2630404	2724194	2811680
 39005	Ashland, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	582250	580247	586364	606740	623579	632106	679608	678280	630622	632078	658058	686394	705049	745626	793370	802389	825141	848198	889077
 39007	Ashtabula, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	977818	993965	1008980	1059715	1084388	1094174	1108516	1135077	1051912	1081065	1148099	1161594	1199328	1239993	1266907	1257156	1311683	1362011	1390954
 39009	Athens, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	326124	343678	362214	377001	390885	404244	424789	433304	437212	440584	461120	480511	502249	533296	552420	562145	595611	591099	628863
 39011	Auglaize, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	639095	629479	668615	717963	755423	783676	820727	824203	704986	714866	770748	834667	884581	946252	1027352	1047624	1091103	1171011	1218625
 39013	Belmont, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	574051	614959	645031	676011	709429	733652	743307	774144	761302	771920	815568	864317	960314	1072374	1070024	985814	1083785	1078041	1051783
 39015	Brown, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	148490	150502	160791	171562	176562	190483	217395	230288	229306	252884	269076	276025	295479	299845	285670	295344	300133	299693	259935
 39017	Butler, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	4525365	4685491	4917692	5300101	5574611	6060183	6432739	6572341	6200652	6450426	6591335	6772078	7037160	7474128	7969583	8339760	8888143	9096013	9474180
 39019	Carroll, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	157222	152907	152455	159237	177661	183145	188711	188877	167964	173546	183197	220551	305271	310301	294156	299010	325779	265731	287519
 39021	Champaign, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	342674	335206	348722	361370	370167	385228	388288	383609	339212	331700	349866	386058	443742	459787	478353	466204	492383	504811	515292
 39023	Clark, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1825928	1718403	1685543	1713283	1743574	1843717	1823533	1879483	1798135	1767756	1875013	1929555	1990754	2036035	2063541	2086023	2205105	2257407	2305513
 39025	Clermont, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1857582	1839452	1922014	2129853	2190541	2396909	2487095	2398904	2208142	2165993	2288459	2420974	2474885	2682831	2886017	2856209	2946688	3095501	3220030
 39027	Clinton, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	882487	886706	942845	987642	1051973	1212885	1246887	1225390	1015051	670302	679981	699657	701822	729735	783939	853689	928833	1022265	1078543
 39029	Columbiana, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	932153	936106	956318	947650	974676	1018260	1046941	1047963	964393	962681	1039094	1084549	1140324	1199259	1217899	1169641	1203827	1263899	1305788
 39031	Coshocton, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	418185	418439	428964	435302	431269	450395	463434	462777	407823	423151	426561	429840	483443	487428	598285	454340	453475	473285	476631
 39033	Crawford, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	506400	512142	513060	522679	533255	520878	510659	491779	441774	454650	493634	548639	520640	539467	563415	561918	589638	565729	601219
 39035	Cuyahoga, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	33003007	32353719	33171912	34543772	35024549	36776360	37696810	37549640	35134727	35857075	37682846	40012307	41385180	42479866	43740478	44421084	46226434	47980117	49774685
 39037	Darke, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	579498	577361	606177	609563	602463	623129	630694	634270	605795	609263	647474	706567	725255	745721	791264	817442	861146	860576	861657
 39039	Defiance, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	681062	684208	711988	716979	714938	749391	751207	712320	622136	626857	650573	692929	729341	783305	764011	770791	770969	770494	761218
 39041	Delaware, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1580017	1877408	2406071	2708500	2986948	3334698	3535814	3709466	3696370	3932467	4311949	4651533	4934908	5091375	5282752	5383100	5735277	5924576	6274840
 39043	Erie, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1336044	1332243	1380002	1390968	1411070	1435072	1383931	1380251	1272050	1323811	1393928	1419069	1425610	1454439	1504783	1549530	1635902	1634061	1652247
 39045	Fairfield, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	922339	960098	989809	1075882	1104016	1180049	1227480	1359466	1325690	1347999	1411668	1483196	1539833	1586561	1648121	1694789	1861016	1867441	1944783
 39047	Fayette, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	295333	307831	321350	345001	341294	356283	378012	388726	362037	342906	358169	375586	396574	406963	410681	440504	450635	458211	452914
 39049	Franklin, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	27224092	27434489	27538780	28633469	29573114	31036289	32413081	32600090	31306200	31621597	33319057	34972114	36826748	38881031	41187438	42372867	44308298	46386003	48013179
 39051	Fulton, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	672874	697687	708334	751971	774195	786094	778929	746199	637378	643665	673411	698691	729016	756863	814564	842489	884369	907837	913388
 39053	Gallia, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	377764	397262	405277	437687	445110	500514	491473	499775	484224	458807	446769	482246	469764	456000	458483	456965	467644	510009	507441
 39055	Geauga, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1099561	1117801	1159940	1254317	1361210	1424077	1434823	1449915	1325629	1335793	1390221	1448074	1498495	1573089	1636743	1653014	1740732	1852084	1901404
 39057	Greene, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	1496176	1590999	1631703	1771072	1883031	2069609	2200319	2217288	2229843	2248499	2331437	2370261	2438645	2541373	2737341	2830076	3038818	3285007	3464432
 39059	Guernsey, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	386109	416868	435227	435409	450695	449707	475455	487576	485521	476927	501481	544431	605141	680667	715189	666986	735528	747185	738416
 39061	Hamilton, OH	3.0	CAINC6N	90.0	113-814	  Private nonfarm compensation	Thousands of dollars	24646603	24985397	25396883	26273981	27085194	27751111	28562483	29272780	27931267	28124435	29407910	31150441	32076263	33387985	33929081	34791516	36078465	37279357	39157356
