GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	42907469	44205923	46815758	49278358	51075013	54021242	54992065	55784876	53249270	54827233	56804910	57347468	61831549	63024317	64915451	65869065	67459849	69674044	71638260
 39001	Adams, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	48925	48681	50592	57689	60565	69605	71789	67878	61353	65339	66468	61550	67779	69196	72559	76551	75403	77523	75976
 39003	Allen, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	433613	445573	473609	495471	511614	539723	536443	531263	524170	541053	548432	546986	587829	596374	600541	609468	623915	638395	658474
 39005	Ashland, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	135301	138335	145206	152730	156468	165038	173813	175224	166879	169180	173384	174839	185185	191131	199485	199241	202151	208640	220698
 39007	Ashtabula, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	246265	255705	268984	283896	292339	302588	306922	313949	291676	306790	318225	311544	333211	338378	341920	339770	345291	358038	364978
 39009	Athens, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	175137	183006	194634	208303	217254	226864	235288	241312	243173	275883	277860	279162	298803	311132	322209	333774	336910	324531	337527
 39011	Auglaize, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	137188	139279	153508	164777	174471	184504	192860	196762	176954	180983	189581	196645	214526	224015	240537	244037	250129	263946	268119
 39013	Belmont, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	149325	158219	172028	183113	191990	204985	205557	212848	206926	215366	220069	222190	244493	256863	256800	248559	258607	259073	257477
 39015	Brown, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	49476	51901	57141	64466	69008	72761	80031	86910	86312	96120	94264	90238	99503	99840	98263	102958	100742	102224	93094
 39017	Butler, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	991457	1048855	1128725	1229570	1298075	1422195	1490390	1548505	1486089	1558305	1563756	1538437	1654974	1718524	1797659	1862571	1936929	1983020	2050409
 39019	Carroll, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	41024	41567	43417	46441	50232	53392	55219	55808	50534	53278	54081	59137	75775	76065	75773	76651	79608	70121	74926
 39021	Champaign, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	85827	87528	94346	99242	103076	107448	109190	108999	99950	99364	100519	105138	119943	123289	127600	126402	129851	133008	134855
 39023	Clark, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	415777	408133	417936	432789	440965	466297	466307	479867	460555	463071	480067	480226	516626	522899	524497	529246	544221	554613	560644
 39025	Clermont, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	387322	397314	427199	475497	500632	549957	560282	557213	522220	526732	548902	553010	587925	615713	649863	645304	658573	685532	712631
 39027	Clinton, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	198099	201141	217763	236756	252918	271271	298264	276962	230662	190944	180548	178151	187521	191271	198144	213259	226139	243048	257114
 39029	Columbiana, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	229653	236455	251790	255288	263945	279597	284961	288894	272477	284892	298104	301898	326045	335111	336906	327256	329962	342675	351811
 39031	Coshocton, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	97909	99780	105499	109642	110806	120077	121886	123606	112142	117882	117978	114494	129154	128996	144884	126043	123870	127411	129047
 39033	Crawford, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	122102	124967	129594	134191	138338	139977	138038	135049	124307	129466	136114	141815	144556	146911	152538	151693	154547	147587	152688
 39035	Cuyahoga, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	6779580	6858189	7175289	7524464	7732204	8201965	8301953	8361773	7987347	8202665	8504760	8619599	9287437	9358224	9566422	9681428	9893630	10270607	10524910
 39037	Darke, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	136334	139853	152060	155152	157096	164771	162235	163498	156871	161557	167874	176574	189827	191999	202567	206951	212145	213397	215328
 39039	Defiance, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	140394	146270	154547	159858	162911	169962	174790	172856	154388	154907	157899	160237	173135	181167	179168	180412	179949	179936	179654
 39041	Delaware, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	319049	371061	471451	528935	593854	658186	682013	726793	727087	767517	833165	897433	994287	989254	1023281	1035410	1106380	1136915	1199736
 39043	Erie, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	295857	302038	325527	336316	345154	355471	347835	348016	334483	354475	366825	365976	384922	387625	396359	406754	418715	420684	422458
 39045	Fairfield, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	245549	259173	278967	304786	320697	343885	356810	361504	355198	372407	382585	383707	415902	425477	436805	447473	465920	474976	492477
 39047	Fayette, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	69911	72795	77427	84800	86782	90250	97010	100584	95165	94306	95851	97330	106307	106885	107330	112993	114111	115267	114206
 39049	Franklin, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	5871425	6083479	6289971	6604927	6917056	7345047	7604242	7786757	7620506	7897825	8264538	8518766	9334215	9575016	10032054	10278896	10607894	11009300	11345004
 39051	Fulton, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	145208	153373	162469	173685	183680	192835	193197	189068	166579	169016	173230	173879	187211	190486	203422	206904	213808	218776	216269
 39053	Gallia, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	96563	103837	107343	116850	119352	135320	131740	136144	131996	132085	131185	128476	137622	135896	134452	138795	136640	143611	146543
 39055	Geauga, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	232849	239922	257928	278239	302481	321832	325740	333631	310962	319801	329932	332316	356851	367826	378262	377878	388911	407756	419007
 39057	Greene, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	605068	664559	722794	792410	844611	912956	936068	932057	972038	1039109	1119405	1127877	1168484	1201242	1249927	1285984	1340443	1411354	1493680
 39059	Guernsey, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	101269	109141	118390	122030	127585	130553	133829	135126	131735	136425	142560	145971	163813	174507	180570	172962	184445	187665	187696
 39061	Hamilton, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	4936393	5047500	5286366	5472218	5559644	5824318	5880947	5998053	5796696	5875319	6053550	6098760	6599945	6674319	6842657	6974913	7187548	7432501	7715859
 39063	Hancock, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	328510	333745	356929	376458	387872	420587	427722	433161	409814	430379	445361	460415	498170	506496	524600	544223	563963	574268	588500
 39065	Hardin, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	63205	67163	70920	75802	79631	81584	83393	85510	80558	83553	86685	89113	94120	97045	98451	100096	97453	97466	100993
 39067	Harrison, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	27262	26636	28474	30663	31840	33584	33211	34659	32232	33586	33524	36684	47800	51693	51340	46893	55906	56220	56660
 39069	Henry, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	83641	86439	94868	102890	107232	111832	113088	114160	107454	114839	116584	118711	125388	127683	128249	131758	131420	133265	135097
 39071	Highland, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	82866	88296	95521	101318	108336	112197	113959	110713	105572	106921	107206	108180	115048	116746	113491	114958	119039	124475	126121
 39073	Hocking, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	47077	48991	53006	56978	59308	62298	63948	65350	62713	68245	68747	68280	70485	71911	72750	74279	72939	71613	73142
 39075	Holmes, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	101721	105582	116762	124016	132483	138515	143720	144133	137633	140794	150317	155119	171037	177228	188988	193428	198776	208864	215805
 39077	Huron, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	199817	201870	209715	220417	230018	236559	235804	234811	215306	225679	232886	232994	247753	251508	255808	259823	265272	275059	283037
 39079	Jackson, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	69582	74112	81749	88954	95543	98930	100664	99767	95283	99192	97406	98680	107541	111200	107087	105522	105792	107493	109326
 39081	Jefferson, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	187648	199442	207102	213370	223936	245894	258239	283486	255079	243703	247872	235745	246663	248693	247867	254759	250147	257384	269490
 39083	Knox, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	127718	136118	145594	161696	171608	185575	190474	196498	192069	196846	203037	209644	226646	233686	240210	233634	237519	246287	255325
 39085	Lake, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	757017	767256	851748	891847	934617	980460	1017338	1040176	982917	1009048	1076474	1043889	1097157	1114177	1142164	1140151	1164296	1194245	1247669
 39087	Lawrence, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	78895	81387	89622	99400	103807	110730	114444	120254	115328	124146	125108	123563	133640	139728	141471	141976	140734	142125	154847
 39089	Licking, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	376375	379462	403689	438498	466203	498365	512494	520646	502813	504807	531358	530232	557534	569647	593164	603852	629744	686250	734214
 39091	Logan, OH	3.0	CAINC6N	6.0	...	 Supplements to wages and salaries	Thousands of dollars	165630	170339	184231	192856	203633	208130	213660	220972	198436	192250	192061	198740	213993	218364	225181	231505	235861	237904	235018
