GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 39000	Ohio	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	190021284	192170970	197002115	204938475	210348512	217977462	224964928	226720674	215258719	218552314	228205040	239220990	244420524	255081292	264782577	270919679	281488178	292234241	302847152
 39001	Adams, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	162287	159675	166197	183247	190593	206776	227326	210558	193502	197589	209288	200815	211053	217173	232763	246248	254495	261575	266056
 39003	Allen, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	1788624	1818696	1855035	1909094	1959798	2004485	2032554	1994251	1948494	1969127	2042258	2117163	2149145	2202319	2247774	2325253	2427545	2514529	2596348
 39005	Ashland, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	574080	574034	579684	599168	611022	621092	666332	669059	630652	623936	641100	665358	673218	706346	750649	760983	783825	805883	837531
 39007	Ashtabula, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	954090	971724	984962	1035311	1050646	1056483	1076352	1093805	1036886	1059803	1108249	1123160	1135937	1175485	1203231	1197721	1248437	1292678	1315927
 39009	Athens, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	614748	633871	649183	664401	681667	693364	726850	739560	767398	794569	809708	831292	842839	884593	924429	948476	1000339	978556	1039345
 39011	Auglaize, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	599190	592797	623980	666139	697211	720809	756757	760360	663293	671132	715118	772204	806930	859966	928759	949564	986197	1055132	1097997
 39013	Belmont, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	593200	633158	657789	682454	709927	726876	742740	775074	768391	778331	814087	856756	931732	1035388	1037458	965865	1057854	1056275	1038024
 39015	Brown, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	187532	192378	204113	221172	228807	241365	266420	276260	273476	293791	295026	298487	308769	314870	307607	316257	326115	331317	308668
 39017	Butler, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	4440799	4590089	4811376	5163108	5401994	5814016	6170469	6316765	6017253	6223841	6320390	6497727	6656665	7058863	7503979	7867647	8364117	8580297	8938159
 39019	Carroll, OH	3.0	CAINC6N	5.0	...	 Wages and salaries	Thousands of dollars	158033	154832	155699	164258	177842	182016	187519	187548	171613	176743	184147	216668	285223	291612	276809	283798	308117	258117	279489
