,Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ATNHPIUS45001A	Abbeville County, SC	45001																							89.44	94.15	95.45	100	107.88	111.96	114.53	120.83	125.29	132.44	137.43	140.32	138.58	132.82	128.28	123.19	123.5	129.9	131.34	136.06	140.98	156.43	158.81
ATNHPIUS22001A	Acadia Parish, LA	22001																			70.59	78.39	79.43	85.11	90.55	93.53	96.14	100	104.3	108.36	110.63	115.57	121.09	132.94	140.65	146.06	143.29	143.77	142.11	143.73	149.57	152.1	153.46	156.41	162.02	162.95	166.92
ATNHPIUS51001A	Accomack County, VA	51001																		72.8	75.65	84.38	74.64	83.3	86.18	88.97	92.81	100	110.49	117.51	129.1	150.37	183.15	200.02	204.66	200.1	188.0	172.3	168.19	164.4	162.74	161.21	164.85	166.43	169.5	166.62	177.47
ATNHPIUS16001A	Ada County, ID	16001	29.04	32.31	35.81	42.27	47.66	49.97	55.32	55.63	55.14	56.93	57.58	57.43	57.2	56.98	60.36	64.71	67.55	70.93	77.55	83.04	87.75	89.58	91.11	93.47	96.14	100	104.98	108.72	111.42	117.63	136.4	168.33	174.73	165.93	144.48	124.68	110.01	115.1	128.65	142.49	151.73	165.39	183.56	208.7	234.53
ATNHPIUS29001A	Adair County, MO	29001												58.5	61.99	58.25	59.5	63.09	59.56	65.53	70.72	68.86	83.46	88.8	91.51	91.91	94.96	100	102.19	102.95	105.36	107.13	113.23	113.48	117.25	117.01	115.58	111.99	113.34	115.54	116.36	116.8	117.3	119.22	119.27	127.83	126.74
ATNHPIUS19001A	Adair County, IA	19001																								88.1	96.04	100	106.0	108.91	105.74	111.5	124.58	123.84	131.46	127.33	125.04	123.36	123.14	123.7	123.25	142.32	129.05	135.33	148.77	144.86	149.87
ATNHPIUS21001A	Adair County, KY	21001																		63.25	69.32	71.6	81.84	85.09	87.4	90.95	94.51	100	103.4	108.6	112.63	118.9	124.88	132.85	136.81	138.67	133.17	132.17	132.16	133.15	127.79	125.85	130.16	140.4	133.98	148.65	156.53
ATNHPIUS40001A	Adair County, OK	40001																								87.26	100.04	100	102.79	109.58	107.47	115.67	125.83	134.62	137.11	142.0	137.48	127.99	133.2	120.45	135.19	139.89	139.41	148.57	154.15	200.13	
ATNHPIUS42001A	Adams County, PA	42001									45.35	48.12	50.34	53.56	58.74	67.48	75.16	77.71	80.84	81.49	83.68	85.22	87.4	88.33	90.69	93.28	95.48	100	103.34	107.63	111.42	123.94	147.25	164.86	171.22	170.59	156.98	149.18	141.13	135.6	134.96	132.68	137.33	142.0	146.86	152.41	156.09
ATNHPIUS08001A	Adams County, CO	8001	18.11	22.68	25.83	29.27	36.07	41.21	42.95	45.68	47.92	48.93	49.34	51.19	50.16	46.9	46.7	46.36	48.36	51.38	55.21	59.75	65.57	68.93	73.96	78.41	85.33	100	109.4	114.38	115.14	116.95	118.63	117.02	109.7	98.54	100.31	100.29	95.94	98.8	107.49	122.98	139.67	158.39	175.54	192.99	201.74
ATNHPIUS55001A	Adams County, WI	55001												48.49	46.02	48.28	51.91	53.95	59.97	60.31	64.53	68.79	73.56	76.28	84.08	84.47	93.18	100	105.72	109.6	112.89	121.23	132.55	143.1	145.29	145.39	142.54	135.79	129.74	123.39	119.71	122.01	120.43	127.74	132.44	134.19	147.18
ATNHPIUS39001A	Adams County, OH	39001																			73.29	79.61	83.74	89.11	94.36	96.2	99.4	100	108.72	107.47	110.12	114.89	123.79	125.64	127.89	127.65	117.76	118.45	115.53	115.62	114.25	116.99	119.53	120.79	121.52	126.0	140.51
ATNHPIUS31001A	Adams County, NE	31001	34.01	37.48	41.7	48.86	53.18	59.9	52.34	60.88	64.25	64.93	57.96	58.18	55.28	54.1	61.23	63.66	67.95	70.59	75.59	83.46	85.04	88.74	93.23	95.68	99.46	100	103.16	103.66	104.45	107.53	109.03	115.78	119.49	123.0	120.99	120.27	121.1	124.11	128.52	132.85	134.84	142.19	146.53	155.0	161.37
ATNHPIUS17001A	Adams County, IL	17001					63.22	60.28	60.15	0.0	0.0	67.48	59.46	59.62	56.49	56.82	63.5	66.81	67.98	72.22	75.42	80.94	88.62	94.49	95.85	96.98	98.2	100	103.53	105.12	106.4	110.49	117.02	123.64	127.12	126.71	128.74	131.11	131.46	133.43	134.61	138.79	142.58	144.09	147.64	149.21	152.3
ATNHPIUS18001A	Adams County, IN	18001																	67.62	72.01	70.03	71.52	75.98	81.93	87.46	90.05	95.0	100	102.06	103.32	104.05	106.81	108.04	112.32	109.43	108.49	107.89	102.18	102.91	101.21	102.37	105.29	105.78	111.9	113.47	122.03	130.32
ATNHPIUS16003A	Adams County, ID	16003																								96.51	104.52	100	104.02	110.56	109.78	123.35	155.03	174.79	188.17	204.31	180.1	136.75	119.33	132.94	123.8	146.72	151.68	156.06	169.38	167.46	178.05
ATNHPIUS53001A	Adams County, WA	53001		36.39	39.89	46.05	44.81	45.59	0.0	0.0	0.0	0.0	66.43	57.2	57.65	61.67	58.68	59.51	62.94	67.57	71.39	74.96	81.01	89.61	94.1	98.37	98.67	100	105.57	108.13	108.66	111.83	117.48	126.51	133.31	143.2	142.52	137.21	135.14	135.78	139.26	135.71	142.15	148.9	153.15	163.55	177.56
ATNHPIUS28001A	Adams County, MS	28001												69.07	72.0	69.54	70.0	66.18	69.4	73.36	73.89	78.26	82.59	85.55	88.21	92.48	96.29	100	104.49	106.65	107.98	108.36	115.13	133.36	142.0	149.29	149.59	143.72	141.49	141.87	148.55	150.4	140.68	152.22	151.39	147.71	149.55
ATNHPIUS50001A	Addison County, VT	50001											50.51	55.51	67.37	72.11	79.74	82.84	82.35	84.4	85.72	83.79	88.47	87.93	84.14	89.66	93.64	100	106.86	113.76	120.88	135.59	153.77	166.73	170.03	173.06	168.55	165.77	163.25	163.88	163.86	163.82	165.61	168.36	175.61	181.58	186.11
ATNHPIUS45003A	Aiken County, SC	45003	38.71	40.27	45.29	48.94	52.88	58.62	61.24	62.6	66.17	67.56	71.15	73.36	76.75	78.47	81.68	85.71	87.16	89.42	90.71	90.99	90.32	91.28	92.64	96.12	96.82	100	105.21	108.75	110.62	115.01	123.96	135.65	146.21	149.22	144.99	139.27	134.41	130.39	127.47	128.09	129.15	134.92	137.54	145.71	150.91
ATNHPIUS27001A	Aitkin County, MN	27001																								79.23	77.3	100	102.92	110.45	116.63	130.77	139.94	152.21	151.58	147.4	139.61	132.01	125.75	121.05	119.45	117.98	122.84	122.18	127.58	131.4	139.22
