	RegionName	RegionID	SizeRank	RegionType	StateName	2008-04-30	2008-05-31	2008-06-30	2008-07-31	2008-08-31	2008-09-30	2008-10-31	2008-11-30	2008-12-31	2009-01-31	2009-02-28	2009-03-31	2009-04-30	2009-05-31	2009-06-30	2009-07-31	2009-08-31	2009-09-30	2009-10-31	2009-11-30	2009-12-31	2010-01-31	2010-02-28	2010-03-31	2010-04-30	2010-05-31	2010-06-30	2010-07-31	2010-08-31	2010-09-30	2010-10-31	2010-11-30	2010-12-31	2011-01-31	2011-02-28	2011-03-31	2011-04-30	2011-05-31	2011-06-30	2011-07-31	2011-08-31	2011-09-30	2011-10-31	2011-11-30	2011-12-31	2012-01-31	2012-02-29	2012-03-31	2012-04-30	2012-05-31	2012-06-30	2012-07-31	2012-08-31	2012-09-30	2012-10-31	2012-11-30	2012-12-31	2013-01-31	2013-02-28	2013-03-31	2013-04-30	2013-05-31	2013-06-30	2013-07-31	2013-08-31	2013-09-30	2013-10-31	2013-11-30	2013-12-31	2014-01-31	2014-02-28	2014-03-31	2014-04-30	2014-05-31	2014-06-30	2014-07-31	2014-08-31	2014-09-30	2014-10-31	2014-11-30	2014-12-31	2015-01-31	2015-02-28	2015-03-31	2015-04-30	2015-05-31	2015-06-30	2015-07-31	2015-08-31	2015-09-30	2015-10-31	2015-11-30	2015-12-31	2016-01-31	2016-02-29	2016-03-31	2016-04-30	2016-05-31	2016-06-30	2016-07-31	2016-08-31	2016-09-30	2016-10-31	2016-11-30	2016-12-31	2017-01-31	2017-02-28	2017-03-31	2017-04-30	2017-05-31	2017-06-30	2017-07-31	2017-08-31	2017-09-30	2017-10-31	2017-11-30	2017-12-31	2018-01-31	2018-02-28	2018-03-31	2018-04-30	2018-05-31	2018-06-30	2018-07-31	2018-08-31	2018-09-30	2018-10-31	2018-11-30	2018-12-31	2019-01-31	2019-02-28	2019-03-31	2019-04-30	2019-05-31	2019-06-30	2019-07-31	2019-08-31	2019-09-30	2019-10-31	2019-11-30	2019-12-31	2020-01-31	2020-02-29	2020-03-31	2020-04-30	2020-05-31	2020-06-30	2020-07-31	2020-08-31	2020-09-30	2020-10-31
0	United States	102001	0	Country		195500.0	197000.0	199000.0	200667.0	201333.0	197333.0	193667.0	189000.0	187000.0	183000.0	179333.0	176000.0	174500.0	175500.0	178667.0	182167.0	183500.0	180833.0	177833.0	175333.0	176000.0	176000.0	174500.0	173333.0	171667.0	173333.0	175333.0	180667.0	184000.0	183667.0	180333.0	177333.0	177000.0	175000.0	172667.0	168749.0	168182.0	169182.0	172833.0	175567.0	176567.0	173833.0	170400.0	167733.0	167233.0	165467.0	163133.0	162133.0	165833.0	171667.0	178167.0	182500.0	184567.0	182633.0	179966.0	178875.0	180475.0	179809.0	178000.0	177538.0	181204.0	187871.0	194833.0	201167.0	203333.0	200833.0	197500.0	194633.0	195800.0	194133.0	192833.0	191167.0	193533.0	198200.0	203367.0	207667.0	210000.0	207333.0	204000.0	201867.0	203533.0	203500.0	202300.0	202117.0	205483.0	211150.0	216367.0	219700.0	220033.0	217667.0	214333.0	213333.0	214967.0	214967.0	212633.0	210967.0	214133.0	219800.0	224833.0	228000.0	228886.0	227219.0	225886.0	225333.0	226583.0	225583.0	224250.0	223667.0	227000.0	231333.0	237333.0	240000.0	241667.0	239333.0	237667.0	236967.0	237686.0	237686.0	237769.0	238884.0	242217.0	246133.0	249967.0	251633.0	251633.0	248300.0	246300.0	245000.0	246000.0	245833.0	244833.0	245500.0	248833.0	254500.0	259500.0	262667.0	262667.0	260167.0	258167.0	257833.0	259000.0	258333.0	258667.0	260667.0	264833.0	266500.0	268586.0	274419.0	281752.0	287333.0	290000.0
1	New York, NY	394913	1	Msa	NY																																																347667.0	350667.0	355667.0	365667.0	373633.0	378633.0	376967.0	371667.0	366667.0	360833.0	356500.0	352500.0	350000.0	346453.0	352037.0	362037.0	376583.0	386667.0	387000.0	382000.0	370333.0	363333.0	363333.0	364200.0	362533.0	357533.0	359333.0	367667.0	379333.0	389667.0	389633.0	382967.0	373300.0	369667.0	371333.0	372167.0	370833.0	368833.0	371317.0	381317.0	389983.0	396667.0	395000.0	388333.0	380000.0	375667.0	375667.0	376500.0	374541.0	374541.0	375374.0	384815.0	394815.0	404815.0	403333.0	397671.0	389338.0	384338.0	383000.0	384000.0	384000.0	387489.0	391489.0	404156.0	416000.0	424333.0	423333.0	411667.0	403333.0	398300.0	398300.0	396633.0	395000.0	396667.0	401667.0	411333.0	421333.0	428000.0	426667.0	418333.0	411667.0	405333.0	406667.0	406615.0	406282.0	406615.0	409667.0	421333.0	430667.0	435000.0	431667.0	425667.0	421567.0	419233.0	420233.0	421333.0	422000.0	426000.0	430000.0	439167.0	443833.0	452167.0	456333.0	461667.0
2	Los Angeles-Long Beach-Anaheim, CA	753899	2	Msa	CA	503333.0	496567.0	491317.0	482983.0	469750.0	455000.0	443333.0	433333.0	427333.0	412333.0	408333.0	401000.0	401000.0	403333.0	411167.0	419500.0	418500.0	417333.0	413333.0	411000.0	404333.0	400000.0	393333.0	393333.0	393333.0	401667.0	401667.0	405000.0	401667.0	403333.0	398333.0	396667.0	391667.0	386667.0	381333.0	382167.0	387167.0	392500.0	395000.0	396667.0	391667.0	387000.0	377000.0	372000.0	363333.0	358000.0	354750.0	359750.0	371750.0	381667.0	388333.0	392500.0	395833.0	397167.0	398000.0	399667.0	406167.0	406000.0	407667.0	414167.0	436333.0	459000.0	474667.0	478333.0	479833.0	476500.0	475583.0	475417.0	480417.0	479000.0	481667.0	484667.0	494667.0	504667.0	511667.0	518333.0	520833.0	519167.0	516500.0	512333.0	509833.0	506667.0	510000.0	515833.0	526333.0	531333.0	538000.0	539250.0	540917.0	535917.0	533333.0	533333.0	538333.0	541667.0	541667.0	543333.0	551667.0	564667.0	574333.0	576000.0	574667.0	571500.0	572500.0	572500.0	573250.0	571917.0	570250.0	578000.0	589000.0	603000.0	610333.0	616333.0	618667.0	619667.0	616333.0	616667.0	616500.0	613167.0	616500.0	622583.0	635750.0	644083.0	651500.0	655000.0	654833.0	649833.0	646500.0	644667.0	639667.0	633000.0	628333.0	633333.0	644083.0	649083.0	653750.0	661333.0	663667.0	664000.0	657333.0	657500.0	659315.0	662649.0	665149.0	672667.0	676000.0	674333.0	675000.0	688833.0	712833.0	729167.0	737000.0
3	Chicago, IL	394463	3	Msa	IL	248917.0	248917.0	251667.0	255000.0	257000.0	254000.0	245667.0	235333.0	228333.0	221667.0	215000.0	211500.0	211500.0	215333.0	218833.0	220833.0	222000.0	217000.0	210667.0	204000.0	200667.0	198667.0	194333.0	194333.0	195667.0	202500.0	209167.0	212500.0	216333.0	209667.0	206333.0	196667.0	193792.0	187458.0	184092.0	177883.0	179217.0	180917.0	188333.0	193333.0	196667.0	190000.0	180000.0	170000.0	165417.0	159417.0	154417.0	155667.0	163467.0	174133.0	185467.0	192583.0	194583.0	187417.0	176167.0	169667.0	165500.0	162833.0	156667.0	156333.0	164667.0	179000.0	196000.0	207667.0	213333.0	207667.0	198500.0	189500.0	184167.0	180000.0	175333.0	175667.0	182000.0	195000.0	209000.0	217667.0	223000.0	217000.0	208000.0	196667.0	191000.0	187817.0	184450.0	187783.0	197300.0	210667.0	220333.0	224667.0	224333.0	218000.0	210500.0	203833.0	200467.0	196300.0	191965.0	193998.0	204998.0	219000.0	227917.0	230250.0	229217.0	221633.0	214967.0	209333.0	208667.0	207667.0	206500.0	211500.0	220833.0	231333.0	238667.0	240333.0	238333.0	231000.0	224000.0	219333.0	218333.0	217333.0	218267.0	221600.0	229600.0	236667.0	243333.0	245000.0	243333.0	236667.0	229500.0	226167.0	222833.0	221000.0	220500.0	225167.0	233167.0	241000.0	246333.0	249000.0	247667.0	242667.0	237000.0	233667.0	232000.0	229333.0	227567.0	234200.0	245867.0	253633.0	255333.0	256317.0	262317.0	265650.0	268000.0
4	Dallas-Fort Worth, TX	394514	4	Msa	TX	150167.0	153712.0	155878.0	158545.0	159333.0	155948.0	152582.0	148082.0	146133.0	141800.0	140967.0	141300.0	144000.0	148000.0	153000.0	157392.0	158358.0	155025.0	151470.0	147571.0	145904.0	142237.0	142170.0	143803.0	149267.0	151933.0	154967.0	157300.0	160200.0	158200.0	154400.0	150500.0	151167.0	150440.0	149440.0	146440.0	147000.0	149667.0	153134.0	156800.0	157800.0	156022.0	152988.0	149322.0	150633.0	149000.0	150000.0	151000.0	156000.0	161500.0	165833.0	168833.0	168946.0	167021.0	164188.0	162005.0	162597.0	162097.0	162167.0	163167.0	169855.0	177188.0	183188.0	186833.0	187667.0	185000.0	180983.0	177983.0	177983.0	175000.0	175667.0	177442.0	183608.0	189108.0	195144.0	199311.0	201111.0	196633.0	193300.0	191000.0	194333.0	194300.0	195467.0	197133.0	204958.0	212758.0	219425.0	221633.0	220667.0	215648.0	212315.0	209648.0	211333.0	209667.0	211667.0	215000.0	222667.0	230967.0	238045.0	240878.0	240578.0	236667.0	236167.0	235500.0	237333.0	236333.0	238667.0	242000.0	249333.0	256333.0	261167.0	261867.0	259697.0	254863.0	252830.0	250667.0	254000.0	252667.0	253667.0	255333.0	261667.0	268333.0	273333.0	276000.0	273333.0	266667.0	261333.0	258333.0	259997.0	257630.0	257963.0	258633.0	265167.0	272167.0	277500.0	280170.0	278503.0	274170.0	271667.0	270000.0	271667.0	270000.0	271333.0	272982.0	279648.0	281648.0	285000.0	290000.0	296550.0	299550.0	300217.0
5	Philadelphia, PA	394974	5	Msa	PA	220781.0	224781.0	229533.0	237667.0	242667.0	240000.0	232333.0	225667.0	220667.0	218000.0	213000.0	209667.0	208000.0	210333.0	216967.0	223617.0	227950.0	225300.0	218983.0	212317.0	210000.0	209667.0	211000.0	210000.0	212000.0	212333.0	218333.0	225333.0	231436.0	232747.0	227413.0	221978.0	218333.0	215000.0	212333.0	208000.0	207750.0	208083.0	216083.0	223000.0	228000.0	222667.0	215625.0	209625.0	207875.0	204917.0	201583.0	196333.0	198000.0	204000.0	215667.0	225147.0	230147.0	226147.0	219552.0	216219.0	216188.0	214636.0	208303.0	204650.0	205879.0	212212.0	223562.0	233799.0	240466.0	236133.0	228333.0	221667.0	219900.0	217233.0	211128.0	207895.0	208895.0	215000.0	224667.0	233000.0	239333.0	234666.0	228583.0	223583.0	221917.0	218356.0	210356.0	207689.0	209750.0	218083.0	227398.0	234768.0	236435.0	233120.0	228000.0	224667.0	219667.0	214000.0	211000.0	209667.0	214000.0	221967.0	233633.0	241967.0	243650.0	238317.0	233317.0	229000.0	229333.0	226000.0	221400.0	217733.0	221733.0	230667.0	242333.0	248333.0	250000.0	243000.0	236333.0	231333.0	231467.0	228133.0	224800.0	223333.0	228333.0	236000.0	242667.0	247667.0	251667.0	249333.0	243500.0	237500.0	235860.0	234993.0	231108.0	231748.0	236448.0	245000.0	253567.0	261400.0	265475.0	260242.0	252742.0	248333.0	248333.0	246633.0	243300.0	243300.0	253333.0	261333.0	267233.0	270467.0	277287.0	280720.0	278820.0
6	Houston, TX	394692	6	Msa	TX	152333.0	154167.0	156978.0	160645.0	161973.0	161110.0	156276.0	149782.0	144167.0	140667.0	139250.0	141083.0	145083.0	151233.0	157067.0	162733.0	165000.0	162500.0	157500.0	153167.0	151333.0	150000.0	149527.0	149860.0	152827.0	154314.0	156647.0	157680.0	159967.0	158633.0	155967.0	153486.0	154820.0	152486.0	151333.0	150076.0	151709.0	154041.0	155965.0	159315.0	161317.0	159650.0	158000.0	155667.0	157167.0	153729.0	150396.0	149871.0	156783.0	164183.0	168875.0	170233.0	169467.0	165967.0	163967.0	164776.0	167276.0	165276.0	162500.0	163167.0	172083.0	180750.0	186417.0	188300.0	188300.0	186300.0	182417.0	180750.0	181250.0	180738.0	180405.0	178272.0	182517.0	186183.0	193150.0	196667.0	203333.0	203000.0	201333.0	197333.0	201000.0	201833.0	202467.0	200800.0	203633.0	209333.0	215333.0	220000.0	220500.0	216167.0	211500.0	206500.0	208500.0	207333.0	207833.0	206832.0	211165.0	216832.0	221863.0	226697.0	227697.0	225000.0	220000.0	218500.0	220167.0	218767.0	217267.0	218100.0	223667.0	228700.0	231865.0	232698.0	231665.0	229333.0	228330.0	227330.0	226313.0	223533.0	223198.0	224215.0	231332.0	237354.0	241354.0	242354.0	241000.0	237275.0	233078.0	231244.0	234300.0	232994.0	232161.0	232163.0	237967.0	243633.0	247963.0	249663.0	249997.0	246407.0	243225.0	242225.0	244819.0	243823.0	244153.0	243483.0	248660.0	249330.0	253333.0	258983.0	264650.0	265395.0	264078.0
7	Washington, DC	395209	7	Msa	DC	365425.0	368925.0	375592.0	382333.0	380667.0	367333.0	348728.0	333728.0	329378.0	328800.0	323800.0	319817.0	315000.0	318333.0	323333.0	335000.0	339333.0	336000.0	324333.0	314333.0	311000.0	304031.0	301011.0	299344.0	307313.0	316000.0	324333.0	334967.0	336633.0	338217.0	333083.0	334750.0	334967.0	327133.0	323800.0	320333.0	327417.0	335750.0	344083.0	353300.0	353300.0	349967.0	336000.0	328833.0	325500.0	322833.0	316210.0	316210.0	327869.0	344992.0	358292.0	367350.0	366350.0	358050.0	348717.0	346383.0	348795.0	347412.0	342851.0	344106.0	351773.0	368000.0	381000.0	390583.0	388917.0	379733.0	370817.0	365817.0	368300.0	366633.0	363300.0	359153.0	362828.0	377495.0	388342.0	398000.0	394667.0	384773.0	375107.0	368773.0	375728.0	372395.0	370395.0	368333.0	377000.0	388667.0	393076.0	394076.0	387743.0	382738.0	376071.0	374405.0	373345.0	369012.0	365912.0	362898.0	373799.0	383648.0	394650.0	394750.0	392167.0	384825.0	380865.0	376285.0	380642.0	378935.0	377682.0	372667.0	381663.0	394663.0	406330.0	409667.0	406633.0	398300.0	389280.0	385281.0	390281.0	389301.0	388333.0	388333.0	398851.0	410331.0	416998.0	419147.0	415998.0	408998.0	401332.0	397833.0	401500.0	399167.0	398017.0	398650.0	408483.0	419800.0	424833.0	427333.0	424000.0	415000.0	407099.0	407099.0	413765.0	410000.0	408333.0	413333.0	430000.0	436633.0	436967.0	444317.0	451017.0	453998.0	449982.0
8	Miami-Fort Lauderdale, FL	394856	8	Msa	FL	266617.0	265550.0	264550.0	264250.0	264333.0	257000.0	248933.0	236787.0	231787.0	220520.0	211000.0	199665.0	191332.0	186332.0	187125.0	193792.0	195458.0	192500.0	185833.0	181833.0	179933.0	175600.0	170267.0	164667.0	160967.0	163633.0	166017.0	170717.0	170050.0	167667.0	166000.0	163333.0	161633.0	156633.0	153267.0	146533.0	146533.0	149900.0	156667.0	159667.0	158167.0	154800.0	151467.0	149633.0	150500.0	149167.0	148500.0	146000.0	148333.0	152333.0	160667.0	166667.0	170000.0	170000.0	168667.0	169333.0	171000.0	172333.0	171000.0	171000.0	176000.0	185533.0	196075.0	204408.0	210542.0	210517.0	207183.0	205517.0	206667.0	206667.0	201667.0	201667.0	204000.0	215333.0	223667.0	234167.0	234500.0	231167.0	228333.0	228667.0	232000.0	232000.0	231333.0	231333.0	231333.0	236667.0	242000.0	248667.0	248667.0	245167.0	240167.0	237500.0	240667.0	241667.0	241667.0	237750.0	239417.0	243750.0	250967.0	255633.0	256367.0	256008.0	255342.0	256275.0	256667.0	255000.0	253333.0	252500.0	256667.0	261333.0	269167.0	272500.0	276167.0	272500.0	268333.0	266667.0	267363.0	269480.0	267813.0	270117.0	273000.0	278667.0	282333.0	285050.0	284383.0	281050.0	280000.0	281667.0	283300.0	279967.0	276617.0	276650.0	279983.0	283333.0	288300.0	293300.0	295789.0	292156.0	292156.0	294333.0	296333.0	295333.0	294000.0	297333.0	303783.0	309450.0	314450.0	319000.0	326000.0	329000.0	333667.0
9	Atlanta, GA	394347	9	Msa	GA	185100.0	187667.0	190633.0	193133.0	192100.0	185500.0	179333.0	173033.0	169800.0	166067.0	161262.0	158762.0	155996.0	158050.0	161517.0	167367.0	169150.0	165433.0	161067.0	157733.0	157350.0	151033.0	143700.0	138333.0	141833.0	149467.0	153300.0	152800.0	148167.0	144333.0	138967.0	136600.0	137500.0	139867.0	136233.0	130333.0	126333.0	128417.0	133417.0	138627.0	145543.0	146877.0	145667.0	142000.0	139333.0	135333.0	133667.0	137233.0	147200.0	158200.0	166075.0	169775.0	168775.0	165667.0	160167.0	158500.0	160485.0	159651.0	163151.0	167500.0	178167.0	186667.0	193333.0	198667.0	196667.0	190667.0	184000.0	180650.0	183503.0	183470.0	183453.0	183898.0	188932.0	197632.0	203333.0	206333.0	204000.0	198333.0	192783.0	189783.0	191117.0	190708.0	191708.0	192644.0	198936.0	207269.0	212667.0	216000.0	211333.0	206333.0	199967.0	199300.0	202700.0	202733.0	202033.0	201297.0	207944.0	214611.0	218576.0	219360.0	215580.0	210618.0	206187.0	206667.0	210693.0	210693.0	210660.0	211633.0	216933.0	222079.0	225643.0	227676.0	226563.0	223167.0	220967.0	221300.0	226100.0	226600.0	228230.0	229031.0	235064.0	241601.0	245833.0	247233.0	244367.0	243030.0	241953.0	242320.0	241957.0	241300.0	241133.0	242333.0	246000.0	252800.0	257933.0	261267.0	258967.0	255853.0	252520.0	253187.0	254333.0	252783.0	254117.0	257117.0	267000.0	268891.0	269891.0	271558.0	277667.0	282000.0	283667.0
