Region Code	Region Name	Measure Name	Date	Estimated Value
45001	Abbeville County, SC	Homeownership Rate	2009-01-01	82.30518811554786
22001	Acadia Parish, LA	Homeownership Rate	2009-01-01	71.51450454114139
51001	Accomack County, VA	Homeownership Rate	2009-01-01	73.51599370739382
16001	Ada County, ID	Homeownership Rate	2009-01-01	73.16795124175593
29001	Adair County, MO	Homeownership Rate	2009-01-01	61.360242544911536
21001	Adair County, KY	Homeownership Rate	2009-01-01	79.13880089170479
40001	Adair County, OK	Homeownership Rate	2009-01-01	74.12238101845428
19001	Adair County, IA	Homeownership Rate	2009-01-01	77.63802462597643
18001	Adams County, IN	Homeownership Rate	2009-01-01	82.34942638623328
53001	Adams County, WA	Homeownership Rate	2009-01-01	65.00269348177412
55001	Adams County, WI	Homeownership Rate	2009-01-01	83.103138064243
16003	Adams County, ID	Homeownership Rate	2009-01-01	76.66666666666667
39001	Adams County, OH	Homeownership Rate	2009-01-01	73.95949494586137
19003	Adams County, IA	Homeownership Rate	2009-01-01	80.83169291338582
31001	Adams County, NE	Homeownership Rate	2009-01-01	74.41933262380267
08001	Adams County, CO	Homeownership Rate	2009-01-01	70.56188308582662
28001	Adams County, MS	Homeownership Rate	2009-01-01	66.08754952263428
17001	Adams County, IL	Homeownership Rate	2009-01-01	76.2117017782574
42001	Adams County, PA	Homeownership Rate	2009-01-01	79.59809580850691
38001	Adams County, ND	Homeownership Rate	2009-01-01	73.85298470646275
50001	Addison County, VT	Homeownership Rate	2009-01-01	78.66589327146171
45003	Aiken County, SC	Homeownership Rate	2009-01-01	76.26970984710944
27001	Aitkin County, MN	Homeownership Rate	2009-01-01	83.38555989000447
12001	Alachua County, FL	Homeownership Rate	2009-01-01	56.84160612675805
37001	Alamance County, NC	Homeownership Rate	2009-01-01	69.82532626659828
06001	Alameda County, CA	Homeownership Rate	2009-01-01	59.924492248249614
08003	Alamosa County, CO	Homeownership Rate	2009-01-01	63.38159403669725
56001	Albany County, WY	Homeownership Rate	2009-01-01	55.204467181596286
36001	Albany County, NY	Homeownership Rate	2009-01-01	66.43540789201748
51003	Albemarle County, VA	Homeownership Rate	2009-01-01	70.11023111481636
26001	Alcona County, MI	Homeownership Rate	2009-01-01	89.78082915236335
28003	Alcorn County, MS	Homeownership Rate	2009-01-01	76.4408751667187
02013	Aleutians East Borough, AK	Homeownership Rate	2009-01-01	41.843971631205676
02016	Aleutians West CA, AK	Homeownership Rate	2009-01-01	35.709482178883654
17003	Alexander County, IL	Homeownership Rate	2009-01-01	73.02925769771305
37003	Alexander County, NC	Homeownership Rate	2009-01-01	80.9446343884416
51510	Alexandria City, VA	Homeownership Rate	2009-01-01	46.19875159597106
40003	Alfalfa County, OK	Homeownership Rate	2009-01-01	80.10249554367202
26003	Alger County, MI	Homeownership Rate	2009-01-01	85.10271866158199
19005	Allamakee County, IA	Homeownership Rate	2009-01-01	79.13049821285287
26005	Allegan County, MI	Homeownership Rate	2009-01-01	85.32025109268486
24001	Allegany County, MD	Homeownership Rate	2009-01-01	73.63228973892296
36003	Allegany County, NY	Homeownership Rate	2009-01-01	77.63737486095663
51005	Alleghany County, VA	Homeownership Rate	2009-01-01	85.20482231900523
37005	Alleghany County, NC	Homeownership Rate	2009-01-01	76.2208942921904
42003	Allegheny County, PA	Homeownership Rate	2009-01-01	72.55540474069517
39003	Allen County, OH	Homeownership Rate	2009-01-01	72.02527621015817
20001	Allen County, KS	Homeownership Rate	2009-01-01	79.89734160729334
21003	Allen County, KY	Homeownership Rate	2009-01-01	77.28433983801708
22003	Allen Parish, LA	Homeownership Rate	2009-01-01	72.85439207775536
18003	Allen County, IN	Homeownership Rate	2009-01-01	74.85470045490159
45005	Allendale County, SC	Homeownership Rate	2009-01-01	57.20850086157381
26007	Alpena County, MI	Homeownership Rate	2009-01-01	84.29982964224872
06003	Alpine County, CA	Homeownership Rate	2009-01-01	78.14397224631396
06005	Amador County, CA	Homeownership Rate	2009-01-01	77.64173146244823
51007	Amelia County, VA	Homeownership Rate	2009-01-01	80.0726392251816
51009	Amherst County, VA	Homeownership Rate	2009-01-01	79.79567512344627
28005	Amite County, MS	Homeownership Rate	2009-01-01	80.97494922139472
02020	Anchorage Muny, AK	Homeownership Rate	2009-01-01	64.04795640326975
47001	Anderson County, TN	Homeownership Rate	2009-01-01	74.90976221309894
48001	Anderson County, TX	Homeownership Rate	2009-01-01	72.73583002756673
45007	Anderson County, SC	Homeownership Rate	2009-01-01	76.22195945561833
21005	Anderson County, KY	Homeownership Rate	2009-01-01	77.25726876466925
20003	Anderson County, KS	Homeownership Rate	2009-01-01	80.58127572016461
29003	Andrew County, MO	Homeownership Rate	2009-01-01	80.52407507345445
48003	Andrews County, TX	Homeownership Rate	2009-01-01	78.68371568258745
23001	Androscoggin County, ME	Homeownership Rate	2009-01-01	69.46343382678405
48005	Angelina County, TX	Homeownership Rate	2009-01-01	69.18777755349213
24003	Anne Arundel County, MD	Homeownership Rate	2009-01-01	77.94651052765657
27003	Anoka County, MN	Homeownership Rate	2009-01-01	86.23579457243991
37007	Anson County, NC	Homeownership Rate	2009-01-01	71.75745209368345
31003	Antelope County, NE	Homeownership Rate	2009-01-01	72.42131505141789
26009	Antrim County, MI	Homeownership Rate	2009-01-01	84.03343426158898
04001	Apache County, AZ	Homeownership Rate	2009-01-01	75.56937684033412
19007	Appanoose County, IA	Homeownership Rate	2009-01-01	76.5625
13001	Appling County, GA	Homeownership Rate	2009-01-01	74.0659464325906
51011	Appomattox County, VA	Homeownership Rate	2009-01-01	80.26463963963964
48007	Aransas County, TX	Homeownership Rate	2009-01-01	74.24155224862288
08005	Arapahoe County, CO	Homeownership Rate	2009-01-01	69.85404375900033
48009	Archer County, TX	Homeownership Rate	2009-01-01	81.97400851445215
08007	Archuleta County, CO	Homeownership Rate	2009-01-01	80.265312807075
26011	Arenac County, MI	Homeownership Rate	2009-01-01	83.42610176150875
05001	Arkansas County, AR	Homeownership Rate	2009-01-01	66.0147621356608
51013	Arlington County, VA	Homeownership Rate	2009-01-01	51.305056290736715
48011	Armstrong County, TX	Homeownership Rate	2009-01-01	77.19585379159847
42005	Armstrong County, PA	Homeownership Rate	2009-01-01	79.76679573197765
23003	Aroostook County, ME	Homeownership Rate	2009-01-01	76.62235337936568
31005	Arthur County, NE	Homeownership Rate	2009-01-01	53.57142857142857
22005	Ascension Parish, LA	Homeownership Rate	2009-01-01	83.00769505172502
37009	Ashe County, NC	Homeownership Rate	2009-01-01	79.46414246751164
39005	Ashland County, OH	Homeownership Rate	2009-01-01	82.03331596116354
55003	Ashland County, WI	Homeownership Rate	2009-01-01	75.42589983348277
05003	Ashley County, AR	Homeownership Rate	2009-01-01	71.06561534559874
39007	Ashtabula County, OH	Homeownership Rate	2009-01-01	73.99667343544321
53003	Asotin County, WA	Homeownership Rate	2009-01-01	71.55785084810007
22007	Assumption Parish, LA	Homeownership Rate	2009-01-01	79.95346182552575
48013	Atascosa County, TX	Homeownership Rate	2009-01-01	76.69720078117734
29005	Atchison County, MO	Homeownership Rate	2009-01-01	73.33668510139098
20005	Atchison County, KS	Homeownership Rate	2009-01-01	73.66005990695304
39009	Athens County, OH	Homeownership Rate	2009-01-01	59.163051032099325
13003	Atkinson County, GA	Homeownership Rate	2009-01-01	64.16789758739537
34001	Atlantic County, NJ	Homeownership Rate	2009-01-01	72.54178669851902
40005	Atoka County, OK	Homeownership Rate	2009-01-01	76.97597217831172
28007	Attala County, MS	Homeownership Rate	2009-01-01	74.17149958574979
29007	Audrain County, MO	Homeownership Rate	2009-01-01	77.60467380720544
19009	Audubon County, IA	Homeownership Rate	2009-01-01	82.7170821482349
39011	Auglaize County, OH	Homeownership Rate	2009-01-01	80.8805882224598
51015	Augusta County, VA	Homeownership Rate	2009-01-01	80.80166579906299
46003	Aurora County, SD	Homeownership Rate	2009-01-01	79.03692976104271
48015	Austin County, TX	Homeownership Rate	2009-01-01	80.18062273276905
01001	Autauga County, AL	Homeownership Rate	2009-01-01	78.65037108744757
37011	Avery County, NC	Homeownership Rate	2009-01-01	70.41964563257693
22009	Avoyelles Parish, LA	Homeownership Rate	2009-01-01	67.05011070674166
08009	Baca County, CO	Homeownership Rate	2009-01-01	75.86206896551724
13005	Bacon County, GA	Homeownership Rate	2009-01-01	73.1576330183988
48017	Bailey County, TX	Homeownership Rate	2009-01-01	77.81102362204724
12003	Baker County, FL	Homeownership Rate	2009-01-01	77.9042874933286
13007	Baker County, GA	Homeownership Rate	2009-01-01	64.38320209973753
41001	Baker County, OR	Homeownership Rate	2009-01-01	68.59654631083203
01003	Baldwin County, AL	Homeownership Rate	2009-01-01	77.77542808470643
13009	Baldwin County, GA	Homeownership Rate	2009-01-01	63.56098063452822
21007	Ballard County, KY	Homeownership Rate	2009-01-01	86.87202053538687
24005	Baltimore County, MD	Homeownership Rate	2009-01-01	71.39504913559442
24510	Baltimore City, MD	Homeownership Rate	2009-01-01	54.49929683332525
45009	Bamberg County, SC	Homeownership Rate	2009-01-01	70.19702574167736
48019	Bandera County, TX	Homeownership Rate	2009-01-01	81.62611394813257
13011	Banks County, GA	Homeownership Rate	2009-01-01	78.05101293629485
31007	Banner County, NE	Homeownership Rate	2009-01-01	60.922330097087375
16005	Bannock County, ID	Homeownership Rate	2009-01-01	72.82292024477437
26013	Baraga County, MI	Homeownership Rate	2009-01-01	79.33905802758262
20007	Barber County, KS	Homeownership Rate	2009-01-01	73.75218914185639
54001	Barbour County, WV	Homeownership Rate	2009-01-01	76.42570545287114
01005	Barbour County, AL	Homeownership Rate	2009-01-01	63.83938557900232
38003	Barnes County, ND	Homeownership Rate	2009-01-01	74.03482210446631
25001	Barnstable County, MA	Homeownership Rate	2009-01-01	83.28767500447405
45011	Barnwell County, SC	Homeownership Rate	2009-01-01	73.30876546459595
21009	Barren County, KY	Homeownership Rate	2009-01-01	70.85026261024674
55005	Barron County, WI	Homeownership Rate	2009-01-01	77.31417333392929
13013	Barrow County, GA	Homeownership Rate	2009-01-01	74.80685457553543
29009	Barry County, MO	Homeownership Rate	2009-01-01	75.78657060843136
26015	Barry County, MI	Homeownership Rate	2009-01-01	86.60534489231715
18005	Bartholomew County, IN	Homeownership Rate	2009-01-01	77.67012750207513
29011	Barton County, MO	Homeownership Rate	2009-01-01	73.2777115613826
