RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01
Alamance County	NC	Burlington	37	001	386	136200.0	123900.0	128300.0	135800.0	139800.0	139600.0	129700.0	127800.0	124400.0	128400.0	127900.0	119500.0	113800.0	113700.0	118000.0	122200.0	124200.0	132000.0	135100.0	139000.0	137800.0	136100.0	132200.0	129300.0	129500.0	127000.0	129500.0	128400.0	127300.0	129600.0	131300.0	133900.0	122400.0	116300.0	117700.0	121800.0	120000.0	122600.0	130700.0	134700.0	125600.0	119700.0	118000.0	129700.0	132000.0	135700.0	113800.0	108300.0	112500.0	125400.0	132700.0	132100.0	132000.0	129200.0	128300.0	132100.0	131500.0	125200.0	115200.0	115000.0	120500.0	130400.0	126800.0	128100.0	126900.0	128800.0	126500.0	131100.0	137100.0	136400.0	130100.0	118400.0	118500.0	122300.0	129200.0	129000.0	128600.0	130800.0	131600.0	133300.0	133200.0	137600.0	132300.0	137500.0	135400.0	140600.0	135400.0	135200.0	132700.0	134600.0	138100.0	148400.0	148200.0	143600.0	141400.0	134600.0	137500.0	131000.0	141600.0	142200.0	148600.0	149500.0	147300.0	142700.0	139900.0	145900.0	153300.0	153000.0	151300.0	147300.0	153100.0	155200.0	158400.0	159400.0	157900.0	155400.0	151500.0	152400.0	153900	156200	158400	162400	165400	165100	163700	159000	165000	165400	173100	170900	166900	166900	158700.0	166800.0	165900.0	171000.0	168200.0	171200.0	173800.0	171500.0	161800.0	162300.0	154400.0
Anson County	NC		37	007	1101																																																																																																																95500.0	90400.0	81800.0	63500.0	63600.0	65600.0	71400.0	77500	76100	73600	69700	74300	73300	73800	74500	89200	97100	94300	94800	93800	96600	80200.0	87800.0	83500.0	87600.0	67900.0	77900.0	75600.0	77900.0	73800.0	96000.0	78800.0
Ashe County	NC		37	009	1096																																																																																																									154000.0	169300.0	171000.0	169700.0	160700.0	157900.0	180100.0	193300.0	187100.0	180200.0	197500.0	210100.0	200300.0	167200.0	167600	180600	184200	179500	167000	176600	186700	190600	186000	192600	190800	214500	190200	197100	180700.0	203500.0	201400.0	199300.0	196000.0	205900.0	201300.0	189900.0	183800.0	202200.0	
Brunswick County	NC	Myrtle Beach-Conway-North Myrtle Beach	37	019	500																									192200.0	191400.0	180700.0	188900.0	188100.0	199400.0	193900.0	198400.0	188900.0	190300.0	174800.0	186100.0	173600.0	182100.0	166200.0	180000.0	181600.0	186100.0	182800.0	180500.0	175900.0	182900.0	178400.0	173900.0	166600.0	174500.0	180900.0	178700.0	174000.0	177700.0	178700.0	181400.0	171700.0	175800.0	166800.0	171500.0	166300.0	175100.0	176100.0	175200.0	173000.0	174200.0	176000.0	180500.0	186800.0	192700.0	181900.0	173100.0	171500.0	179300.0	187500.0	185700.0	189700.0	184100.0	185500.0	186100.0	192300.0	196900.0	203200.0	205000.0	202400.0	198700.0	192700.0	194300.0	192300.0	192900.0	199200.0	196900.0	197800.0	190700.0	196200.0	195200.0	191700.0	188800.0	188200.0	190400.0	193300.0	202000.0	209000.0	210000.0	204100.0	199200.0	196400.0	205100.0	208200.0	211400.0	215200.0	219200.0	221200.0	217600.0	218600.0	219400.0	222000.0	220600.0	223900	224200	229700	231000	232500	233600	234500	240000	235300	236100	230000	229600	222700	223400	228100.0	236500.0	235100.0	235400.0	237300.0	239900.0	242400.0	244000.0	244600.0	252000.0	250200.0
Buncombe County	NC	Asheville	37	021	251																																																									188800.0	197500.0	201500.0	209400.0	202400.0	200900.0	193600.0	194100.0	199600.0	203300.0	209500.0	200900.0	200700.0	197800.0	198900.0	195700.0	199000.0	200600.0	205400.0	206600.0	207800.0	208900.0	208700.0	213500.0	207000.0	210700.0	212500.0	222000.0	216600.0	213400.0	217600.0	225300.0	229000.0	223700.0	221100.0	223100.0	225100.0	228400.0	228300.0	234800.0	237700.0	241800.0	239800.0	241300.0	242800.0	247000.0	249100.0	250600.0	243500.0	242100.0	240900.0	250000.0	255300.0	260000.0	263400.0	259800.0	258100.0	259700.0	264600.0	269300.0	269700.0	276300.0	280400	275000	272200	271800	277400	279000	277600	277000	273800	271300	276600	274900	272200	275400	281300.0	291100.0	288400.0	288900.0	290700.0	289100.0	292400.0	291900.0	291400.0	300800.0	309600.0
Burke County	NC	Hickory-Lenoir-Morganton	37	023	564																																																																																				98100.0	107900.0	101000.0	99700.0	91500.0	100300.0	106000.0	106000.0	103700.0	102900.0	103600.0	122300.0	124800.0	124600.0	116700.0	115800.0	111700.0	103200.0	108900.0	112400.0	113700.0	123200.0	127200.0	130600.0	121100.0	119800.0	120600.0	121500.0	122800.0	113400.0	115500.0	114100.0	123400.0	127700.0	125600.0	124200	125700	131700	136100	134400	132900	129900	127900	133300	135300	138900	137900	134600	127700	133100.0	135700.0	144100.0	145800.0	152700.0	150700.0	144700.0	138900.0	151600.0	150700.0	166100.0
Cabarrus County	NC	Charlotte-Concord-Gastonia	37	025	324	143300.0	150500.0	143800.0	139900.0	132200.0	135500.0	136100.0	141600.0	135900.0	137300.0	135500.0	141200.0	146000.0	142500.0	140900.0	132800.0	134100.0	134200.0	138500.0	137500.0	136000.0	141000.0	141500.0	139200.0	139400.0	138800.0	140800.0	132900.0	126100.0	125100.0	124400.0	128100.0	126000.0	127700.0	133400.0	134200.0	133100.0	130700.0	128200.0	126700.0	123100.0	128000.0	131000.0	135100.0	131600.0	129200.0	129300.0	139000.0	149700.0	151400.0	142400.0	134200.0	129700.0	134500.0	134500.0	133300.0	133300.0	136000.0	142000.0	141400.0	141700.0	140000.0	139700.0	136900.0	136900.0	135900.0	136000.0	135400.0	139400.0	144000.0	147200.0	145200.0	141500.0	139300.0	139200.0	141900.0	146100.0	147600.0	145800.0	147100.0	147100.0	149800.0	149900.0	153700.0	155500.0	158100.0	158600.0	161700.0	160200.0	159600.0	161800.0	162500.0	160800.0	157200.0	164300.0	164300.0	166300.0	161600.0	165100.0	167000.0	170300.0	170500.0	172800.0	170400.0	173300.0	172800.0	173800.0	172400.0	171100.0	170900.0	169900.0	172500.0	175700.0	179000.0	178900.0	180900.0	183000.0	183500.0	179500	180100	184400	193300	201400	199500	194000	193800	196300	199300	196300	198000	201000	207100	215300.0	221300.0	220000.0	215900.0	210800.0	212700.0	216900.0	225000.0	223600.0	223800.0	223800.0
Caldwell County	NC	Hickory-Lenoir-Morganton	37	027	596							94300.0	94600.0	92300.0	95200.0	99900.0	90000.0	90200.0	81600.0	94600.0	91300.0	93600.0	89500.0	101500.0	99600.0	94500.0	83400.0	96100.0	102500.0	106500.0	97300.0	104100.0	96200.0	94700.0	82300.0	94700.0	88400.0	88100.0	75000.0	84800.0	84100.0	89900.0	83200.0	95300.0	97200.0	99100.0	86700.0	83800.0	90800.0	98500.0	97300.0	85300.0	77200.0	76800.0	80100.0	81300.0	84100.0	86900.0	88100.0	85900.0	85000.0	87600.0	89100.0	98600.0	101100.0	107400.0	105600.0	106100.0	110600.0	110400.0	105000.0	94300.0	94100.0	101100.0	106000.0	104200.0	107000.0	104800.0	105400.0	101400.0	100700.0	104500.0	105700.0	106800.0	110400.0	109200.0	117900.0	112900.0	119100.0	117500.0	121800.0	118700.0	120800.0	115900.0	121000.0	119700.0	120300.0	118500.0	117800.0	116600.0	107800.0	103200.0	107100.0	118800.0	120300.0	122500.0	119800.0	122000.0	119500.0	115100.0	113800.0	122400.0	123200.0	126800.0	118100.0	117900.0	110400.0	112000.0	115400.0	127500.0	124500.0	111000.0	105200.0	111800	129500	120000	118000	125900	140100	138600	127000	124900	128700	132100	125300	126800	127000	136900.0	142400.0	153200.0	148700.0	151700.0	143200.0	149500.0	139200.0	135500.0	141600.0	
Camden County	NC	Elizabeth City	37	029	1263																																																																																																																						219900.0	252800	249800	254900	240400	237900	241700	240800	238900	238100	231300	241700	246600	233600	229000	216500.0	218500.0	224900.0	231700.0	233400.0	238500.0	224100.0	242200.0	259700.0	276300.0	258000.0
Carteret County	NC	Morehead City	37	031	688	233200.0	245000.0	237000.0	233900.0	244900.0	227100.0	234500.0	221800.0	249000.0	243700.0	231300.0	230100.0	235900.0	250300.0	258900.0	264400.0	274300.0	246800.0	237900.0	220000.0	214200.0	241000.0	231700.0	266200.0	245900.0	252100.0	223400.0	216200.0	225500.0	219200.0	215900.0	206100.0	218900.0	230700.0	231500.0	236600.0	215000.0	216300.0	217800.0	227700.0	225900.0	214400.0	214700.0	207100.0	207400.0	210500.0	227000.0	240900.0	235800.0	227000.0	223900.0	246100.0	261700.0	245900.0	229300.0	216900.0	218900.0	225400.0	219000.0	247200.0	221300.0	225900.0	197100.0	202300.0	209100.0	214000.0	220900.0	219300.0	225300.0	230700.0	234100.0	227700.0	226700.0	221600.0	221700.0	218700.0	219400.0	224400.0	231700.0	230700.0	225400.0	237700.0	239800.0	261000.0	242700.0	247000.0	241000.0	238800.0	230900.0	219400.0	219400.0	225300.0	220900.0	221700.0	218700.0	219100.0	217600.0	218800.0	225500.0	235200.0	228900.0	227700.0	219900.0	229600.0	218000.0	220800.0	218400.0	230100.0	234900.0	234400.0	232600.0	234500.0	238700.0	238900.0	238200.0	231200.0	243500.0	241100.0	247600	258200	269900	258600	240600	233700	254800	255800	253900	249700	255000	254200	243200	259200	265200.0	279500.0	265100.0	270700.0	275400.0	272400.0	267900.0	260200.0	264700.0	269200.0	269200.0
